lemma,definition,len_tokens,mean_log_freq,median_log_freq,miss_rate
aphorise,To create an aphorism from.,2,-5.012354687279526,-5.012354687279526,0.0
gravelweed,An American plant of species .,3,-3.5229708911365365,-3.504684717618549,0.0
syncretistical,syncretistic,1,-7.0032446182961925,-7.0032446182961925,0.0
nigrify,To make black in colour; to blacken.,4,-4.353406407083983,-3.9531798809376406,0.0
unsubstantialize,To make unsubstantial.,2,-4.785827530457427,-4.785827530457427,0.0
cylindricalness,The state of being cylindrical,2,-3.8603698908240967,-3.8603698908240967,0.0
sickeningness,The state of being sickening,2,-4.363702105616209,-4.363702105616209,0.0
acaridiasis,acariasis,1,-7.990465505630645,-7.990465505630645,0.0
uncloudedness,The quality of not being clouded.,2,-4.019758238334964,-4.019758238334964,0.0
stiltbird,"The stilt, a wading bird.",3,-5.335353286627915,-5.797396372687916,0.0
achromous,colorless; achromatic,2,-5.943183091325163,-5.943183091325163,0.0
satinpod,Any of various plants in the genus .,3,-3.8629172352334287,-3.560400616921061,0.0
angiocarp,An angiocarpous fruit,2,-6.354214540251707,-6.354214540251707,0.0
monologuize,To give a monologue; to soliloquize.,3,-5.629160233505108,-5.766845752188587,0.0
talkily,In a talky way.,2,-5.227937000233167,-5.227937000233167,0.0
kapeika,A Latvian coin worth one hundredth of a rublis.,4,-6.322312444789929,-5.728734793900577,0.0
acathexia,The abnormal release of (inability to retain) secretions,5,-4.653304974714311,-4.801832651100891,0.0
nitrobacterium,"Any of the several genera of bacteria in soil that take part in the nitrogen cycle, oxidizing ammonium and organic nitrogen compounds to the more soluble nitrite and nitrate.",16,-4.415252570724119,-4.461389587011284,0.0
homoecious,Having the same host during the entire life cycle.Merriam-Webster Dictionary. [https://www.merriam-webster.com/dictionary/homoecious Homoecious],6,-5.31911774983669,-4.508977996454449,0.0
pebibyte,"Strictly, 250 (10245, 1,125,899,906,842,624) bytes or 210 (1024) tebibytes, as opposed to a petabyte.",5,-6.713046320529635,-6.265688125694321,0.19999999999999996
unbalconied,Without a balcony.,1,-5.302436897835408,-5.302436897835408,0.0
zigadene,Any of the poisonous perennial flowering plants formerly considered to be within the genus .,7,-4.540733264240349,-4.523666371160676,0.0
kelpwort,The plant kali.,2,-4.695830139310859,-4.695830139310859,0.0
gainlessly,In a gainless manner; unprofitably,3,-6.462235980999107,-7.062472180896501,0.0
patinize,To give a patina to.,2,-4.8162444708923715,-4.8162444708923715,0.0
secpar,parsec,1,-6.809506592892605,-6.809506592892605,0.0
haploidic,Of or pertaining to a call having a single set of unpaired chromosomes.,6,-4.532693426998342,-4.251115844669789,0.0
arcdegree,A unit of measurement of angle equal to of a circle's circumference.,6,-4.156422887029026,-4.062418775875167,0.0
coconspire,To conspire together with.,2,-4.820611510563838,-4.820611510563838,0.0
paperbacker,A publisher of paperback books.,3,-4.373049134572816,-4.319263355545199,0.0
cubitiere,The part of a suit of armor that protects the elbow; an elbow plate; an elbow guard.,9,-4.396525205561991,-4.240967884742124,0.0
thysanopter,One of the .,0,,,1.0
globularness,The quality of being globular.,2,-4.6774525670113825,-4.6774525670113825,0.0
inculpableness,The quality of being inculpable; blamelessness.,3,-6.374456403845467,-7.443985214181333,0.0
acaryote,akaryocyte,1,-9.736198296338069,-9.736198296338069,0.0
dethaw,To thaw; unthaw; unfreeze.,3,-7.28152780493366,-7.307626444039903,0.0
hysterocatalepsy,A form of hysteria accompanied by catalepsy.,4,-5.113183125902984,-5.210421367172994,0.0
pertainym,"A word, usually an adjective, which can be defined as ""of or pertaining to"" another word.",6,-4.251130703373844,-4.098757862961641,0.0
sericterium,"A silk gland, as in the silkworms.",3,-5.1024461619149415,-4.653032010108932,0.0
ulemorrhagia,bleeding of the gums,2,-4.935508585842296,-4.935508585842296,0.0
uncrannied,Without nooks or crannies.,2,-6.015605799055606,-6.015605799055606,0.0
