lemma,count
one,4126070011
may,2869311688
time,2865795390
state,2767847171
year,2572846270
new,2424191987
two,2052142232
also,2044009341
first,1818541242
see,1718186042
made,1705673992
work,1669910266
case,1572219692
day,1496855505
part,1457682285
find,1410382493
well,1379164686
great,1310364140
system,1308057442
many,1303616636
service,1286787903
must,1266782750
like,1246923993
make,1243662372
use,1214893022
right,1193721823
number,1190356217
way,1178181634
people,1175560312
general,1171335900
law,1167615020
act,1155556060
life,1122952571
even,1093807428
far,1088408705
much,1085408945
section,1060273892
order,1054119270
company,1039980034
court,1029779404
water,1028091813
three,1019575454
government,1000837084
school,980791630
public,968656763
man,965919596
child,963484533
place,949064075
however,948021260
power,936296682
country,922443682
area,919723222
study,919246978
point,916440033
long,910855454
take,906639028
house,903384038
say,888737147
result,875594859
member,871019716
high,866891928
report,863400827
know,860271947
mean,855036431
doe,853881572
group,852719850
world,851801568
value,839567833
person,839282951
present,832760479
city,829034645
line,821934564
effect,820170535
change,814991421
within,813768762
hand,804254910
question,803565757
fact,781236138
another,776983608
come,773538823
little,771505183
rate,769819795
back,768418978
national,766508663
every,758645868
information,752110130
program,751633791
give,747790302
interest,745181440
development,742485589
problem,740224391
woman,736965353
thing,732822187
cost,732666848
second,732268255
term,729410656
might,726220992
condition,723504217
university,722862880
small,721087866
