lemma,definition,count
one,The represented by the ; the numerical value equal to that cardinal number.,4126070011
may,To be strong; to have power (over).,2869311688
time,The inevitable progression into the future with the passing of present and past events.,2865795390
state,A condition; a set of circumstances applying at any given time.,2767847171
year,A period of time akin to the time taken for the Earth to undergo a full cycle of seasons.,2572846270
new,"made, or created.",2424191987
two,A numerical value equal to 2; this many dots (••).,2052142232
also,In addition; besides; as well; further; too.,2044009341
first,Preceding all others of a series or kind; the ordinal of one; earliest.,1818541242
see,"To perceive or detect someone or something with the eyes, or as if by sight.",1718186042
made,A grub or maggot.,1705673992
work,Employment.,1669910266
case,"An actual event, situation, or fact.",1572219692
day,The time when the Sun is above the horizon and it lights the sky.,1496855505
part,A portion; a component.,1457682285
find,To locate,1410382493
well,"Accurately, competently, satisfactorily.",1379164686
great,Taking much space; large.,1310364140
system,A group or set of related things that operate together as a complex whole.,1308057442
many,"before a countable noun: A large, indefinite number of.",1303616636
service,An act of being of assistance to someone.,1286787903
must,To do as a requirement; .,1266782750
like,"To enjoy, be pleased by; favor; be in favor of.",1246923993
make,To create.,1243662372
use,The act of using.,1214893022
right,"Designating the side of the body which is positioned to the east if one is facing north, the side on which the heart is not located in most humans. This arrow points to the reader's right: →",1193721823
number,Quantity.,1190356217
way,To do with a place or places.,1178181634
people,a body of persons considered generally or collectively; a group of two or more persons.,1175560312
general,"Including or involving every part or member of a given or implied entity, whole, etc.; common to all, universal.",1171335900
law,"The body of binding rules and regulations, customs and standards established in a community by its legislative and judicial authorities.",1167615020
act,"Something done, a deed.",1155556060
life,"The state of organisms preceding their death, characterized by biological processes such as metabolism and reproduction and distinguishing them from inanimate objects; the state of being alive and living.",1122952571
even,Flat and level.,1093807428
far,Distant; remote in space.,1088408705
much,A large amount of.,1085408945
section,A cutting; a part cut out from the rest of something.,1060273892
order,"Arrangement, disposition, or sequence.",1054119270
company,A team; a group of people who work together professionally.,1039980034
court,"An enclosed space; a courtyard; an uncovered area shut in by the walls of a building, or by different buildings; also, a space opening from a street and nearly surrounded by houses; a blind alley.",1029779404
water,"A inorganic compound (of molecular formula H2O) found at room temperature and pressure as a clear liquid; it is present naturally as rain, and found in rivers, lakes and seas; its solid form is ice and its gaseous form is steam.",1028091813
three,A numerical value after two and before four. Represented in Arabic digits as 3; this many dots (•••).,1019575454
government,"The body with the power to make and/or enforce laws to control a country, land area, people or organization.",1000837084
school,An institution dedicated to teaching and learning; an educational institution.,980791630
public,Able to be known or seen by everyone; happening without concealment; open to general view.,968656763
man,An adult male human.,965919596
child,"A person who has not yet reached adulthood, whether natural (puberty), cultural (initiation), or legal (majority).",963484533
place,An area; somewhere within an area.,949064075
however,"Nevertheless; yet, still; in spite of that.",948021260
power,The ability to do or undergo something.,936296682
