lemma,definition,len_tokens,mean_log_freq,median_log_freq,miss_rate
economical,Careful with money so as not to spend too much; prudent; thrifty.,6,-3.989768277084471,-3.9112301675763312,0.16666666666666663
awkwardness,The state or quality of being awkward; clumsiness; unskillfulness.,5,-4.395929651884998,-4.614634132709683,0.4
catholicism,The state or quality of being catholic or universal; catholicity.,5,-4.626388152595855,-4.734459111592554,0.19999999999999996
checkered,"Divided into a grid of squares of alternating colours or shades, or into light and dark patches.",9,-4.675113603587195,-4.790030925403619,0.0
looter,"One who loots, who steals during a general disturbance such as a riot or natural disaster.",7,-4.573926318195418,-4.52127164573088,0.1428571428571429
crossover,A place where one thing crosses over another.,3,-3.3639879541502307,-3.1801781961897384,0.0
legitimately,"In a legitimate manner, properly, fair and square.",5,-4.575105306723107,-4.610142464345242,0.0
vocalist,A singer; a person who likes to sing.,4,-3.689410590228134,-3.831730219941282,0.0
pseudonym,"A fictitious name (more literally, a false name), as those used by writers and movie stars.",9,-4.156765141375243,-3.8816222257382234,0.0
speer,"to ask, to inquire",2,-4.53341670722388,-4.53341670722388,0.0
allocated,Having been granted an allocation; having received (something) as part of a plan or scheduled disbursement; having been assigned (something) that was set aside for a particular purpose.,14,-4.092891246358416,-4.411906746644721,0.1428571428571429
borscht,"A beetroot soup that can be served hot or cold, usually with sour cream, called borsch in its countries of origin.",12,-4.220346295254833,-4.280058871669468,0.16666666666666663
crabby,Relating to or resembling crabs; crablike.,4,-5.346985574753013,-5.356094957504237,0.25
splint,A narrow strip of wood split or peeled from a larger piece.,7,-4.528435056236609,-4.393324670835957,0.0
wimpy,"Having the characteristics of a wimp; feeble, indecisive, cowardly.",5,-5.535262716347244,-5.486256214033416,0.19999999999999996
incorrectly,In an incorrect manner.,2,-5.123083402848986,-5.123083402848986,0.0
moll,"A female companion of a gangster, especially a former or current prostitute.",7,-4.657313534404856,-4.6051886009001555,0.0
tho,The ; those.,0,,,1.0
dutiful,"Accepting of one's legal or moral obligations and willing to do them well, and without complaint.",7,-4.302173126094437,-4.47126343129632,0.0
fatten,To cause (a person or animal) to be fat or fatter.,5,-4.329361161004896,-4.019191457228289,0.0
cleanly,"Being habitually clean, practising good hygiene.",5,-4.383445313914395,-4.694177850509462,0.19999999999999996
sappy,"Excessively sweet, emotional, nostalgic; cheesy; mushy. (British equivalent: soppy)",9,-5.121812658430499,-5.483688133844435,0.2222222222222222
tethered,"Tied, strapped, especially with tethers or hobbles.",5,-4.898754564536446,-4.721185693620495,0.19999999999999996
solvent,"A fluid that dissolves a solid, liquid, or gaseous solute, resulting in a solution.",8,-4.83979716019988,-4.8121591474007825,0.25
mutate,To undergo mutation.,2,-5.669760901924139,-5.669760901924139,0.0
moderately,In a moderate manner.,2,-5.210783858076267,-5.210783858076267,0.0
diligently,"In a diligent manner, with appropriate effort, carefully.",5,-4.914190002909095,-4.610142464345242,0.0
