lemma,count
economical,1399
awkwardness,1399
catholicism,1399
checkered,1399
looter,1399
crossover,1398
legitimately,1398
vocalist,1398
pseudonym,1397
speer,1396
allocated,1396
borscht,1396
crabby,1396
splint,1396
wimpy,1396
incorrectly,1396
moll,1396
tho,1395
dutiful,1394
fatten,1394
cleanly,1394
sappy,1394
tethered,1394
solvent,1393
mutate,1393
moderately,1393
diligently,1393
lat,1393
akin,1393
toner,1393
dupe,1393
annoyance,1392
consolidate,1392
nome,1392
vaseline,1391
origami,1391
directional,1391
ventricle,1390
unsupervised,1389
jumble,1389
molding,1389
christen,1389
amazement,1389
bestest,1389
retaining,1388
converging,1388
nicker,1388
parasitic,1388
guardianship,1388
playhouse,1387
characterize,1387
southerner,1387
inconspicuous,1387
traverse,1387
knapsack,1387
impunity,1386
gulag,1386
vas,1386
unknowingly,1386
lind,1386
steeple,1386
rotor,1386
splutter,1386
overzealous,1385
khaki,1385
spatula,1385
vaporize,1385
memorandum,1384
justifiable,1383
pomegranate,1382
synergy,1382
wisp,1382
locus,1381
nativity,1381
debit,1380
printout,1380
adoration,1380
wormwood,1380
naga,1379
nauseating,1379
workhouse,1379
brownstone,1379
nullah,1379
shebang,1379
callback,1379
methodist,1378
pram,1378
pragmatic,1378
oni,1378
flintstone,1378
reiterate,1377
decryption,1377
scrambler,1377
pollute,1377
carpentry,1376
pituitary,1376
labrador,1376
tricycle,1376
winkle,1375
undisclosed,1375
