lemma,definition,count
economical,Careful with money so as not to spend too much; prudent; thrifty.,1399
awkwardness,The state or quality of being awkward; clumsiness; unskillfulness.,1399
catholicism,The state or quality of being catholic or universal; catholicity.,1399
checkered,"Divided into a grid of squares of alternating colours or shades, or into light and dark patches.",1399
looter,"One who loots, who steals during a general disturbance such as a riot or natural disaster.",1399
crossover,A place where one thing crosses over another.,1398
legitimately,"In a legitimate manner, properly, fair and square.",1398
vocalist,A singer; a person who likes to sing.,1398
pseudonym,"A fictitious name (more literally, a false name), as those used by writers and movie stars.",1397
speer,"to ask, to inquire",1396
allocated,Having been granted an allocation; having received (something) as part of a plan or scheduled disbursement; having been assigned (something) that was set aside for a particular purpose.,1396
borscht,"A beetroot soup that can be served hot or cold, usually with sour cream, called borsch in its countries of origin.",1396
crabby,Relating to or resembling crabs; crablike.,1396
splint,A narrow strip of wood split or peeled from a larger piece.,1396
wimpy,"Having the characteristics of a wimp; feeble, indecisive, cowardly.",1396
incorrectly,In an incorrect manner.,1396
moll,"A female companion of a gangster, especially a former or current prostitute.",1396
tho,The ; those.,1395
dutiful,"Accepting of one's legal or moral obligations and willing to do them well, and without complaint.",1394
fatten,To cause (a person or animal) to be fat or fatter.,1394
cleanly,"Being habitually clean, practising good hygiene.",1394
sappy,"Excessively sweet, emotional, nostalgic; cheesy; mushy. (British equivalent: soppy)",1394
tethered,"Tied, strapped, especially with tethers or hobbles.",1394
solvent,"A fluid that dissolves a solid, liquid, or gaseous solute, resulting in a solution.",1393
mutate,To undergo mutation.,1393
moderately,In a moderate manner.,1393
diligently,"In a diligent manner, with appropriate effort, carefully.",1393
lat,"A staff, particularly one of an Indian kind.",1393
akin,Of the same kin; related by blood.,1393
toner,Powder used in laser printers and photocopiers to form the text and images on the printed paper.,1393
dupe,A person who has been deceived.,1393
annoyance,That which annoys.,1392
consolidate,To combine into a single unit; to group together or join.,1392
nome,A prefecture or unit of regional government in Greece.,1392
vaseline,Petroleum jelly.,1391
