lemma,definition,len_tokens,mean_log_freq,median_log_freq,miss_rate
know,To perceive the truth or factuality of; to be certain of; to be certain that.,5,-4.381141325054992,-4.081940236318216,0.19999999999999996
get,To obtain; to acquire.,2,-5.413333335196807,-5.413333335196807,0.0
like,"To enjoy, be pleased by; favor; be in favor of.",4,-3.8220373285341154,-4.109648393855523,0.0
go,"To move, either physically or in an abstract sense",4,-4.477517463436455,-4.433803483927139,0.0
right,"Designating the side of the body which is positioned to the east if one is facing north, the side on which the heart is not located in most humans. This arrow points to the reader's right: →",15,-3.9082528433393153,-3.675015260884311,0.06666666666666665
come,To move nearer to the point of perspective.,4,-4.376621119726589,-4.29079654670183,0.0
one,The represented by the ; the numerical value equal to that cardinal number.,6,-4.511245611655421,-4.667447837555009,0.16666666666666663
got,{{non-gloss|Expressing obligation; used with .}},2,-4.281020236190865,-4.281020236190865,0.0
want,"To wish for or desire (something); to feel a need or desire for; to crave, hanker, or demand.",9,-3.9500937056961134,-4.046925287483378,0.11111111111111116
well,"Accurately, competently, satisfactorily.",3,-5.765304369968391,-5.765304369968391,0.6666666666666667
think,"To ponder, to go over in one's mind.",3,-3.9180512292470873,-3.34169880089277,0.0
see,"To perceive or detect someone or something with the eyes, or as if by sight.",6,-4.119494780081614,-3.8548054763905917,0.0
let,"To allow to, not to prevent {{qualifier|+ infinitive, but usually without }}.",4,-4.423724813679974,-4.244143563362992,0.25
time,The inevitable progression into the future with the passing of present and past events.,7,-4.451109495235623,-3.9983174752623096,0.0
look,"To try to see, to pay attention to with one’s eyes.",5,-3.3964623329320105,-3.4238069529643127,0.0
back,At or near the rear.,1,-4.922482730678842,-4.922482730678842,0.0
take,"To get into one's hands, possession or control, with or without force.",5,-3.6119044458690133,-3.783347068153959,0.0
say,To pronounce.,1,-5.267173477159263,-5.267173477159263,0.0
man,An adult male human.,3,-4.213315984949319,-4.349671888486848,0.0
tell,"To count, reckon, or enumerate.",3,-4.403491858749418,-4.403491858749418,0.33333333333333337
thing,"That which is considered to exist as a separate entity, object, quality or concept.",7,-4.6777510882321405,-4.599761231993911,0.0
make,To create.,1,-4.425447423034869,-4.425447423034869,0.0
need,A for something; something .,2,-2.8393400726377687,-2.8393400726377687,0.0
really,"In a way or manner that is real, not unreal.",4,-4.107246560107893,-3.9896029399826785,0.0
way,To do with a place or places.,2,-3.1801781961897384,-3.1801781961897384,0.0
find,To locate,1,-4.975744886592921,-4.975744886592921,0.0
mean,To intend.,1,-4.660731070367472,-4.660731070367472,0.0
never,At no time; on no occasion; in no circumstance.,3,-3.977563975152455,-4.571474285134617,0.0
doe,"A female deer; also used of similar animals such as antelope (less commonly a goat, as is also used).",12,-4.373748858358341,-4.179859813465292,0.0
guy,An effigy of a man burned on a bonfire on the anniversary of the Gunpowder Plot (5th November).,8,-4.681946338616527,-4.861856181208621,0.125
little,Small in size.,2,-4.076713575421676,-4.076713575421676,0.0
people,a body of persons considered generally or collectively; a group of two or more persons.,7,-4.3422931081890965,-4.023497426962489,0.0
give,"To move, shift, provide something abstract or concrete to someone or something or somewhere.",8,-3.9345599114326464,-3.607421821038307,0.0
please,To make happy or satisfy; to give pleasure to.,5,-3.7098779578403622,-3.4686511185049227,0.0
sorry,Regretful or apologetic for one's actions.,3,-4.115075052526635,-4.115075052526635,0.6666666666666667
