lemma,count
know,14532890
get,11099457
like,10258033
go,10138442
right,9622115
come,8374107
one,8317958
got,8307742
want,7453923
well,7286813
think,6626077
see,6212749
let,6064689
time,5631478
look,5552992
back,5148907
take,4899331
na,4809536
say,4700710
man,4586583
tell,4259344
thing,4209293
make,3995963
need,3881908
really,3861934
way,3708028
find,3488344
mean,3486804
never,3293446
doe,3255639
guy,3253415
little,3076612
people,3019792
give,2991969
please,2987131
sorry,2984116
day,2963861
love,2923546
two,2764445
life,2542357
sure,2476588
help,2462706
even,2458695
much,2451535
year,2441377
god,2427470
work,2344921
sir,2313447
call,2243039
still,2195731
first,2191956
nothing,2152626
stop,2144083
wait,2084079
maybe,2062724
put,2026097
talk,2022857
night,2012208
thought,1999012
must,1975253
keep,1949519
home,1928254
great,1918505
away,1916853
friend,1872634
girl,1871158
last,1845389
name,1803337
long,1757160
new,1756800
bad,1731975
feel,1683849
always,1668586
place,1660957
around,1649979
ever,1630744
boy,1629872
old,1616260
woman,1597580
leave,1597111
money,1551660
father,1525184
lot,1519348
made,1491375
big,1464253
believe,1455463
stay,1442603
done,1427638
kind,1414574
hand,1399950
kill,1396166
nice,1396002
three,1390638
every,1386501
house,1371074
kid,1369233
someone,1366477
shit,1356096
minute,1340088
world,1338430
