lemma,count
lipreading,13017
foresighted,13016
untempered,13013
conceptional,13012
fractionate,13009
hyoscyamus,13004
belike,13002
saltpetre,13000
tardily,12996
downmarket,12995
rectifiable,12993
depopulate,12990
evenfall,12988
pahoehoe,12986
shrewish,12980
unversed,12978
chroming,12975
nonaligned,12972
superabundant,12971
hypercritical,12965
deceivingly,12963
obduracy,12957
tragopogon,12954
demonstratively,12951
denumerable,12948
biddable,12940
nonfeasance,12935
ineffably,12935
photomechanical,12928
rhinotracheitis,12927
serigraphy,12927
phenobarbitone,12925
inanely,12924
defensibility,12922
metalled,12919
larboard,12917
floxuridine,12916
fraternize,12913
lagger,12911
trifoliate,12908
rectosigmoid,12903
melodiously,12903
ruly,12895
renormalize,12883
downhiller,12878
tomboyish,12876
caecal,12876
pertinacity,12875
pointedness,12870
combustibility,12868
whydah,12866
demulcent,12866
australopithecine,12859
feminize,12856
topknot,12855
paramountcy,12855
saleroom,12850
undiplomatic,12848
deutzia,12843
topmast,12841
noncom,12839
steradian,12837
hunchbacked,12834
dekko,12832
tameness,12829
airburst,12828
deferentially,12827
areolar,12817
lobsterman,12817
accessorial,12815
catasetum,12815
combativeness,12814
rusticated,12811
passiveness,12811
gloominess,12806
aimlessness,12804
jobholder,12798
vambrace,12793
jerkily,12785
hellishly,12784
suavely,12776
characin,12775
distributary,12770
contentiousness,12769
jocose,12769
crookedly,12763
deckled,12761
caustically,12754
coelom,12753
wanter,12751
pleochroism,12750
hinderer,12737
disconnectedness,12733
fragmental,12730
griever,12729
forfend,12724
defoliate,12718
insatiably,12717
antemortem,12714
triose,12711
