lemma,definition,len_tokens,mean_log_freq,median_log_freq,miss_rate
new,"made, or created.",2,-3.354610514144314,-3.354610514144314,0.0
home,A dwelling.,1,-5.465320989341481,-5.465320989341481,0.0
page,One of the many pieces of paper bound together within a book or similar document.,7,-3.5245980759049886,-3.556905807151736,0.0
time,The inevitable progression into the future with the passing of present and past events.,7,-4.079597395712988,-3.745014249988702,0.0
service,An act of being of assistance to someone.,3,-3.822806077175779,-3.8855063228086397,0.0
search,An attempt to find something.,3,-3.57831842440356,-3.6494344702682255,0.0
site,The place where anything is fixed; situation; local position,6,-3.738500904849023,-3.799775011342552,0.0
one,The represented by the ; the numerical value equal to that cardinal number.,6,-4.112806289456818,-4.262907524737567,0.0
free,Unconstrained.,1,-6.256981569467553,-6.256981569467553,0.0
information,"That which resolves uncertainty; anything that answers the question of ""what a given entity is"".",7,-4.028155569394646,-3.888739790449659,0.0
may,To be strong; to have power (over).,2,-3.680943580607602,-3.680943580607602,0.0
product,Anything that is produced; a result.,3,-3.7247424272432057,-3.888739790449659,0.0
year,A period of time akin to the time taken for the Earth to undergo a full cycle of seasons.,10,-3.8542601523343434,-3.7489863786579045,0.0
news,New information of interest.,3,-2.9812745480071787,-2.798361090230373,0.0
day,The time when the Sun is above the horizon and it lights the sky.,5,-3.7994964120015213,-3.680042549968081,0.0
find,To locate,1,-4.635396179903818,-4.635396179903818,0.0
price,The cost required to gain possession of something.,5,-3.9837228541854928,-4.04115352565384,0.0
use,The act of using.,2,-3.232377921122298,-3.232377921122298,0.0
state,A condition; a set of circumstances applying at any given time.,6,-3.508237811191863,-3.439806599213112,0.0
see,"To perceive or detect someone or something with the eyes, or as if by sight.",6,-4.337547128569377,-4.198757503575865,0.0
business,A specific commercial enterprise or establishment.,4,-3.9571633016531957,-3.819283033310538,0.0
contact,The act of touching physically; being in close association.,5,-4.012260903585103,-3.7156707809286504,0.0
view,Visual perception.,2,-4.3801200919864485,-4.3801200919864485,0.0
book,"A collection of sheets of paper bound together to hinge at one edge, containing printed or written material, pictures, etc.",12,-3.870345547724604,-3.7313483225493003,0.0
get,To obtain; to acquire.,2,-4.553765378882361,-4.553765378882361,0.0
review,A second or subsequent reading of a text or artifact in an attempt to gain new insights.,9,-3.9622831692759957,-4.145003869522176,0.0
help,Action given to provide assistance; aid.,5,-3.6695486852523103,-3.5116922548070715,0.0
item,A distinct physical object.,3,-4.157380305825222,-3.9626785540993694,0.0
right,"Designating the side of the body which is positioned to the east if one is facing north, the side on which the heart is not located in most humans. This arrow points to the reader's right: →",15,-3.813108953204064,-3.638887458163329,0.0
web,The silken structure which a spider builds using silk secreted from the spinnerets at the caudal tip of its abdomen; a spiderweb.,12,-4.995324133744213,-4.696830927597604,0.08333333333333337
system,A group or set of related things that operate together as a complex whole.,8,-3.6654342028365408,-3.600716821435884,0.0
also,In addition; besides; as well; further; too.,3,-3.9051799061758463,-3.83997848299775,0.0
post,A long dowel or plank protruding from the ground; a fencepost; a lightpost.,7,-5.461656054513541,-5.846485307792683,0.1428571428571429
online,Of a system: connected (generally electrically) to a larger network.,6,-3.976861160770716,-3.8323020066797584,0.0
link,"A connection between places, people, events, things, or ideas.",6,-3.423388704406922,-3.356696907821739,0.0
first,Preceding all others of a series or kind; the ordinal of one; earliest.,6,-4.447840349526781,-3.759047706885968,0.0
hotel,"A large town house or mansion; a grand private residence, especially in France.",9,-3.9385219601242394,-3.753202883921516,0.0
click,"A brief, sharp, not particularly loud, relatively high-pitched sound produced by the impact of something small and hard against something hard, such as by the operation of a switch, a lock or a latch.",18,-4.066801773741901,-4.013344522103569,0.05555555555555558
name,"Any nounal word or phrase which indicates a particular person, place, class, or thing.",9,-3.7307749087757887,-3.4921269565851825,0.11111111111111116
game,A playful or competitive activity.,3,-4.4414550518065035,-4.365451293637938,0.0
