lemma,definition,count
new,"made, or created.",1551258643
home,A dwelling.,1343605650
page,One of the many pieces of paper bound together within a book or similar document.,1316122844
time,The inevitable progression into the future with the passing of present and past events.,1111656450
service,An act of being of assistance to someone.,1081744026
search,An attempt to find something.,1081663131
site,The place where anything is fixed; situation; local position,1047065976
one,The represented by the ; the numerical value equal to that cardinal number.,1030094716
free,Unconstrained.,1014995410
information,"That which resolves uncertainty; anything that answers the question of ""what a given entity is"".",935638515
may,To be strong; to have power (over).,828929629
product,Anything that is produced; a result.,813493987
year,A period of time akin to the time taken for the Earth to undergo a full cycle of seasons.,788933892
news,New information of interest.,755424983
day,The time when the Sun is above the horizon and it lights the sky.,751398261
find,To locate,750329830
price,The cost required to gain possession of something.,745086954
use,The act of using.,719980257
state,A condition; a set of circumstances applying at any given time.,714041148
see,"To perceive or detect someone or something with the eyes, or as if by sight.",691684623
business,A specific commercial enterprise or establishment.,685665263
contact,The act of touching physically; being in close association.,680789678
view,Visual perception.,679612669
book,"A collection of sheets of paper bound together to hinge at one edge, containing printed or written material, pictures, etc.",678670133
get,To obtain; to acquire.,654791998
review,A second or subsequent reading of a text or artifact in an attempt to gain new insights.,646751881
help,Action given to provide assistance; aid.,640662027
item,A distinct physical object.,627040260
right,"Designating the side of the body which is positioned to the east if one is facing north, the side on which the heart is not located in most humans. This arrow points to the reader's right: →",625671700
web,The silken structure which a spider builds using silk secreted from the spinnerets at the caudal tip of its abdomen; a spiderweb.,623073565
system,A group or set of related things that operate together as a complex whole.,620530933
also,In addition; besides; as well; further; too.,616829742
post,A long dowel or plank protruding from the ground; a fencepost; a lightpost.,609778564
online,Of a system: connected (generally electrically) to a larger network.,601317059
link,"A connection between places, people, events, things, or ideas.",580329194
first,Preceding all others of a series or kind; the ordinal of one; earliest.,578720548
hotel,"A large town house or mansion; a grand private residence, especially in France.",573485707
click,"A brief, sharp, not particularly loud, relatively high-pitched sound produced by the impact of something small and hard against something hard, such as by the operation of a switch, a lock or a latch.",543596962
name,"Any nounal word or phrase which indicates a particular person, place, class, or thing.",536451608
game,A playful or competitive activity.,533042401
list,"A strip of fabric, especially from the edge of a piece of cloth.",530839895
like,"To enjoy, be pleased by; favor; be in favor of.",530313020
date,"The fruit of the date palm, , somewhat in the shape of an olive, containing a soft, sweet pulp and enclosing a hard kernel.",527409617
work,Employment.,518065646
member,One who belongs to a group.,510515046
top,The highest or uppermost part of something.,495984898
make,To create.,492914240
back,At or near the rear.,492821317
people,a body of persons considered generally or collectively; a group of two or more persons.,489752450
message,"A communication, or what is communicated; any concept or information conveyed.",482778842
policy,"A principle of behaviour, conduct which an entity (government, organization, etc.) applies or seeks to follow, especially as formally expressed by an authoritative body.",472193707
go,"To move, either physically or in an abstract sense",468725815
user,"One who uses or makes use of something, a consumer or client or an express or implied licensee (free user) or a trespasser.",465766463
school,An institution dedicated to teaching and learning; an educational institution.,462035941
video,"Television, a television show, or a movie.",459479130
email,A system for sending messages and datas by means of computers connected together in a network.,457239566
city,"A large settlement, bigger than a town; sometimes with a specific legal definition, depending on the place.",450485160
program,A set of structured activities; a plan of action.,449185215
number,Quantity.,448864945
group,A number of things or persons being in some relation to one another.,447657251
company,A team; a group of people who work together professionally.,442980926
world,"The subjective human experience, regarded collectively; human collective existence; existence in general; the reality we live in.",442525771
two,A numerical value equal to 2; this many dots (••).,441634470
health,"The state of being free from physical or psychological disease, illness, or malfunction; wellness.",440431718
comment,A spoken or written remark.,436187177
store,A place where items may be accumulated or routinely kept.,432519343
next,"in place or position, having nothing similar intervening; .",425903347
last,"Final, ultimate, coming after all others of its kind.",420280283
order,"Arrangement, disposition, or sequence.",417236548
buy,To obtain (something) in exchange for money or goods.,416808951
music,"A series of sounds organized in time, usually employing some combination of harmony, melody, rhythm, tempo, etc., often to convey a mood.",414290995
forum,A place for discussion.,413651714
part,A portion; a component.,403366808
support,To help keep from falling.,402426463
add,"To join or unite (e.g. one thing to another, or as several particulars) so as to increase the number, augment the quantity or enlarge the magnitude, or so as to form into one aggregate.",402115067
report,"To relate details of (an event or incident); to recount, describe (something). {{defdate|from }}",400753331
result,"To proceed, spring up or rise, as a consequence, from facts, arguments, premises, combination of circumstances, consultation, thought or endeavor.",395605888
photo,A photograph.,394952702
term,"That which limits the extent of anything; limit, extremity, bound, boundary, .",393988734
copyright,"The right by law to be the entity which determines who may publish, copy and distribute a piece of writing, music, picture or other work of authorship.",382598663
area,A measure of the extent of a surface; it is measured in square units.,381857884
please,To make happy or satisfy; to give pleasure to.,380046348
available,Such as one may avail oneself of; capable of being used for the accomplishment of a purpose.,379644437
well,"Accurately, competently, satisfactorily.",376156431
car,"A wheeled vehicle that moves independently, with at least three wheels, powered mechanically, steered by a driver and mostly for personal transportation but relatively smaller than a truck/lorry and a bus.",374438210
map,"A visual representation of an area, whether real or imaginary, showing the relative positions of places and other features.",373624326
software,"Encoded computer instructions, usually modifiable (unless stored in some form of unalterable memory such as ROM).",371779484
file,A collection of papers collated and archived together.,367388729
set,"To put (something) down, to rest.",364625811
way,To do with a place or places.,363630069
job,A task.,358782534
great,Taking much space; large.,358027013
line,"A path through two or more points (compare ‘segment’); a continuous mark, including as made by a pen; any path, curved or straight.",356815938
info,information.,354343399
high,"Physically elevated, extending above a base or average level",352881551
sale,An exchange of goods or services for currency or credit.,352468790
life,"The state of organisms preceding their death, characterized by biological processes such as metabolism and reproduction and distinguishing them from inanimate objects; the state of being alive and living.",349767910
public,Able to be known or seen by everyone; happening without concealment; open to general view.,349615053
type,A grouping based on shared characteristics; a class.,349407599
student,A person who studies or learns about a particular subject.,348391367
