lemma,definition,len_tokens,mean_log_freq,median_log_freq,miss_rate
unconstipated,not constipated,1,-7.846279334720409,-7.846279334720409,0.0
calceiform,of slipper-shaped blossoms,2,-5.3506769839816055,-5.3506769839816055,0.5
homostylic,(botany) having styles all of the same length,3,-4.331559630502018,-4.099276525246335,0.0
unsarcastic,not sarcastic,1,-5.834084178718047,-5.834084178718047,0.0
arborical,of or relating to or formed by trees,3,-4.016561078836052,-4.073974454322202,0.0
dyspneal,not breathing or able to breathe except with difficulty,4,-4.487278938980033,-4.6179907724913045,0.0
jumentous,smelling strongly like a beast of burden,4,-4.611685913322218,-4.585823269285022,0.0
artiodactylous,of or relating to or belonging to mammals of the order Artiodactyla,5,-5.0306077557885045,-4.610178948085121,0.0
atomistical,divided into separate and often disparate elements,5,-4.3690413588778,-4.129002471924292,0.0
extropic,of or relating to extropy,2,-6.586577499010962,-6.586577499010962,0.0
amnic,of or related to the amnion or characterized by developing an amnion,5,-5.1462023153165415,-5.116519688399213,0.0
bistered,colored with or as if with bister,2,-5.684270426868324,-5.684270426868324,0.0
algometric,of or related to algometry,2,-6.207581539995655,-6.207581539995655,0.0
apoplectoid,resembling apoplexy,2,-5.537571826004879,-5.537571826004879,0.0
unascribable,not attributable,1,-4.95666844769811,-4.95666844769811,0.0
anisogamic,relating to a type of sexual reproduction in which the gametes are dissimilar in some respect (as size or shape),9,-4.5187687292714385,-4.288253068558675,0.0
platyrhinian,of or related to New World monkeys having nostrils far apart or to people with broad noses,10,-4.074020489129116,-4.127807026727534,0.0
araneidan,relating to or resembling a spider,3,-4.979349247638615,-5.032009261390218,0.0
bellyless,lacking a prominent belly,3,-4.533021886314348,-4.4752136352804115,0.0
cutaneal,relating to or existing on or affecting the skin,4,-4.278795023116545,-4.181441781409282,0.0
leptorrhinian,having a long narrow nose,3,-3.977104247971253,-4.233261109055899,0.0
pemphigous,of or relating to or manifesting pemphigus,3,-5.275659401947546,-4.76934804124464,0.0
uncolumned,not having columns,1,-4.262500661866461,-4.262500661866461,0.0
branchiopodous,of or relating to or characteristic of the subclass Branchiopoda,4,-5.563338627511316,-5.181004951185081,0.0
quadrisonic,of or relating to quadraphony,2,-6.620260886339237,-6.620260886339237,0.0
chlamydeous,having a floral envelope or perianth consisting of a calyx and/or corolla,6,-5.333372884335973,-5.433595909449805,0.0
nonextensile,not extensile,1,-7.394622473670014,-7.394622473670014,0.0
