lemma,count
unconstipated,421
calceiform,421
homostylic,418
unsarcastic,415
arborical,414
dyspneal,414
jumentous,411
artiodactylous,410
atomistical,404
extropic,403
amnic,399
bistered,387
algometric,385
apoplectoid,380
unascribable,377
anisogamic,365
platyrhinian,363
araneidan,359
bellyless,353
cutaneal,352
leptorrhinian,343
pemphigous,337
uncolumned,335
branchiopodous,325
quadrisonic,323
chlamydeous,315
nonextensile,310
astomatal,309
chylifactive,306
arachnidian,305
agrypnotic,305
plumbable,299
adactylous,295
amoebous,294
bismuthal,293
allotropical,291
bibliothecarial,277
ameban,271
basidiosporous,269
hematal,266
platyrrhinic,256
vulpecular,254
neoclassicistic,253
yogistic,252
arborary,252
gymnosophical,251
unbarrelled,250
mutafacient,247
anestric,237
limacoid,236
haematal,235
noncivilised,227
lucifugal,221
antitypic,219
prolusory,217
catarrhinian,210
dioecian,207
inexperient,206
nonenterprising,205
uveous,205
nutritionary,188
plumbaginaceous,184
plutocratical,184
carunculous,183
onomatopoeical,182
anisogametic,180
unexploratory,177
cacodemonic,170
fernless,170
salamandriform,166
blastospheric,164
nonvolatilizable,157
chylaceous,150
uncamphorated,146
epicarpal,145
uninjectable,141
catkinate,135
ascocarpous,131
syncretistical,128
noncollapsable,117
unbarreled,112
homoecious,111
unbalconied,109
ambiversive,106
haploidic,104
uncrannied,95
autacoidal,94
ungusseted,88
noncombinative,86
apogametic,86
albinal,86
unexplorative,85
anaglyphical,82
parheliacal,80
macrencephalous,74
alkahestic,71
macrencephalic,62
nonexplorative,60
carposporous,54
voltarean,52
