lemma,definition,count
unconstipated,not constipated,421
calceiform,of slipper-shaped blossoms,421
homostylic,(botany) having styles all of the same length,418
unsarcastic,not sarcastic,415
arborical,of or relating to or formed by trees,414
dyspneal,not breathing or able to breathe except with difficulty,414
jumentous,smelling strongly like a beast of burden,411
artiodactylous,of or relating to or belonging to mammals of the order Artiodactyla,410
atomistical,divided into separate and often disparate elements,404
extropic,of or relating to extropy,403
amnic,of or related to the amnion or characterized by developing an amnion,399
bistered,colored with or as if with bister,387
algometric,of or related to algometry,385
apoplectoid,resembling apoplexy,380
unascribable,not attributable,377
anisogamic,relating to a type of sexual reproduction in which the gametes are dissimilar in some respect (as size or shape),365
platyrhinian,of or related to New World monkeys having nostrils far apart or to people with broad noses,363
araneidan,relating to or resembling a spider,359
bellyless,lacking a prominent belly,353
cutaneal,relating to or existing on or affecting the skin,352
leptorrhinian,having a long narrow nose,343
pemphigous,of or relating to or manifesting pemphigus,337
uncolumned,not having columns,335
branchiopodous,of or relating to or characteristic of the subclass Branchiopoda,325
quadrisonic,of or relating to quadraphony,323
chlamydeous,having a floral envelope or perianth consisting of a calyx and/or corolla,315
nonextensile,not extensile,310
astomatal,lacking a stoma or stomata,309
chylifactive,producing or converting into chyle,306
arachnidian,relating to or resembling a member of the class Arachnida,305
agrypnotic,of or pertaining to agrypnia,305
plumbable,(of depth) capable of being sounded or measured for depth,299
adactylous,without fingers and/or toes,295
amoebous,pertaining to or resembling amoebae,294
bismuthal,of or relating to bismuth,293
allotropical,of or related to or exhibiting allotropism,291
bibliothecarial,of or relating to a library or bibliotheca or a librarian,277
ameban,pertaining to or resembling amoebae,271
basidiosporous,of or relating to or characterized by spores produced by basidia,269
hematal,relating to the blood vessels or blood,266
platyrrhinic,of or related to New World monkeys having nostrils far apart or to people with broad noses,256
vulpecular,resembling or characteristic of a fox,254
neoclassicistic,relating to or advocating neoclassicism,253
yogistic,of or relating to yoga,252
arborary,of or relating to or formed by trees,252
gymnosophical,of or relating to gymnosophy,251
unbarrelled,not in a barrel,250
mutafacient,capable of inducing mutation (used mainly of intracellular agents),247
anestric,of or relating to anestrus,237
limacoid,of or resembling a slug,236
haematal,relating to the blood vessels or blood,235
noncivilised,not having a high state of culture and social development,227
lucifugal,light-avoiding,221
antitypic,of or relating to an antitype,219
prolusory,of or relating to or having the character of a prolusion,217
catarrhinian,of or related to Old World monkeys that have nostrils together and opening downward,210
dioecian,having male and female reproductive organs in separate plants or animals,207
inexperient,lacking practical experience or training,206
nonenterprising,lacking in enterprise; not bold or venturesome,205
uveous,of or relating to the uvea of the eye,205
nutritionary,of or relating to or providing nutrition,188
plumbaginaceous,of or pertaining to or characteristic of plants of the family Plumbaginaceae,184
plutocratical,of or relating to or characteristic of a plutocrat,184
carunculous,resembling a caruncle,183
onomatopoeical,(of words) formed in imitation of a natural sound; ; - Harry Hoijer,182
anisogametic,relating to either of a pair of dissimilar (anisogamic) gametes combining in sexual reproduction,180
unexploratory,not exploratory,177
cacodemonic,of or relating to evil spirits,170
fernless,devoid of ferns,170
salamandriform,shaped like a salamander,166
blastospheric,of or relating to a blastula,164
nonvolatilizable,not volatilizing readily,157
chylaceous,consisting of chyle or having the properties of chyle,150
uncamphorated,not containing camphor,146
epicarpal,of or relating to the epicarp,145
uninjectable,(used of drugs) not capable of being injected,141
catkinate,resembling a catkin,135
ascocarpous,of or relating to ascocarps,131
syncretistical,relating to a historical tendency for a language to reduce its use of inflections,128
noncollapsable,not capable of collapsing,117
unbarreled,not in a barrel,112
homoecious,of parasites especially rust fungi; completing the entire life cycle on a single host,111
unbalconied,not having balconies,109
ambiversive,intermediate between introversive and extroversive,106
haploidic,of a cell or organism having a single set of chromosomes,104
uncrannied,without chinks or crannies,95
autacoidal,of or relating to an autacoid,94
ungusseted,not having gussets,88
noncombinative,not involving combination,86
apogametic,of or relating to the development of an embryo in the absence of fertilization,86
albinal,of or pertaining to or affected by albinism,86
unexplorative,not exploratory,85
anaglyphical,related to anaglyphs or anaglyphy,82
parheliacal,relating to or resembling a parhelion,80
macrencephalous,having a large brain case,74
alkahestic,of or pertaining to the alkahest that alchemists assumed to exist,71
macrencephalic,having a large brain case,62
nonexplorative,not exploratory,60
carposporous,having carpospores,54
voltarean,in the manner of Voltaire,52
