lemma,count
new,2440131713
first,1817614960
good,1427405384
high,1313920311
many,1303616636
general,1159537725
long,1145069125
used,1121048889
much,1085406504
large,1001830586
public,967051960
small,864166537
united,850491753
old,791541101
low,785343497
little,772080390
present,767052813
national,757591282
late,735453444
following,708721520
american,690457074
different,682940667
early,670341250
social,585428940
important,573914562
possible,526530709
left,520435009
local,499639881
necessary,493945779
whole,490108198
best,481470953
full,480263816
held,475349310
young,473080131
known,463226811
human,456325004
common,453268876
available,449392318
free,448029197
international,445461842
due,439736004
economic,428070410
white,426000742
political,414930607
short,399572305
near,390855688
foreign,385470956
received,384273520
real,363417541
true,360915892
english,360271662
similar,353393387
close,349970956
current,349683827
major,346311116
able,343061211
paid,334401150
single,329701808
black,328890678
natural,322815353
private,315923932
increased,310516213
strong,309645899
east,309311076
continued,306846703
clear,304413943
british,302513447
specific,294757038
medical,290928138
personal,287380585
standard,282320866
established,279921203
annual,279254499
complete,278088712
related,272695113
written,266774617
reported,263046729
direct,262307186
published,262175329
military,259408271
hard,257048249
limited,256102552
french,254157483
financial,254107465
bad,253063017
effective,248944904
wide,245347952
developed,244530523
industrial,241419706
simple,240042352
applied,235854575
physical,235650965
big,229554938
western,228903763
deep,228659412
legal,227769130
sure,226178792
modern,225825462
normal,225368710
latter,224655530
