lemma,definition,count
new,not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered,2440131713
first,preceding all others in time or space or degree,1817614960
good,having desirable or positive qualities especially those suitable for a thing specified,1427405384
high,greater than normal in degree or intensity or amount,1313920311
many,a quantifier that can be used with count nouns and is often preceded by `as' or `too' or `so' or `that'; amounting to a large but indefinite number,1303616636
general,applying to all or most members of a category or group,1159537725
long,primarily temporal sense; being or indicating a relatively great or greater than average duration or passage of time or a duration as specified,1145069125
used,employed in accomplishing something; - H.H.Arnold & I.C.Eaker,1121048889
much,(quantifier used with mass nouns) great in quantity or degree or extent,1085406504
large,above average in size or number or quantity or magnitude or extent,1001830586
public,not private; open to or concerning the people as a whole,967051960
small,limited or below average in number or quantity or magnitude or extent,864166537
united,characterized by unity; being or joined into a single entity,850491753
old,(used especially of persons) having lived for a relatively long time or attained a specific age,791541101
low,less than normal in degree or intensity or amount,785343497
little,limited or below average in number or quantity or magnitude or extent,772080390
present,temporal sense; intermediate between past and future; now existing or happening or in consideration,767052813
national,of or relating to or belonging to a nation or country,757591282
late,being or occurring at an advanced period of time or after a usual or expected time,735453444
following,going or proceeding or coming after in the same direction,708721520
american,of or relating to the United States of America or its people or language or culture,690457074
different,unlike in nature or quality or form or degree,682940667
early,at or near the beginning of a period of time or course of events or before the usual or expected time,670341250
social,relating to human society and its members,585428940
important,of great significance or value,573914562
possible,capable of happening or existing,526530709
left,being or located on or directed toward the side of the body to the west when facing north,520435009
local,relating to or applicable to or concerned with the administration of a city or town or district rather than a larger area,499639881
necessary,absolutely essential,493945779
whole,including all components without exception; being one unit or constituting the full amount or extent or duration; complete,490108198
best,(superlative of `good') having the most positive qualities,481470953
full,containing as much or as many as is possible or normal,480263816
held,occupied or in the control of; often used in combination,475349310
young,(used of living things especially persons) in an early period of life or development or growth,473080131
known,apprehended with certainty,463226811
human,characteristic of humanity,456325004
common,belonging to or participated in by a community as a whole; public,453268876
available,obtainable or accessible and ready for use or service,449392318
free,able to act at will; not hampered; not under compulsion or restraint,448029197
international,concerning or belonging to all or at least two or more nations,445461842
due,owed and payable immediately or on demand,439736004
economic,"of or relating to an economy, the system of production and management of material wealth",428070410
white,being of the achromatic color of maximum lightness; having little or no hue owing to reflection of almost all incident light,426000742
political,involving or characteristic of politics or parties or politicians; - Daniel Goleman,414930607
short,primarily temporal sense; indicating or being or seeming to be limited in duration,399572305
near,not far distant in time or space or degree or circumstances,390855688
foreign,of concern to or concerning the affairs of other nations (other than your own),385470956
received,conforming to the established language usage of educated native speakers;  (American);  (British),384273520
real,being or occurring in fact or actuality; having verified existence; not illusory; ; ; ; ; ; - Longfellow,363417541
true,consistent with fact or reality; not false; ; - B. Russell,360915892
english,of or relating to or characteristic of England or its culture or people,360271662
similar,marked by correspondence or resemblance,353393387
close,at or within a short distance in space or time or having elements near each other,349970956
current,occurring in or belonging to the present time,349683827
major,of greater importance or stature or rank,346311116
able,(usually followed by `to') having the necessary means or skill or know-how or authority to do something,343061211
paid,marked by the reception of pay,334401150
single,being or characteristic of a single thing or person,329701808
black,being of the achromatic color of maximum darkness; having little or no hue owing to absorption of almost all incident light,328890678
natural,in accordance with nature; relating to or concerning nature,322815353
private,confined to particular persons or groups or providing privacy,315923932
increased,made greater in size or amount or degree,310516213
strong,having strength or power greater than average or expected,309645899
east,situated in or facing or moving toward the east,309311076
continued,without stop or interruption,306846703
clear,readily apparent to the mind,304413943
british,of or relating to or characteristic of Great Britain or its people or culture,302513447
specific,(sometimes followed by `to') applying to or characterized by or distinguishing something particular or special or unique,294757038
medical,relating to the study or practice of medicine,290928138
personal,concerning or affecting a particular person or his or her private life and personality,287380585
standard,conforming to or constituting a standard of measurement or value; or of the usual or regularized or accepted kind,282320866
established,brought about or set up or accepted; especially long established,279921203
annual,completing its life cycle within a year,279254499
complete,having every necessary or normal part or component or step,278088712
related,being connected either logically or causally or by shared characteristics,272695113
written,set down in writing in any of various ways,266774617
reported,made known or told about; especially presented in a formal account,263046729
direct,direct in spatial dimensions; proceeding without deviation or interruption; straight and short,262307186
published,prepared and printed for distribution and sale,262175329
military,of or relating to the study of the principles of warfare,259408271
hard,not easy; requiring great physical or mental effort to accomplish or comprehend or endure,257048249
limited,small in range or scope,256102552
french,of or pertaining to France or the people of France,254157483
financial,involving financial matters,254107465
bad,having undesirable or negative qualities,253063017
effective,producing or capable of producing an intended result or having a striking effect; -LewisMumford,248944904
wide,having great (or a certain) extent from one side to the other,245347952
developed,being changed over time so as to be e.g. stronger or more complete or more useful,244530523
industrial,of or relating to or resulting from industry,241419706
simple,having few parts; not complex or complicated or involved,240042352
applied,concerned with concrete problems or data rather than with fundamental principles; ; ; - Sidney Hook,235854575
physical,involving the body as distinguished from the mind or spirit,235650965
big,above average in size or number or quantity or magnitude or extent,229554938
western,relating to or characteristic of the western parts of the world or the West as opposed to the eastern or oriental parts,228903763
deep,relatively deep or strong; affecting one deeply,228659412
legal,established by or founded upon law or official or accepted rules,227769130
sure,having or feeling no doubt or uncertainty; confident and assured,226178792
modern,belonging to the modern era; since the Middle Ages,225825462
normal,conforming with or constituting a norm or standard or level or type or social norm; not abnormal,225368710
latter,referring to the second of two things or persons mentioned (or the last one or ones of several),224655530
