lemma,definition,count
one,used of a single unit or thing; not two or more,4126070011
may,the month following April and preceding June,2869311688
time,an instance or single occasion for some event,2865795390
state,the territory occupied by one of the constituent administrative districts of a nation,2767847171
year,a period of time containing 365 (or 366) days,2572846270
new,not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered,2424191987
two,being one more than one,2052142232
also,in addition,2044009341
said,being the one previously mentioned or spoken of,1876380755
first,preceding all others in time or space or degree,1818541242
see,perceive by sight or have the power to perceive by sight,1718186042
made,produced by a manufacturing process,1705673992
work,activity directed toward making or doing something,1669910266
good,having desirable or positive qualities especially those suitable for a thing specified,1631124430
case,an occurrence of something,1572219692
day,time for Earth to make a complete rotation on its axis,1496855505
part,something determined in relation to something that includes it,1457682285
find,"come upon, as if by accident; meet with",1410382493
well,(often used as a combining form) in a good or proper or satisfactory manner or to a high standard (`good' is a nonstandard dialectal variant for `well'),1379164686
great,relatively large in size or number or extent; larger than others of its kind,1310364140
system,instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity,1308057442
many,a quantifier that can be used with count nouns and is often preceded by `as' or `too' or `so' or `that'; amounting to a large but indefinite number,1303616636
service,work done by one person or group that benefits another,1286787903
must,a necessary or essential thing,1266782750
like,prefer or wish to do something,1246923993
make,engage in,1243662372
use,put into service; make work or employ for a particular purpose or for its inherent or natural purpose,1214893022
right,an abstract idea of that which is due to a person or governmental body by law or tradition or nature; ; - Eleanor Roosevelt,1193721823
number,the property possessed by a sum or total or indefinite quantity of units or individuals,1190356217
way,how something is done or how it happens,1178181634
people,(plural) any group of human beings (men or women or children) collectively,1175560312
general,applying to all or most members of a category or group,1171335900
law,the collection of rules imposed by authority,1167615020
act,a legal document codifying the result of deliberations of a committee or society or legislative body,1155556060
life,a characteristic state or mode of living,1122952571
used,employed in accomplishing something; - H.H.Arnold & I.C.Eaker,1121048889
even,used as an intensive especially to indicate something unexpected,1093807428
far,to a considerable degree; very much,1088408705
much,(quantifier used with mass nouns) great in quantity or degree or extent,1085408945
section,a self-contained part of a larger composition (written or musical),1060273892
order,give instructions to or direct somebody to do something with authority,1054119270
company,an institution created to conduct business,1039980034
court,an assembly (including one or more judges) to conduct judicial business,1029779404
water,binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent,1028091813
three,being one more than two,1019575454
government,the organization that is the governing authority of a political unit,1000837084
school,an educational institution,980791630
public,not private; open to or concerning the people as a whole,968656763
man,an adult person who is male (as opposed to a woman),965919596
child,a young person of either sex,963484533
place,put into a certain place or abstract location,949064075
however,despite anything to the contrary (usually following a concession),948021260
power,possession of controlling influence,936296682
country,a politically organized body of people under a single government,922443682
area,a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography),919723222
study,a detailed critical inspection,919246978
point,a geometric element that has position but no extension,916440033
form,the phonological or orthographic sound or appearance of a word that can be used to describe or identify something,915356682
long,primarily temporal sense; being or indicating a relatively great or greater than average duration or passage of time or a duration as specified,910855454
take,carry out,906639028
house,a dwelling that serves as living quarters for one or more families,903384038
say,express in words,888737147
result,a phenomenon that follows and is caused by some previous phenomenon,875594859
member,one of the persons who compose a social group (especially individuals who have joined and participate in a group organization),871019716
high,greater than normal in degree or intensity or amount,866891928
report,to give an account or representation of in words,863400827
know,be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about,860271947
mean,mean or intend to express or convey,855036431
doe,the federal department responsible for maintaining a national energy policy of the United States; created in 1977,853881572
group,any number of entities (members) considered as a unit,852719850
world,everything that exists anywhere,851801568
united,characterized by unity; being or joined into a single entity,850491753
value,a numerical quantity measured or assigned or computed,839567833
person,a human being,839282951
present,temporal sense; intermediate between past and future; now existing or happening or in consideration,832760479
city,a large and densely populated urban area; may include several independent administrative districts,829034645
line,a formation of people or things one beside another,821934564
effect,a phenomenon that follows and is caused by some previous phenomenon,820170535
change,cause to change; make different; cause a transformation,814991421
within,on the inside,813768762
hand,the (prehensile) extremity of the superior limb,804254910
question,an instance of questioning,803565757
given,acknowledged as a supposition,798762905
fact,a piece of information about circumstances that exist or events that have occurred,781236138
another,any of various alternatives; some other,776983608
come,"move toward, travel toward something or somebody or approach something or somebody",773538823
american,of or relating to the United States of America or its people or language or culture,772536407
little,limited or below average in number or quantity or magnitude or extent,771505183
rate,a magnitude or frequency relative to a time unit,769819795
back,in or to or toward a former location,768418978
national,of or relating to or belonging to a nation or country,766508663
every,(used of count nouns) each and all of the members of a group considered singly and without exception,758645868
information,a message received and understood,752110130
program,a series of steps to be carried out or goals to be accomplished,751633791
give,"cause to have, in the abstract sense or physical sense",747790302
men,the force of workers available,746675728
interest,a sense of concern with and curiosity about someone or something,745181440
development,act of improving by expanding or enlarging or refining,742485589
problem,a state of difficulty that needs to be resolved,740224391
woman,an adult female person (as opposed to a man),736965353
