lemma,count
one,4126070011
may,2869311688
time,2865795390
state,2767847171
year,2572846270
new,2424191987
two,2052142232
also,2044009341
said,1876380755
first,1818541242
see,1718186042
made,1705673992
work,1669910266
good,1631124430
case,1572219692
day,1496855505
part,1457682285
find,1410382493
well,1379164686
great,1310364140
system,1308057442
many,1303616636
service,1286787903
must,1266782750
like,1246923993
make,1243662372
use,1214893022
right,1193721823
number,1190356217
way,1178181634
people,1175560312
general,1171335900
law,1167615020
act,1155556060
life,1122952571
used,1121048889
even,1093807428
far,1088408705
much,1085408945
section,1060273892
order,1054119270
company,1039980034
court,1029779404
water,1028091813
three,1019575454
government,1000837084
school,980791630
public,968656763
man,965919596
child,963484533
place,949064075
however,948021260
power,936296682
country,922443682
area,919723222
study,919246978
point,916440033
form,915356682
long,910855454
take,906639028
house,903384038
say,888737147
result,875594859
member,871019716
high,866891928
report,863400827
know,860271947
mean,855036431
doe,853881572
group,852719850
world,851801568
united,850491753
value,839567833
person,839282951
present,832760479
city,829034645
line,821934564
effect,820170535
change,814991421
within,813768762
hand,804254910
question,803565757
given,798762905
fact,781236138
another,776983608
come,773538823
american,772536407
little,771505183
rate,769819795
back,768418978
national,766508663
every,758645868
information,752110130
program,751633791
give,747790302
men,746675728
interest,745181440
development,742485589
problem,740224391
woman,736965353
thing,732822187
cost,732666848
second,732268255
term,729410656
less,728155387
might,726220992
condition,723504217
university,722862880
small,721087866
large,720685201
go,717550645
end,715237450
committee,711514856
word,709345097
following,708996597
book,707541663
land,706914833
set,706355187
last,705324762
still,703675359
different,682940667
total,679309103
get,676788913
business,676557529
action,673611464
old,673217228
york,671464995
think,671342962
control,665093769
office,659693513
department,657997130
data,653962532
level,653045233
subject,649210671
name,647917024
process,647538023
period,645632695
table,644590460
type,642756975
method,639974647
show,638873536
material,635079282
figure,626327687
research,625454114
property,623279713
county,622758716
amount,620148850
course,614317997
family,609050864
purpose,608264915
board,606140952
never,604238341
party,604101528
example,601746546
war,599148288
matter,597924645
thus,594276163
social,585707832
home,584960798
side,582307572
god,576320886
important,573914562
john,562109296
rule,562094836
called,558691999
four,555292821
body,551002976
force,550015766
taken,549747586
price,547829581
education,547451150
need,547335948
field,546737558
individual,546580544
policy,545861110
certain,545766915
thought,545595859
bill,542504691
several,541875431
product,537841779
head,537025587
class,535762196
increase,531558473
possible,526683087
month,525136675
note,524385740
though,523148595
paper,521970942
activity,521561307
left,520544630
account,513249419
health,513221165
tax,511043987
society,510816972
view,509841843
yet,508822094
plan,507714646
therefore,506720430
local,506358670
foot,506123997
issue,505997591
president,503678409
position,502062410
history,501005614
operation,498715326
necessary,497868603
cent,496066866
application,492151542
light,491483736
often,491298143
bank,491112068
whole,491078356
reason,490302358
human,488217537
put,486699372
student,486169283
building,484254066
plant,483132932
best,481440700
want,481192216
common,480532914
district,480121614
age,478878513
hour,478802722
chapter,475638866
industry,475212149
held,475107846
special,472972894
based,472621897
south,470987674
required,470770957
came,470442383
support,467735385
air,467534760
five,466659129
cause,466136923
always,465295177
test,463400544
known,463226811
either,462413428
record,460979435
rather,459225800
let,456955527
due,456756333
standard,454778299
production,454693847
full,451771365
evidence,451434475
commission,451356914
available,449392318
early,449115768
white,447896674
market,446932368
eye,446103750
authority,446051088
international,445796768
free,445239057
including,444647837
model,440687937
community,440233594
provided,439475571
analysis,438741962
next,437728279
making,436237832
done,436087380
trade,434685560
association,434627796
letter,434243921
church,434143159
least,433282466
north,430896452
street,430192576
later,429006538
using,428568870
room,428421290
economic,428070410
look,427951510
ii,426393867
various,424962631
going,424929042
officer,424508159
federal,424355162
nature,424352964
money,423341696
kind,423098713
away,422714930
project,420869944
source,420067719
death,417974889
become,417361323
political,414930607
function,414439188
practice,414005018
half,413195731
patient,412954995
fund,412760434
around,412660098
third,411304838
low,410614948
date,407294615
young,406012220
experience,406008325
percent,405134120
help,401443260
art,400404587
unit,399132854
structure,398638367
care,398275944
sale,398126773
open,396464867
provide,396315191
ground,396202291
claim,395245261
mind,394816259
union,394232008
seen,393964130
relation,393769600
contract,392841796
article,392281638
cell,392136348
london,391647629
page,391483997
surface,391005718
statement,390741606
river,390349823
particular,388729052
face,388078290
organization,387317160
management,385836440
june,385700106
science,385539487
foreign,385470956
provision,385105299
shown,384543774
received,384273520
decision,384260258
meeting,384254462
took,383821590
energy,381710894
nothing,381072071
west,380829621
almost,380769334
together,380106661
week,379760426
current,376996299
read,375650140
lord,374593169
king,373709975
secretary,372641890
college,372364777
road,371847752
language,369745555
friend,367074518
factor,366279372
real,365778581
call,365617661
food,364718336
ever,363097557
already,363093454
along,362792616
short,362791479
went,362138429
idea,361947592
council,361719344
father,360512067
english,360488760
pay,360394386
press,360175193
difference,359476771
true,356710680
income,356339778
treatment,354089515
return,353812358
similar,353393387
employee,353163626
duty,352452575
major,351414552
supply,351409238
according,350933614
black,350785912
agency,350585535
love,347122474
considered,345198166
population,344363577
average,343983371
town,342652119
million,341994428
security,341493540
able,339964602
century,338839310
charge,338042432
future,337922707
march,336707623
benefit,335608242
july,335432907
near,334780255
non,334650574
paid,334401150
single,332988150
asked,332941757
measure,332579952
son,332492532
mile,332393574
corporation,332314411
reference,331972856
design,331358723
working,331322723
review,331287369
loss,330927369
size,330686280
higher,330319049
lower,329880640
respect,329489942
nation,329059625
oil,328373876
night,328307818
agreement,328061122
knowledge,327892769
self,327308966
center,326965742
enough,326697938
past,325995680
construction,325478459
quality,324450365
temperature,324003716
natural,323043194
six,322843069
stock,322507458
theory,322110872
central,321815957
region,321252930
defendant,320096470
character,319465902
title,319387832
division,319110135
mother,318860025
range,318848000
brought,318272879
director,317978596
private,317916120
tell,317003189
principle,316887911
addition,316673098
space,316610996
heart,315321339
resource,314967175
growth,314760510
sir,313992016
disease,313611290
solution,313467087
opinion,312741472
perhaps,312552284
basis,312044700
increased,310516213
situation,309389825
east,309374225
keep,308229144
gas,307903259
continued,306846703
payment,306352109
author,305967375
quite,305932695
degree,305706724
except,305651341
series,305594870
story,304385915
capital,304104426
requirement,303673559
pressure,303544248
worker,303455003
british,302513447
washington,301675984
told,301563521
effort,301421901
volume,301288972
especially,300627159
answer,300169603
labor,299286475
teacher,299213940
object,298813003
main,298511874
obtained,298372356
specific,297982190
approach,297922842
include,295785342
generally,295540450
described,294714554
believe,294164724
library,294018150
regulation,293082682
clear,293068350
event,291901799
became,291786510
medical,290987301
america,290824150
got,290621317
hundred,290136499
sense,289698992
movement,288624990
probably,288577360
step,288456011
close,288271533
procedure,288032472
fire,287850813
training,287728793
personal,287698191
element,286478659
relationship,285017340
usually,284908266
seems,282393813
annual,281163854
notice,280890639
established,279921203
site,279102790
distribution,279015723
april,278684961
administration,277975745
lead,277763132
complete,277683096
england,277159932
job,276664618
animal,276371933
turn,276298226
indian,275355674
list,275294224
equipment,274051488
chief,273732142
journal,273178987
gave,272875259
related,272695113
institution,272669051
length,271890446
fall,271791314
role,271545575
direction,271498335
share,271280813
tree,270964864
wall,270451266
congress,270036250
run,269629836
station,269612909
demand,269590184
car,269576462
manner,268493196
soon,268241353
feel,266830140
written,266774617
specie,266290582
island,266082208
saw,265973784
response,265904453
attention,265860760
influence,264845730
stage,264803057
minute,264318910
moment,263919392
hold,263263969
reported,263046729
performance,262848560
direct,262248011
published,262175329
really,260428789
sea,260200205
military,259701861
proposed,259035565
january,258912015
additional,258884672
agent,258465735
late,258161449
content,257270740
opportunity,256767256
limited,256119399
army,255825001
judgment,255549211
original,254750635
french,254180063
financial,254107465
bad,253183462
follows,253008165
code,252970221
consideration,252627560
motion,252526772
door,252018639
insurance,251939118
play,251661418
arm,251577352
post,251277817
sometimes,251162520
strong,250737832
judge,250718818
official,250421042
hope,250141485
living,249645273
yes,249316148
wife,249312527
red,249042055
meet,249003364
effective,248944904
sample,248935232
december,248395825
base,248133640
began,247835464
taking,247823255
trial,247821440
blood,247645986
carried,247337741
fee,247270069
acid,246803975
soil,246736146
ten,246466214
hospital,246164776
twenty,245808316
facility,244555713
developed,244530523
james,244481159
discussion,244463231
felt,243914129
technology,243821286
representative,243189871
presented,242192214
amendment,241860322
knew,241821503
cut,241740012
industrial,241419706
plaintiff,241202134
expense,240710627
sound,240678052
needs,240624794
sent,240359634
thousand,240154331
looked,239736865
added,239026741
flow,238615295
reading,238499039
top,238247434
appeal,238203149
weight,238116524
passed,237984377
writing,237856475
minister,237508446
bond,237416704
regard,236519567
applied,235854575
included,235852211
physical,235650965
produce,235628779
across,235579905
communication,235327221
final,234215995
chairman,233996212
employment,233976940
address,233944259
produced,233847055
risk,233371791
stand,232996020
boy,232987198
placed,232885604
october,232782593
feature,232626685
machine,232538931
leave,231274510
portion,230990010
survey,230798157
particularly,230299426
outside,230285642
hard,230049947
mr,230030653
indeed,229568406
text,229379361
western,229133282
equal,228803805
today,228611942
september,228527604
fine,228305177
rest,227974625
spirit,227949109
justice,227885798
item,227817601
legal,227769130
modern,227387736
normal,226996951
instance,226743890
determined,226194555
poor,226148332
civil,225906530
staff,225818813
proceeding,225597029
parent,225484397
front,225298668
appear,225225321
box,225106572
conference,224811840
latter,224787592
beginning,224690946
heard,224408678
grant,224122660
trust,223502071
farm,223243557
cross,223060370
medium,222953636
sure,222670783
iii,222181171
extent,222148290
girl,221698777
difficult,221690475
george,221676356
offer,221577593
recent,221366662
longer,221113860
culture,220318454
aid,220267535
credit,220092780
firm,218972899
detail,218323660
former,218121782
august,217762709
copy,217725671
needed,217541323
involved,217389563
likely,217276265
scale,217233287
mass,217118844
experiment,217059838
characteristic,216834202
investment,216110796
middle,215452184
connection,215236647
turned,215006760
german,214870218
brother,214649003
ship,214488881
limit,214030500
alone,213864331
beyond,213295860
publication,213130585
simple,212789555
move,212525409
voice,212365021
consider,212217474
proper,212198538
instead,212135444
significant,212071791
appears,211917901
lost,211490204
followed,211340341
california,211061171
attempt,210711416
deal,210559677
potential,210189476
estate,210124017
distance,209982119
exchange,209897211
inch,209889877
robert,209874304
nearly,209531682
pattern,209054660
associated,208865153
expected,208567673
collection,208564723
dollar,208516556
error,207926002
branch,207911580
rock,207818283
earth,207466397
live,207373263
pass,207372378
feeling,207342320
finally,207279902
protection,206440412
lake,206124613
france,206090874
capacity,206079919
basic,206069119
improvement,205855694
lot,205569139
circumstance,205372705
cover,205365129
european,205083709
bring,204547719
chemical,204517880
wood,204132747
contact,204012906
behind,203807966
observed,203728063
institute,203623796
request,203086941
principal,203061619
understand,202815252
finding,202490092
loan,202131221
wide,201803564
november,201178345
seemed,201090678
metal,201057638
piece,201042716
iron,200992929
drug,200968770
picture,200920878
throughout,200733301
master,200636283
spring,200555447
image,200122900
importance,199765911
mark,199545375
description,199251848
stated,198757163
prior,198686231
thomas,198394896
morning,198176885
examination,198161120
bed,197675698
phase,196762828
hill,196707675
joint,196406885
commercial,196375394
ask,195872583
relative,195697588
india,195516939
technique,195335282
transfer,195223581
owner,195043269
resolution,194938877
referred,194435566
estimate,194298094
heat,194193985
plate,194168399
mine,193947262
seem,193757587
february,193636424
planning,193488708
provides,193405996
appropriate,193238008
steel,193190678
technical,192919697
election,192805068
truth,191962632
reaction,191756246
christian,191754465
sufficient,191713914
advantage,191435101
green,191397225
affair,191321982
primary,191288620
computer,191267570
environment,191180447
brown,190992482
peace,190783553
variety,190773453
previous,190554561
document,190551348
failure,190351778
kept,190264640
wanted,190075364
looking,189960758
entire,189935628
meaning,189768718
otherwise,189195656
music,188984785
canada,188152653
sum,188117946
big,187921031
hearing,187809164
balance,187774179
key,187555574
strength,187212627
forest,187063713
mentioned,187032395
vessel,186891413
prepared,186647010
senate,186563572
europe,186347004
leader,186224541
component,186134610
conclusion,186093146
difficulty,185908573
allowed,185885379
charles,185814493
doubt,185609392
directly,185558635
investigation,185480016
presence,185127903
concern,184864349
wish,184850816
damage,184133947
determine,184132158
file,184107815
coal,184088654
add,183904638
start,183738665
deep,183665683
instruction,183530193
coming,183481412
index,183379665
net,183291148
larger,183228279
manager,183147013
simply,182819992
seven,182659417
immediately,182546212
commissioner,182332102
bar,181854148
existing,181799782
senator,181796313
learning,181635718
clearly,181398316
actual,181288766
chicago,181254546
born,181211344
earlier,180800070
upper,180743166
task,180664542
safety,180468976
park,180452592
leaf,180402971
begin,180280855
ago,180183147
issued,180149491
professional,180119477
quantity,179880775
require,179727770
eight,179629674
aspect,179600255
concept,179569314
progress,179492015
statute,179250819
expression,179200283
economy,179158446
sign,179017856
employed,179003775
understanding,178230902
carry,178168694
actually,177951046
executive,177390748
success,177343451
engineering,177313404
continue,177255595
film,177232249
formed,177060305
observation,176887160
revenue,176844643
responsibility,176739447
agricultural,176723299
entitled,176589926
color,176510474
separate,176452078
giving,176446051
stone,176371095
ability,176167127
met,175376872
rise,175277086
built,175249273
professor,175094406
assistance,174811769
complex,174654656
round,174482954
receive,174347198
impact,174334834
active,174263877
horse,174042504
literature,173582931
exercise,173457162
profit,173001366
lie,172585806
behavior,172576376
instrument,171733265
concerned,171584703
ton,171563764
argument,171031963
led,170929794
engineer,170876756
smith,170460670
independent,170254238
fair,170240204
reduced,170136349
desire,170112915
follow,170111526
compared,169929207
talk,169888086
reached,169880024
sec,169803095
religious,169721126
railroad,169680187
considerable,169490805
electric,169380015
fish,169353954
southern,168756373
wage,168588858
certainly,168501898
lady,168342601
apply,167938092
died,167547997
operating,167496364
includes,167444219
motor,167433239
maximum,167327636
henry,167282400
