lemma,definition,len_tokens,mean_log_freq,median_log_freq,miss_rate
mylodontid,a variety of extinct edentate,3,-5.453837120955029,-5.282908734364749,0.0
slenderising,make slender or appear to be slender,3,-4.286758395100989,-4.8831131602552755,0.0
deconsecrates,remove the consecration from a person or an object,4,-4.209459950254939,-3.9759968011128595,0.0
ataraxis,the absence of mental stress or anxiety,4,-4.185228391275055,-4.091518175373988,0.0
lorchel,a large fungus of the family Helvellaceae,4,-5.14306042358044,-4.310899977491472,0.0
glamourises,interpret romantically,2,-5.611188793848436,-5.611188793848436,0.0
miniest,used of women's clothing; very short with hemline above the knee,6,-4.558556066053609,-4.064611361010614,0.0
pussier,containing pus,2,-4.645012966746208,-4.645012966746208,0.0
mamboing,dance a mambo,2,-5.54585539498456,-5.54585539498456,0.0
telecommerce,the use of the telephone as an interactive medium for promotion and sales,6,-4.021501302640573,-3.970048861447295,0.0
heterotrichales,yellow-green algae with simple or branching filaments; comprising the single family Tribonemaceae,9,-4.9978286796300795,-4.448393007444641,0.11111111111111116
scarecrowish,resembling a scarecrow in being thin and ragged,4,-5.114810754943882,-5.101100653463805,0.0
unquieter,characterized by unrest or disorder,3,-4.917937182120363,-5.11651968358178,0.0
moroser,showing a brooding ill humor; ; ; ; ; ; - Bruce Bliven,6,-4.500844521604766,-4.797604338454361,0.16666666666666663
tippytoeing,walk on one's toes,2,-4.512992069674652,-4.512992069674652,0.0
euryalida,basket stars,2,-4.448463138796003,-4.448463138796003,0.0
gibbousness,something that bulges out or is protuberant or projects from its surroundings,5,-4.90505869883255,-5.0045817503122745,0.0
unappareled,having removed clothing,2,-4.370141907094964,-4.370141907094964,0.0
overseing,watch and direct,2,-4.011302677456536,-4.011302677456536,0.0
sirees,make children,2,-3.149477738449158,-3.149477738449158,0.0
manteidae,mantises,1,-6.368303913353962,-6.368303913353962,0.0
musales,tropical plants,2,-4.108307689301784,-4.108307689301784,0.0
unshoed,not shod,1,-6.0802937389096625,-6.0802937389096625,0.0
telepathized,communicate nonverbally by telepathy,3,-6.010612206592701,-6.253949260858856,0.0
accurses,curse or declare to be evil or anathema or threaten with divine punishment,7,-4.8268799949968,-4.723233905126969,0.0
anuretic,of or relating to an inability to urinate,3,-5.270461095783548,-4.826563009672078,0.0
concertised,give concerts; perform in concerts,4,-4.257350085788576,-4.492464533057241,0.0
destalinize,counteract the effects and policies of Stalinism,4,-4.649213759845923,-4.484253891701284,0.0
flunitrazepan,a depressant and tranquilizer (trade name Rohypnol) often used in the commission of sexual assault; legally available in Europe and Mexico and Colombia,15,-4.256430597461768,-4.044077872928416,0.06666666666666665
handcolor,color by hand,2,-3.6126692577357993,-3.6126692577357993,0.0
swattering,splash and flutter about in or as if in water,3,-4.756760776363152,-5.530336066014739,0.0
acrogenic,pertaining to flowerless plants (ferns or mosses) in which growth occurs only at the tip of the main stem,10,-4.604429737665256,-4.3884547574475326,0.09999999999999998
ophthalmectomy,surgical removal of an eye,3,-4.152852839867478,-4.2765981284819,0.0
drippiness,the physical property of being soft and drippy,4,-4.73277878535733,-4.029639827880141,0.0
arterializes,change venous blood into arterial blood,5,-4.22675480317004,-3.79492006562941,0.0
watercannon,a hose (carried on a truck) that fires water under high pressure to disperse crowds (especially crowds of rioters),12,-4.272849614118818,-4.046836143047212,0.0
jagghery,unrefined brown sugar made from palm sap,6,-4.582015875672571,-4.397860995309259,0.0
colourize,add color to,2,-3.9330697767088028,-3.9330697767088028,0.0
melanise,"convert into, or infiltrate with melanin",3,-5.614109828829634,-5.9648002061699605,0.0
bombinated,make a buzzing sound,3,-4.24509372144842,-3.807314870923567,0.0
epiplexis,a rhetorical device in which the speaker reproaches the audience in order to incite or convince them,8,-4.624375270110056,-4.625696982328685,0.0
caffeinic,of or containing caffein,2,-5.536467390956503,-5.536467390956503,0.0
unbrainwashed,not successfully subjected to brainwashing,3,-4.809726800943957,-4.48090996611472,0.0
splayer,turned outward in an ungainly manner,4,-4.673491752158104,-4.311827348309965,0.0
lyginopteridales,fossil gymnospermous trees or climbing plants from the Devonian: seed ferns,8,-4.918615955983672,-4.838875933654938,0.0
preachier,inclined to or marked by tedious moralization,4,-5.240831721396572,-4.968548743589826,0.0
breveting,"promote somebody by brevet, in the military",4,-4.7149736610689725,-4.582534442035634,0.0
schaffneria,one species,1,-3.7633955518986295,-3.7633955518986295,0.0
autotomise,cause a body part to undergo autotomy,5,-4.463663378834181,-3.520237854065906,0.0
sightsees,visit famous or interesting sights,4,-3.9658216823425585,-4.111889304080382,0.0
leatherjack,any of several New World tropical fishes having tiny embedded scales,8,-4.111708148475512,-3.905890501197403,0.0
botanises,collect and study plants,3,-3.752252939196516,-3.504684717618549,0.0
widowman,a man whose wife is dead especially one who has not remarried,5,-4.2132529063514665,-3.792007258008953,0.0
paleencephalon,the more primitive parts of the brain phylogenetically; most structures other than the cerebral cortex,7,-4.566352502793286,-4.6356169894259125,0.0
overvaliant,having or showing undue valor or boldness,4,-4.953435873367717,-5.342680238722693,0.0
alchemising,alter (elements) by alchemy,3,-4.766005809261613,-4.672148268774752,0.0
codetalker,a secret agent who was one of the Navajos who devised and used a code based on their native language; the code was unbroken by the Japanese during World War II,14,-3.9266775232295843,-3.7856819585468493,0.0
charminger,pleasing or delighting,2,-4.403703797324819,-4.403703797324819,0.0
marveller,someone filled with admiration and awe; someone who wonders at something,6,-4.23226418526609,-4.21210500901136,0.0
syllogised,reason by syllogisms,2,-4.685835420931441,-4.685835420931441,0.0
biskek,the capital of Kyrgyzstan (known as Frunze 1926-1991),4,-4.633208682598409,-3.7057286178492586,0.25
bimillenial,of or relating to a bimillennium,2,-6.5162401372835905,-6.5162401372835905,0.0
maziest,resembling a labyrinth in form or complexity,4,-4.609166982567258,-4.818733797310401,0.0
tumescing,expand abnormally,2,-5.1475398927071465,-5.1475398927071465,0.0
rumbaed,dance the rhumba,2,-5.899521591595223,-5.899521591595223,0.0
threadiest,forming viscous or glutinous threads,4,-4.926405829588621,-5.009976224186705,0.0
astheny,an abnormal loss of strength,3,-4.129089181497697,-3.91641622099495,0.0
butterflower,any of various plants of the genus Ranunculus,4,-4.5159732086689015,-4.042033494040869,0.0
chintzier,of very poor quality; flimsy,3,-4.471053270125085,-3.834357969734531,0.0
engild,"decorate with, or as if with, gold leaf or liquid gold",5,-4.357617117176242,-3.9696367266560864,0.0
ketembilla,a small shrubby spiny tree cultivated for its maroon-purple fruit with sweet purple pulp tasting like gooseberries; Sri Lanka and India,15,-4.754989545509955,-4.797119936045698,0.1333333333333333
roughdried,(of laundry) dried but not ironed,3,-5.1037393493131455,-5.05566334553866,0.0
ithunn,(Norse mythology) goddess of spring and wife of Bragi; guarded the apples that kept the gods eternally young,12,-4.691626176063105,-4.3398838561091,0.0
aphorizes,speak or write in aphorisms,3,-4.655884965199125,-4.035214186539228,0.0
etherizes,anesthetize with ether,2,-5.9814698221385765,-5.9814698221385765,0.0
ischigualastia,early reptile found in Argentina,4,-4.207671226751765,-4.225249804812108,0.0
yenned,have a desire for something or someone who is not present,4,-3.737896800044365,-3.7823603941739403,0.0
colourizing,add color to,2,-3.9330697767088028,-3.9330697767088028,0.0
longroot,deep-rooted perennial of southeastern United States,5,-4.059200202891817,-4.157567238880496,0.19999999999999996
gourmandized,overeat or eat immodestly; make a pig of oneself,6,-5.244612474135895,-4.833646807542857,0.0
