lemma,definition,count
mylodontid,a variety of extinct edentate,460
slenderising,make slender or appear to be slender,460
deconsecrates,remove the consecration from a person or an object,459
ataraxis,the absence of mental stress or anxiety,459
lorchel,a large fungus of the family Helvellaceae,459
glamourises,interpret romantically,459
miniest,used of women's clothing; very short with hemline above the knee,459
pussier,containing pus,459
mamboing,dance a mambo,458
telecommerce,the use of the telephone as an interactive medium for promotion and sales,458
heterotrichales,yellow-green algae with simple or branching filaments; comprising the single family Tribonemaceae,458
scarecrowish,resembling a scarecrow in being thin and ragged,458
unquieter,characterized by unrest or disorder,457
moroser,showing a brooding ill humor; ; ; ; ; ; - Bruce Bliven,457
tippytoeing,walk on one's toes,457
euryalida,basket stars,457
gibbousness,something that bulges out or is protuberant or projects from its surroundings,457
unappareled,having removed clothing,456
overseing,watch and direct,456
sirees,make children,455
manteidae,mantises,455
musales,tropical plants,455
unshoed,not shod,455
telepathized,communicate nonverbally by telepathy,455
accurses,curse or declare to be evil or anathema or threaten with divine punishment,455
anuretic,of or relating to an inability to urinate,455
concertised,give concerts; perform in concerts,455
destalinize,counteract the effects and policies of Stalinism,455
flunitrazepan,a depressant and tranquilizer (trade name Rohypnol) often used in the commission of sexual assault; legally available in Europe and Mexico and Colombia,454
handcolor,color by hand,454
swattering,splash and flutter about in or as if in water,454
acrogenic,pertaining to flowerless plants (ferns or mosses) in which growth occurs only at the tip of the main stem,454
ophthalmectomy,surgical removal of an eye,453
drippiness,the physical property of being soft and drippy,453
arterializes,change venous blood into arterial blood,453
watercannon,a hose (carried on a truck) that fires water under high pressure to disperse crowds (especially crowds of rioters),453
jagghery,unrefined brown sugar made from palm sap,452
colourize,add color to,452
melanise,"convert into, or infiltrate with melanin",451
bombinated,make a buzzing sound,451
epiplexis,a rhetorical device in which the speaker reproaches the audience in order to incite or convince them,451
caffeinic,of or containing caffein,451
unbrainwashed,not successfully subjected to brainwashing,451
splayer,turned outward in an ungainly manner,450
lyginopteridales,fossil gymnospermous trees or climbing plants from the Devonian: seed ferns,450
preachier,inclined to or marked by tedious moralization,450
breveting,"promote somebody by brevet, in the military",450
schaffneria,one species,450
autotomise,cause a body part to undergo autotomy,450
sightsees,visit famous or interesting sights,450
leatherjack,any of several New World tropical fishes having tiny embedded scales,450
botanises,collect and study plants,450
widowman,a man whose wife is dead especially one who has not remarried,449
paleencephalon,the more primitive parts of the brain phylogenetically; most structures other than the cerebral cortex,449
overvaliant,having or showing undue valor or boldness,448
alchemising,alter (elements) by alchemy,447
codetalker,a secret agent who was one of the Navajos who devised and used a code based on their native language; the code was unbroken by the Japanese during World War II,447
charminger,pleasing or delighting,447
marveller,someone filled with admiration and awe; someone who wonders at something,447
syllogised,reason by syllogisms,446
biskek,the capital of Kyrgyzstan (known as Frunze 1926-1991),446
bimillenial,of or relating to a bimillennium,446
maziest,resembling a labyrinth in form or complexity,446
tumescing,expand abnormally,445
rumbaed,dance the rhumba,445
threadiest,forming viscous or glutinous threads,445
astheny,an abnormal loss of strength,445
butterflower,any of various plants of the genus Ranunculus,445
chintzier,of very poor quality; flimsy,444
engild,"decorate with, or as if with, gold leaf or liquid gold",444
ketembilla,a small shrubby spiny tree cultivated for its maroon-purple fruit with sweet purple pulp tasting like gooseberries; Sri Lanka and India,444
roughdried,(of laundry) dried but not ironed,444
ithunn,(Norse mythology) goddess of spring and wife of Bragi; guarded the apples that kept the gods eternally young,444
aphorizes,speak or write in aphorisms,444
etherizes,anesthetize with ether,444
ischigualastia,early reptile found in Argentina,443
yenned,have a desire for something or someone who is not present,443
colourizing,add color to,443
longroot,deep-rooted perennial of southeastern United States,442
gourmandized,overeat or eat immodestly; make a pig of oneself,442
threadier,forming viscous or glutinous threads,442
palaeencephalon,the more primitive parts of the brain phylogenetically; most structures other than the cerebral cortex,442
chronologised,establish the order in time of something,442
bestubbled,having a short growth of beard,442
haematolysis,lysis of erythrocytes with the release of hemoglobin,441
sightsing,sing from a score without having seen it before,441
dyeweed,small Eurasian shrub having clusters of yellow flowers that yield a dye; common as a weed in Britain and the United States; sometimes grown as an ornamental,441
nosecount,a periodic count of the population,441
chips,strips of potato fried in deep fat,441
clittered,make a shrill creaking noise by rubbing together special bodily structures,441
trepidly,in a timorous and trepid manner,440
vitidaceae,a family of vines belonging to order Rhamnales,440
defervescing,experience an abatement of a fever,440
pronks,jump straight up,439
sudated,excrete perspiration through the pores in the skin,439
nanocephaly,an abnormally small head and underdeveloped brain,439
melodising,supply a melody for,439
clarioning,blow the clarion,438
flavorlessness,the property of having no flavor,438
stolider,having or revealing little emotion or sensibility; not easily aroused or excited; ; - Nordhoff & Hall; -Virginia Woolf,438
outmarches,march longer distances and for a longer time than,438
oversews,sew (two edges) with close stitches that pass over them both,438
tweest,affectedly dainty or refined,438
silvervine,ornamental vine of eastern Asia having yellow edible fruit and leaves with silver-white markings,438
stumpiest,short and thick; as e.g. having short legs and heavy musculature,438
conchfish,found in West Indies; lives in mantle cavity of a living conch,437
unenergetically,without energy; in a lethargic manner,437
defogs,free from mist,436
prologuize,write or speak a prologue,436
overcrops,to exhaust by excessive cultivation,435
peptises,disperse in a medium into a colloidal state,435
thickspread,covered thickly,435
beetleweed,tufted evergreen perennial herb having spikes of tiny white flowers and glossy green round to heart-shaped leaves that become coppery to maroon or purplish in fall,435
prospicient,planning prudently for the future,435
nitrogenize,treat with nitrogen or a nitrogen compound,434
bowdleriser,a person who edits a text by removing obscene or offensive words or passages,433
phalacrosis,the condition of having no hair on the top of the head,433
whackiest,"ludicrous, foolish",433
unpleasingness,the quality of being unpleasant,432
photosensitise,make (an organism or substance) sensitive to the influence of radiant energy and especially light,432
podgier,short and plump,432
unbelts,undo the belt of,431
deprecatively,in a deprecative manner,431
lifehacking,make one's day-to-day activities more efficient,429
futiler,producing no result or effect,429
dizening,dress up garishly and tastelessly,429
depressurises,decrease the pressure of,429
comminating,curse or declare to be evil or anathema or threaten with divine punishment,429
tricksiest,marked by skill in deception,428
photalgia,pain in the eye resulting from exposure to bright light (often associated with albinism),428
sarcodinian,protozoa that move and capture food by forming pseudopods,428
logogrammatic,of or relating to logograms or logographs,428
smarmier,unpleasantly and excessively suave or ingratiating in manner or speech,427
imperfecter,not perfect; defective or inadequate,427
lophosoriaceae,very small family of tree ferns,426
radiigera,a genus of fungus belonging to the family Geastraceae,426
alliterator,a speaker or writer who makes use of alliteration,426
kachinic,Tibeto-Burman languages spoken in northernmost Burma and adjacent China and India,426
schmoose,an informal conversation,426
caprioled,"perform a capriole, of horses in dressage",426
coralwort,European bittercress having a knotted white rootstock,426
tranquilest,(of a body of water) free from disturbance by heavy waves,426
nonechoic,not echoic or imitative of sound,426
icetray,a tray for making cubes of ice in a refrigerator,425
gibibyte,"a unit of information equal to 1024 mebibytes or 2^30 (1,073,741,824) bytes",425
unlashes,untie the lashing of,424
pervaporate,evaporate through a semipermeable membrane,424
viscidness,the property of being cohesive and sticky,424
badgerer,someone who tries to embarrass you with gibes and questions and objections,424
nonplusing,be a mystery or bewildering to,424
zymolytic,of or relating to or causing fermentation,424
broodiest,physiologically ready to incubate eggs,424
loxoma,one species of terrestrial ferns of New Zealand,423
arthrosporic,of or relating to arthrospores,422
defibrinates,remove fibrin from (blood),422
lepidobotrys,African tree often classified in other families; similar to the Costa Rican caracolito in wood structure as well as in fruit and flowers and leaves and seeds,422
calceiform,of slipper-shaped blossoms,421
sapidness,a pleasant flavor,421
ruttiest,full of ruts,421
unconstipated,not constipated,421
kayoing,knock unconscious or senseless,420
spindlelegs,a thin person with long thin legs,420
paleoencephalon,the more primitive parts of the brain phylogenetically; most structures other than the cerebral cortex,420
inspans,attach a yoke or harness to,419
acetifies,make sour or more sour,419
overgeneralises,draw too general a conclusion,419
homostylic,(botany) having styles all of the same length,418
coinsures,take out coinsurance,418
demyelinates,destroy the myelin sheath of,418
machicolate,supply with projecting galleries,418
microbrachia,abnormally small arms,417
scrimy,dirty and disgusting; - Al Hine,417
logginess,a dull and listless state resulting from weariness,417
insipidest,lacking taste or flavor or tang,416
metagrabolized,totally perplexed and mixed up; - Wall Street Journal,416
flukiest,subject to accident or chance or change,416
shamanise,practice shamanism,416
hypnagogue,an agent that induces drowsiness or sleep,416
ureterostenosis,stenosis of the ureter,415
unsarcastic,not sarcastic,415
frowziest,negligent of neatness especially in dress and person; habitually dirty and unkempt,415
teetotals,practice teetotalism and abstain from the consumption of alcoholic beverages,415
arborical,of or relating to or formed by trees,414
aviates,operate an airplane,414
maturement,coming to full development; becoming mature,414
papulovesicle,a papule that changes into a blister,414
dyspneal,not breathing or able to breathe except with difficulty,414
