lemma,definition,count
hematocyturia,the presence of red blood cells in the urine,81
underreckoning,an estimation that is too low; an estimate that is less than the true or actual value,81
flashboarding,boarding place along the top of a dam to increase its height,80
stylostixis,treatment of pain or disease by inserting the tips of needles at specific points on the skin,80
pseudophloem,false phloem,79
muritaniya,a country in northwestern Africa with a provisional military government; achieved independence from France in 1960; largely western Sahara Desert,79
arborolatry,the worship of trees,79
rijsttaffel,dish originating in Indonesia; a wide variety of foods and sauces are served with rice,79
thingmajig,something unspecified whose name is either forgotten or not known,78
cherimolla,large tropical fruit with leathery skin and soft pulp; related to custard apples,78
schistorrhachis,a not uncommon congenital defect in which a vertebra is malformed; unless several vertebrae are affected or there is myelomeningocele there are few symptoms; can be diagnosed by amniocentesis,78
pinnatiped,aquatic carnivorous mammal having a streamlined body specialized for swimming with limbs modified as flippers,78
bobfloat,a small float usually made of cork; attached to a fishing line,78
tshatshke,"(Yiddish) an attractive, unconventional woman",78
foetometry,measurement of a fetus (especially the diameter of the head),77
urarthritis,a painful inflammation of the big toe and foot caused by defects in uric acid metabolism resulting in deposits of the acid and its salts in the blood and joints,77
ulalgia,pain in the gums,77
urochesia,passage of urine from the anus,77
optez,an artificial language,76
splitsaw,a handsaw for cutting with the grain of the wood,76
erythrocytolysin,any substance that can cause lysis (destruction) of erythrocytes (red blood cells) and the release of their hemoglobin,75
gastromy,surgical incision into the stomach,75
paletiology,the explanation of past events in terms of scientific causes (as geological causes),75
cystoparalysis,paralysis of the urinary bladder,75
citroncirus,a cross between Citrus sinensis and Poncirus trifoliata,74
whatchamacallum,something unspecified whose name is either forgotten or not known,74
antinomasia,substitution of a title for a name,74
iontotherapy,therapy that uses a local electric current to introduce the ions of a medicine into the tissues,74
pointrel,a tool used by an engraver,73
pseudovariola,a mild form of smallpox caused by a less virulent form of the virus,72
swanflower,any of several orchids of the genus Cycnoches having slender arching columns of flowers suggesting the neck of a swan,72
cryoanaesthesia,insensibility resulting from cold,71
obsessivity,extreme compulsiveness,71
botulismotoxin,potent bacterial toxin produced by the bacterium Clostridium botulinum that causes botulism; can be used as a bioweapon,70
bitthead,the upper end of a bitt,69
glareole,Old World shorebird with long pointed wings and short legs; closely related to the coursers,68
turakoo,large brightly crested bird of Africa,68
orthochorea,a form of chorea in which spasms occur mainly when the patient is erect,68
cancerweed,sage of eastern United States,68
plexiglass,a light transparent weather resistant thermoplastic,68
amphioxidae,lancelets,67
dinocerate,an extinct ungulate,67
dicamptodontid,salamanders found near cold streams throughout the year,66
smiledon,saber-toothed tigers,64
myaceae,clams,64
musgoi,a Chadic language spoken south of Lake Chad,64
fluoroboride,a salt of fluoroboric acid,63
racketiness,the auditory effect characterized by loud and constant noise,62
paleodendrology,the branch of paleobotany that studies fossil trees,62
cocoswood,wood of the granadilla tree used for making musical instruments especially clarinets,61
verbolatry,the worship of words,61
otoganglion,an autonomic ganglion whose postganglionic fibers are distributed to the parotid gland,61
quiaquia,small fusiform fish of western Atlantic,60
urodella,salamanders; newts; congo snakes,60
erythrolysin,any substance that can cause lysis (destruction) of erythrocytes (red blood cells) and the release of their hemoglobin,60
keratonosis,any abnormal condition of the outer skin (epidermis),60
pearlweed,any of various low-growing plants of the genus Sagina having small spherical flowers resembling pearls,59
whorlywort,a tall perennial herb having spikes of small white or purple flowers; common in eastern North America,59
longanberry,tree of southeastern Asia to Australia grown primarily for its sweet edible fruit resembling litchi nuts; sometimes placed in genera Euphorbia or Nephelium,59
protoarchaeology,the study of prehistoric human artifacts and human fossils,59
candyweed,bog plant of pine barrens of southeastern United States having spikes of irregular yellow-orange flowers,58
jupaty,a tall Brazilian feather palm with a terminal crown of very large leathery pinnatisect leaves rising from long strong stems used for structural purposes,58
taraktagenos,medium to large Indonesian and Malaysian trees,57
synercus,Cape buffalo,57
exbibyte,a unit of information equal to 1024 pebibytes or 2^60 bytes,57
vetchworm,larva of a noctuid moth; highly destructive to especially corn and cotton and tomato crops,57
psilotatae,"whisk ferns; comprising the family Psilotaceae or Psilotatae: vascular plants with no roots, partial if any leaf differentiation, and rudimentary spore sacs",56
triostium,genus of Asiatic and North American herbs: feverroot,56
iridoncus,swelling of the iris of the eye,55
jewbush,low tropical American shrub having powerful emetic properties,54
tichodrome,crimson-and-grey songbird that inhabits town walls and mountain cliffs of southern Eurasia and northern Africa,54
hyperlipoidaemia,presence of excess lipids in the blood,53
eightvo,the size of a book whose pages are made by folding a sheet of paper three times to form eight leaves,53
mayidism,a disease caused by deficiency of niacin or tryptophan (or by a defect in the metabolic conversion of tryptophan to niacin); characterized by gastrointestinal disturbances and erythema and nervous or mental disorders; may be caused by malnutrition or alcoholism or other nutritional impairments,52
theologiser,someone who is learned in theology or who speculates about theology,51
clinocephalism,a congenital defect in which the top of the head is depressed (concave instead of convex),50
onomancer,one who practices onomancy,50
imminentness,the state of being imminent and liable to happen soon,49
creashak,evergreen mat-forming shrub of North America and northern Eurasia having small white flowers and red berries; leaves turn red in autumn,49
floodhead,a wall of water rushing ahead of the flood,49
unpermissiveness,a lack of permissiveness or indulgence and a tendency to confine behavior within certain specified limits,49
frontstall,medieval plate armor to protect a horse's head,48
mailsorter,a sorter for sorting mail according to the address,47
waggonwright,a wagon maker,47
atrophedema,"recurrent large circumscribed areas of subcutaneous edema; onset is sudden and it disappears within 24 hours; seen mainly in young women, often as an allergic reaction to food or drugs",47
nauseatingness,extreme unpalatability to the mouth,47
ortygan,any of several East Indian birds,47
spicemill,a mill for grinding spices,47
unappetizingness,the property of spoiling the appetite,47
religiousism,exaggerated or affected piety and religious zeal,46
yanquapin,water lily of eastern North America having pale yellow blossoms and edible globular nutlike seeds,46
terrietia,"small genus of timber trees of eastern Asia, Australasia and tropical Africa that form large buttresses",46
tunaburger,a sandwich that resembles a hamburger but made with tuna instead of beef,46
polyplacophore,primitive elongated bilaterally symmetrical marine mollusk having a mantle covered with eight calcareous plates,45
crocolite,a rare lead chromite mineral that forms bright orange crystals,45
keratonosus,any disease of the cornea,43
meerestone,an old term for a landmark that consisted of a pile of stones surmounted by an upright slab,43
gynaeolatry,the worship of women,42
aquilege,a plant of the genus Aquilegia having irregular showy spurred flowers; north temperate regions especially mountains,41
corakan,"East Indian cereal grass whose seed yield a somewhat bitter flour, a staple in the Orient",41
