lemma,count
may,2869311688
time,2865795390
state,2767847171
year,2572846270
work,1669910266
case,1572219692
day,1496855505
part,1457682285
system,1308057442
service,1286787903
must,1266782750
right,1193721823
number,1190356217
way,1178181634
people,1175560312
law,1167615020
act,1155556060
life,1122952571
section,1060273892
company,1039980034
court,1029779404
water,1028091813
government,1000837084
school,980791630
man,965919596
child,963484533
power,936296682
country,922443682
area,919723222
study,919246978
point,916440033
form,915356682
house,903384038
result,875594859
member,871019716
doe,853881572
group,852719850
world,851801568
value,839567833
person,839282951
city,829034645
line,821934564
effect,820170535
hand,804254910
question,803565757
fact,781236138
rate,769819795
information,752110130
program,751633791
men,746675728
interest,745181440
development,742485589
problem,740224391
woman,736965353
thing,732822187
cost,732666848
term,729410656
might,726220992
condition,723504217
university,722862880
committee,711514856
word,709345097
book,707541663
land,706914833
business,676557529
action,673611464
york,671464995
office,659693513
department,657997130
data,653962532
level,653045233
subject,649210671
name,647917024
process,647538023
period,645632695
table,644590460
type,642756975
method,639974647
material,635079282
figure,626327687
research,625454114
property,623279713
county,622758716
amount,620148850
course,614317997
family,609050864
purpose,608264915
board,606140952
party,604101528
example,601746546
war,599148288
matter,597924645
side,582307572
god,576320886
john,562109296
rule,562094836
body,551002976
price,547829581
education,547451150
field,546737558
