lemma,definition,count
may,the month following April and preceding June,2869311688
time,an instance or single occasion for some event,2865795390
state,the territory occupied by one of the constituent administrative districts of a nation,2767847171
year,a period of time containing 365 (or 366) days,2572846270
work,activity directed toward making or doing something,1669910266
case,an occurrence of something,1572219692
day,time for Earth to make a complete rotation on its axis,1496855505
part,something determined in relation to something that includes it,1457682285
system,instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity,1308057442
service,work done by one person or group that benefits another,1286787903
must,a necessary or essential thing,1266782750
right,an abstract idea of that which is due to a person or governmental body by law or tradition or nature; ; - Eleanor Roosevelt,1193721823
number,the property possessed by a sum or total or indefinite quantity of units or individuals,1190356217
way,how something is done or how it happens,1178181634
people,(plural) any group of human beings (men or women or children) collectively,1175560312
law,the collection of rules imposed by authority,1167615020
act,a legal document codifying the result of deliberations of a committee or society or legislative body,1155556060
life,a characteristic state or mode of living,1122952571
section,a self-contained part of a larger composition (written or musical),1060273892
company,an institution created to conduct business,1039980034
court,an assembly (including one or more judges) to conduct judicial business,1029779404
water,binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent,1028091813
government,the organization that is the governing authority of a political unit,1000837084
school,an educational institution,980791630
man,an adult person who is male (as opposed to a woman),965919596
child,a young person of either sex,963484533
power,possession of controlling influence,936296682
country,a politically organized body of people under a single government,922443682
area,a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography),919723222
study,a detailed critical inspection,919246978
point,a geometric element that has position but no extension,916440033
form,the phonological or orthographic sound or appearance of a word that can be used to describe or identify something,915356682
house,a dwelling that serves as living quarters for one or more families,903384038
result,a phenomenon that follows and is caused by some previous phenomenon,875594859
member,one of the persons who compose a social group (especially individuals who have joined and participate in a group organization),871019716
doe,the federal department responsible for maintaining a national energy policy of the United States; created in 1977,853881572
group,any number of entities (members) considered as a unit,852719850
world,everything that exists anywhere,851801568
value,a numerical quantity measured or assigned or computed,839567833
person,a human being,839282951
city,a large and densely populated urban area; may include several independent administrative districts,829034645
line,a formation of people or things one beside another,821934564
effect,a phenomenon that follows and is caused by some previous phenomenon,820170535
hand,the (prehensile) extremity of the superior limb,804254910
question,an instance of questioning,803565757
fact,a piece of information about circumstances that exist or events that have occurred,781236138
rate,a magnitude or frequency relative to a time unit,769819795
information,a message received and understood,752110130
program,a series of steps to be carried out or goals to be accomplished,751633791
men,the force of workers available,746675728
interest,a sense of concern with and curiosity about someone or something,745181440
development,act of improving by expanding or enlarging or refining,742485589
problem,a state of difficulty that needs to be resolved,740224391
woman,an adult female person (as opposed to a man),736965353
thing,a special situation,732822187
cost,the total spent for goods or services including money and time and labor,732666848
term,a word or expression used for some particular thing,729410656
might,physical strength,726220992
condition,a state at a particular time,723504217
university,the body of faculty and students at a university,722862880
committee,a special group delegated to consider some matter;  - Milton Berle,711514856
word,a unit of language that native speakers can identify,709345097
book,a written work or composition that has been published (printed on pages bound together),707541663
land,the land on which real estate is located,706914833
business,a commercial or industrial enterprise and the people who constitute it,676557529
action,something done (usually as opposed to something said),673611464
york,the English royal house (a branch of the Plantagenet line) that reigned from 1461 to 1485; its emblem was a white rose,671464995
office,place of business where professional or clerical duties are performed,659693513
department,a specialized division of a large organization,657997130
data,a collection of facts from which conclusions may be drawn,653962532
level,a position on a scale of intensity or amount or quality,653045233
subject,the subject matter of a conversation or discussion,649210671
name,a language unit by which a person or thing is known,647917024
process,a particular course of action intended to achieve a result,647538023
period,an amount of time,645632695
table,a set of data arranged in rows and columns,644590460
type,a subdivision of a particular kind of thing,642756975
method,"a way of doing something, especially a systematic way; implies an orderly logical arrangement (usually in steps)",639974647
material,the tangible substance that goes into the makeup of a physical object,635079282
figure,a diagram or picture illustrating textual material,626327687
research,systematic investigation to establish facts,625454114
property,something owned; any tangible or intangible possession that is owned by someone,623279713
county,(United Kingdom) a region created by territorial division for the purpose of local government,622758716
amount,a quantity of money,620148850
course,education imparted in a series of lessons or meetings,614317997
family,a social unit living together,609050864
purpose,an anticipated outcome that is intended or that guides your planned actions,608264915
board,a committee having supervisory powers,606140952
party,an organization to gain political power,604101528
example,an item of information that is typical of a class or group,601746546
war,the waging of armed conflict against an enemy,599148288
matter,a vaguely specified concern,597924645
side,a place within a region identified relative to a center or reference location,582307572
god,the supernatural being conceived as the perfect and omnipotent and omniscient originator and ruler of the universe; the object of worship in monotheistic religions,576320886
john,a room or building equipped with one or more toilets,562109296
rule,a principle or condition that customarily governs behavior,562094836
body,"the entire structure of an organism (an animal, plant, or human being)",551002976
price,the property of having material worth (often indicated by the amount of money something would bring if sold),547829581
education,the activities of educating or instructing; activities that impart knowledge or skill,547451150
field,a piece of land cleared of trees and usually enclosed,546737558
