lemma,definition,len_tokens,mean_log_freq,median_log_freq,miss_rate
cussedly,in a stubborn unregenerate manner,3,-5.245001372744297,-5.371089000350265,0.0
daftly,in a mildly insane manner,3,-4.755834351841574,-4.991539706342854,0.0
piggishly,in a piggish manner,2,-5.68778574204223,-5.68778574204223,0.0
stragglingly,in a ragged irregular manner,3,-4.646430256292023,-4.656267255752095,0.0
unassertively,in an unassertive manner,2,-5.562943329548484,-5.562943329548484,0.0
rollickingly,in a carefree manner,2,-4.91331183755805,-4.91331183755805,0.0
incriminatingly,in an incriminating manner,2,-5.032758360579075,-5.032758360579075,0.0
unharmoniously,in a discordant manner,2,-4.805537727440785,-4.805537727440785,0.0
meanderingly,in a meandering manner,2,-4.965998155782334,-4.965998155782334,0.0
smarmily,in an unctuous manner,2,-5.151518781224256,-5.151518781224256,0.0
pryingly,in a curious and prying manner,3,-4.769521233288986,-4.591397118612826,0.0
unmelodiously,in an unmelodious manner,2,-5.681982690569354,-5.681982690569354,0.0
unexcitingly,in an unexciting manner,2,-5.3245524963469055,-5.3245524963469055,0.0
roomily,with ample room,2,-4.199651549090471,-4.199651549090471,0.0
gibingly,in a disrespectful jeering manner,3,-5.465176840336535,-6.098410941253003,0.0
reprehensively,in a shameful manner,2,-4.703003084791321,-4.703003084791321,0.0
repellingly,in a repellent manner,2,-4.883692899989996,-4.883692899989996,0.0
cytophotometrically,by cytophotometric means,2,-5.742425886906527,-5.742425886906527,0.0
uninformatively,in an uninformative manner,2,-5.333077819065423,-5.333077819065423,0.0
curvaceously,in a curvaceous way,2,-5.106566261122323,-5.106566261122323,0.0
smoulderingly,with barely repressed anger,3,-5.070911965593037,-4.778740506266819,0.0
smolderingly,with barely repressed anger,3,-5.070911965593037,-4.778740506266819,0.0
wheezingly,with a wheeze,1,-6.589667234156404,-6.589667234156404,0.0
inexpediently,in an inexpedient manner,2,-4.980235105939807,-4.980235105939807,0.0
hebdomadally,without missing a week,2,-3.9230531364041568,-3.9230531364041568,0.0
hydraulicly,in a hydraulic manner,2,-4.292705045349777,-4.292705045349777,0.0
corruptedly,in a corrupt manner,2,-4.429739502561755,-4.429739502561755,0.0
uxoriously,in a loving and uxorious manner,3,-4.947668279185247,-3.7974643154392265,0.0
slouchingly,with a slouching gait or posture,3,-5.705938706840089,-5.47466980225081,0.0
moonily,in a dreamy manner,2,-4.829740318100741,-4.829740318100741,0.0
talkatively,in a chatty loquacious manner,3,-5.590218678996024,-6.391666376771221,0.0
disregardless,in spite of everything; without regard to drawbacks,4,-4.432082578802626,-4.209509853669202,0.0
dandily,in a dandy manner,2,-4.842772442988121,-4.842772442988121,0.0
slouchily,in a slouchy manner,2,-5.6360834387044765,-5.6360834387044765,0.0
faddishly,in a faddish manner,2,-5.527164152164655,-5.527164152164655,0.0
doltishly,in a stupid manner,2,-4.367672689830865,-4.367672689830865,0.0
jejunely,in an immature manner,2,-4.546058478794711,-4.546058478794711,0.0
bannerlike,like a banner,1,-5.182636130182217,-5.182636130182217,0.0
unmanfully,without qualities thought to befit a man,4,-4.286801312045063,-3.5693682277018635,0.0
buxomly,in a curvaceous way,2,-5.106566261122323,-5.106566261122323,0.0
unwantedly,in an undesirable manner,2,-4.443137365137927,-4.443137365137927,0.0
disputatiously,in a disputatious manner,2,-5.419782627183793,-5.419782627183793,0.0
sociobiologically,with respect to sociobiology,2,-5.113694454833053,-5.113694454833053,0.0
wackily,in a mildly insane manner,3,-4.755834351841574,-4.991539706342854,0.0
uncomparably,in an incomparable manner or to an incomparable degree,4,-4.794660602838018,-4.8023340299918935,0.0
inefficaciously,in an ineffective manner,2,-4.474507387558516,-4.474507387558516,0.0
refreshfully,in a manner that relieves fatigue and restores vitality,5,-4.728132826345009,-4.784707902059922,0.0
currishly,in a currish manner; meanspiritedly,3,-7.161113744932046,-7.783806523979135,0.0
uninvitedly,without invitation,1,-4.793598138507648,-4.793598138507648,0.0
smuttily,in a smutty manner,2,-5.303433775532911,-5.303433775532911,0.0
thriftlessly,in a thriftless manner,2,-5.403164696404037,-5.403164696404037,0.0
ineloquently,without eloquence; in an inarticulate manner,3,-5.056655659942789,-5.265482496669677,0.0
pacifistically,in a pacifistic manner,2,-5.58292992345555,-5.58292992345555,0.0
unmemorably,in an unmemorable manner,2,-5.659061715453018,-5.659061715453018,0.0
dottily,in a mildly insane manner,3,-4.755834351841574,-4.991539706342854,0.0
biradially,in a biradial manner,2,-6.020952886570296,-6.020952886570296,0.0
nuttily,in a mildly insane manner,3,-4.755834351841574,-4.991539706342854,0.0
polysyllabically,in a polysyllabic manner,2,-5.345054535461047,-5.345054535461047,0.0
zestily,with zest,1,-5.7451030043575155,-5.7451030043575155,0.0
uppishly,in a snobbish manner,2,-5.181209606680312,-5.181209606680312,0.0
frumpily,in a dowdy unfashionable manner,3,-5.5584554573349365,-6.3868145476747245,0.0
sidesplittingly,in a very humorous manner,2,-4.582630615825579,-4.582630615825579,0.0
mangily,in a mangy manner,2,-5.2483518356281476,-5.2483518356281476,0.0
precedentedly,with precedent,1,-4.964550909465209,-4.964550909465209,0.0
standoffishly,in a standoffish manner,2,-5.493193630190804,-5.493193630190804,0.0
inaugurally,so as to inaugurate,1,-6.060148406682463,-6.060148406682463,0.0
tattily,in a cheap manner,2,-4.270556026140346,-4.270556026140346,0.0
counteractively,in a counteractive manner,2,-5.620069163259912,-5.620069163259912,0.0
undependably,in an unfaithful undependable unreliable manner,4,-5.5309690991999965,-5.712128756114541,0.0
uninstructively,in an uninformative manner,2,-5.333077819065423,-5.333077819065423,0.0
shambolically,in a shambolic manner,2,-5.749308894939183,-5.749308894939183,0.0
unachievably,in an unattainable manner or to an unattainable degree,4,-4.867995684323799,-4.875669111477674,0.0
centennially,every hundred years; once in a century,2,-3.405514626565087,-3.405514626565087,0.0
toppingly,(used as an intensifier) extremely well,4,-4.1923159494369475,-3.6756359224164115,0.0
unsatiably,to an insatiable degree,2,-4.854964142145183,-4.854964142145183,0.0
spacewards,towards outer space,2,-3.8206965413327825,-3.8206965413327825,0.0
undecipherably,in an illegible manner,2,-4.7804831367537854,-4.7804831367537854,0.0
frumpishly,in a dowdy unfashionable manner,3,-5.5584554573349365,-6.3868145476747245,0.0
trepidly,in a timorous and trepid manner,3,-6.0850444990376635,-6.340670988979424,0.0
unenergetically,without energy; in a lethargic manner,3,-4.55696921543806,-3.7974643154392265,0.0
deprecatively,in a deprecative manner,2,-6.100638799394921,-6.100638799394921,0.0
nonlexically,without the use of words,2,-3.4012085377715184,-3.4012085377715184,0.0
mellowingly,so as to mellow,1,-5.759227674186625,-5.759227674186625,0.0
decipherably,in a legible manner,2,-4.776055068814136,-4.776055068814136,0.0
hinderingly,in an obstructive manner,2,-4.718108170099365,-4.718108170099365,0.0
soughingly,with a soft sound,2,-4.0762454608585506,-4.0762454608585506,0.0
cliquishly,in a clannish manner,2,-5.36697813349863,-5.36697813349863,0.0
drippily,in a mawkish and emotional manner,3,-5.031877694480769,-4.462788260979347,0.0
ununderstandably,in an unintelligible manner,2,-4.752587964180597,-4.752587964180597,0.0
grungily,in a dingy manner,2,-4.8535717234211955,-4.8535717234211955,0.0
inscriptively,by means of an inscription,2,-4.36427591283698,-4.36427591283698,0.0
meanspiritedly,in a meanspirited manner,2,-5.750577356469002,-5.750577356469002,0.0
mordaciously,in a mordacious manner,2,-6.167493069622547,-6.167493069622547,0.0
unreproducibly,in an unreproducible manner,2,-5.941060693454383,-5.941060693454383,0.0
chintzily,in a stingy manner,2,-5.078972090221367,-5.078972090221367,0.0
talkily,in a chatty loquacious manner,3,-5.590218678996024,-6.391666376771221,0.0
noncomprehensively,in a limited way,2,-3.487017943877888,-3.487017943877888,0.0
gainlessly,without gain or profit,2,-4.176011343925881,-4.176011343925881,0.0
heavenwardly,toward heaven,1,-4.305351848376784,-4.305351848376784,0.0
twirlingly,doing twirls,1,-6.562450527141385,-6.562450527141385,0.0
