lemma,count
also,2044009341
well,1768277892
even,1093465824
far,1088045427
however,948021260
within,813768762
back,755902078
still,701822496
less,697916634
never,604238341
thus,594274873
though,523148595
home,518602135
yet,508822094
therefore,506720430
often,491298143
always,465295177
either,462413428
rather,459225800
least,433259805
later,429006538
away,422714930
around,412660098
almost,380769334
together,380106661
ever,363097557
already,363093454
along,362792616
non,334650574
enough,326691967
perhaps,312552284
quite,305932695
especially,300627159
generally,295540450
probably,288577360
usually,284908266
soon,268241353
really,260428789
sometimes,251162520
needs,240624794
across,235579905
particularly,230299426
outside,230009095
indeed,229568406
longer,221108530
alone,213864331
beyond,213295860
instead,212135444
nearly,209531682
finally,207279902
behind,203723026
throughout,200733301
otherwise,189195656
directly,185558635
simply,182819992
immediately,182546212
clearly,181398316
earlier,180800070
ago,180183147
actually,177951046
certainly,168501898
forward,166700726
none,166479340
fully,164881583
daily,162697133
thereof,152283920
easily,148267062
recently,147894341
forth,146519303
highly,145727348
entirely,142948359
merely,140688817
approximately,139644765
inside,138519108
frequently,135257998
somewhat,133566346
relatively,127716275
completely,126925028
previously,124871040
hence,121830512
quickly,116243062
slightly,114897055
respectively,112996508
properly,107117365
largely,105993610
apparently,104353692
moreover,99168056
exactly,98579580
carefully,94763793
closely,94668540
greatly,93866593
equally,93796550
straight,92420375
rapidly,91842317
possibly,90449780
apart,89817598
nevertheless,88648566
suddenly,88618228
hardly,87946672
besides,87623723
