lemma,definition,count
also,in addition,2044009341
well,(often used as a combining form) in a good or proper or satisfactory manner or to a high standard (`good' is a nonstandard dialectal variant for `well'),1768277892
even,used as an intensive especially to indicate something unexpected,1093465824
far,to a considerable degree; very much,1088045427
however,despite anything to the contrary (usually following a concession),948021260
within,on the inside,813768762
back,in or to or toward a former location,755902078
still,"with reference to action or condition; without change, interruption, or cessation",701822496
less,used to form the comparative of some adjectives and adverbs,697916634
never,not ever; at no time in the past or future,604238341
thus,(used to introduce a logical conclusion) from that fact or reason or as a result,594274873
though,(postpositive) however,523148595
home,at or to or in the direction of one's home or family,518602135
yet,up to the present time,508822094
therefore,(used to introduce a logical conclusion) from that fact or reason or as a result,506720430
often,many times at short intervals,491298143
always,at all times; all the time and on every occasion,465295177
either,after a negative statement used as an intensive meaning something like `likewise' or `also',462413428
rather,on the contrary,459225800
least,used to form the superlative,433259805
later,happening at a time subsequent to a reference time,429006538
away,from a particular thing or place or position (`forth' is obsolete),422714930
around,in the area or vicinity,412660098
almost,(of actions or states) slightly short of or not quite accomplished; all but,380769334
together,in contact with each other or in proximity,380106661
ever,at any time,363097557
already,prior to a specified or implied time,363093454
along,with a forward motion,362792616
non,negation of a word or group of words,334650574
enough,as much as necessary; ; (`plenty' is nonstandard),326691967
perhaps,by chance,312552284
quite,to a degree (not used with a negative),305932695
especially,to a distinctly greater extent or degree than is common,300627159
generally,usually; as a rule,295540450
probably,with considerable certainty; without much doubt,288577360
usually,under normal conditions,284908266
soon,in the near future,268241353
really,in accordance with truth or fact or reality,260428789
sometimes,on certain occasions or in certain cases but not always,251162520
needs,in such a manner as could not be otherwise,240624794
across,to the opposite side,235579905
particularly,to a distinctly greater extent or degree than is common,230299426
outside,outside a building,230009095
indeed,in truth (often tends to intensify),229568406
longer,for more time,221108530
alone,without any others being included or involved,213864331
beyond,farther along in space or time or degree,213295860
instead,"in place of, or as an alternative to",212135444
nearly,(of actions or states) slightly short of or not quite accomplished; all but,209531682
finally,after an unspecified period of time or an especially long delay,207279902
behind,in or to or toward the rear,203723026
throughout,from first to last,200733301
otherwise,in other respects or ways,189195656
directly,without deviation,185558635
simply,and nothing more,182819992
immediately,without delay or hesitation; with no time intervening,182546212
clearly,without doubt or question,181398316
earlier,earlier in time; previously,180800070
ago,in the past,180183147
actually,in actual fact,177951046
certainly,definitely or positively (`sure' is sometimes used informally for `surely'),168501898
forward,at or to or toward the front; ; ; ; (`forrad' and `forrard' are dialectal variations),166700726
none,not at all or in no way,166479340
fully,to the greatest degree or extent; completely or entirely; (`full' in this sense is used as a combining form),164881583
daily,every day; without missing a day,162697133
thereof,of or concerning this or that,152283920
easily,with ease (`easy' is sometimes used informally for `easily'),148267062
recently,in the recent past,147894341
forth,from a particular thing or place or position (`forth' is obsolete),146519303
highly,to a high degree or extent; favorably or with much respect,145727348
entirely,to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly'),142948359
merely,and nothing more,140688817
approximately,(of quantities) imprecise but fairly close to correct,139644765
inside,within a building,138519108
frequently,many times at short intervals,135257998
somewhat,to a small degree or extent,133566346
relatively,in a relative manner; by comparison to something else,127716275
completely,to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly'),126925028
previously,at an earlier time or formerly,124871040
hence,(used to introduce a logical conclusion) from that fact or reason or as a result,121830512
quickly,with rapid movements,116243062
slightly,to a small degree or extent,114897055
respectively,in the order given,112996508
properly,in the right manner,107117365
largely,in large part; mainly or chiefly,105993610
apparently,from appearances alone; ; ; -Thomas Hardy,104353692
moreover,in addition,99168056
exactly,indicating exactness or preciseness,98579580
carefully,taking care or paying attention,94763793
closely,in a close relation or position in time or space,94668540
greatly,to an extraordinary extent or degree,93866593
equally,to the same degree (often followed by `as'),93796550
straight,without deviation,92420375
rapidly,with rapid movements,91842317
possibly,by chance,90449780
apart,separated or at a distance in place or position or time,89817598
nevertheless,despite anything to the contrary (usually following a concession),88648566
suddenly,happening unexpectedly,88618228
hardly,only a very short time before; ; ; ; ; - W.B.Yeats,87946672
besides,making an additional point; anyway,87623723
