lemma,count
undergrow,734
misally,727
devilize,725
wrawl,704
skreak,704
simonise,704
animize,699
salinate,682
nutrify,677
ostentate,666
reassail,658
dissonate,645
gluttonise,637
unsubstantialize,634
thurify,633
egotrip,625
fluoridise,619
powderize,616
syllabise,612
aphorise,590
skimcoat,581
finedraw,569
uniformise,560
capsulise,554
sensibilise,550
circumvolute,546
detransitivize,544
aggroup,537
desynchronise,528
inunct,510
superfetate,503
instrumentate,496
bombilate,491
cinematise,466
destalinize,455
handcolor,454
sightsing,441
pervaporate,424
nigrify,423
shamanise,416
handbuild,394
palpebrate,389
deglycerolize,385
chiromance,384
aurify,369
ablactate,344
equilibrize,343
monologuize,341
coeducate,335
shnorr,324
vowelise,315
shmoose,295
transpirate,293
stalinise,281
inmarry,280
spiritize,275
telepathise,274
anathemise,271
symphonise,249
ptyalise,230
hygienize,229
discolorize,229
detusk,229
sensify,224
intransitivize,190
abacinate,188
chickenfight,183
glycerolize,181
etherialise,180
reharmonise,174
transitivise,171
mussitate,171
dulcorate,164
sorcerise,163
solmizate,156
malversate,155
mismarry,142
cannulize,140
animise,136
ancylose,135
mudwrestle,133
renegociate,126
ovenbake,122
coconspire,103
dethaw,99
handcolour,89
patinise,83
monologuise,77
acetylise,77
destalinise,74
bedhop,74
satisfise,69
cackel,69
baronetize,69
detransitivise,68
radiolocate,67
sentimentize,66
demasculinise,57
secernate,53
hygienise,52
