lemma,definition,count
undergrow,grow below something,734
misally,make a bad alliance; ally inappropriately,727
devilize,turn into a devil or make devilish,725
wrawl,"cry loudly, as of animals",704
skreak,"make a high-pitched, screeching noise",704
simonise,polish with wax,704
animize,give lifelike qualities to,699
salinate,add salt to,682
nutrify,give nourishment to,677
ostentate,display proudly; act ostentatiously or pretentiously,666
reassail,assail again,658
dissonate,be dissonant or harsh,645
gluttonise,eat a lot and without restraint,637
unsubstantialize,render immaterial or incorporeal,634
thurify,perfume especially with a censer,633
egotrip,act in a way that attracts attention,625
fluoridise,subject to fluoridation; treat with fluoride,619
powderize,become powder or dust,616
syllabise,divide into syllables,612
aphorise,speak or write in aphorisms,590
skimcoat,coat with a mixture of gypsum and spackle,581
finedraw,sew together very finely,569
uniformise,make uniform,560
capsulise,enclose in a capsule,554
sensibilise,make sensitive or aware,550
circumvolute,"wind or turn in volutions, especially in an inward spiral, as of snail",546
detransitivize,intransitivize,544
aggroup,form a group or group together,537
desynchronise,cause to become desynchronized; cause to occur at unrelated times,528
inunct,administer an oil or ointment to ; often in a religious ceremony of blessing,510
superfetate,conceive when a fetus is already present in the uterus,503
instrumentate,write an instrumental score for,496
bombilate,make a buzzing sound,491
cinematise,make a film of or adopt so as to make into a film,466
destalinize,counteract the effects and policies of Stalinism,455
handcolor,color by hand,454
sightsing,sing from a score without having seen it before,441
pervaporate,evaporate through a semipermeable membrane,424
nigrify,make or become black,423
shamanise,practice shamanism,416
handbuild,make without a potter's wheel,394
palpebrate,"wink or blink, especially repeatedly",389
deglycerolize,remove from glycerol,385
chiromance,divine by reading someone's palms,384
aurify,transform into gold,369
ablactate,gradually deprive (infants and young mammals) of mother's milk,344
equilibrize,bring into balance or equilibrium,343
monologuize,talk to oneself,341
coeducate,educate persons of both sexes together,335
shnorr,obtain or seek to obtain by cadging or wheedling,324
vowelise,pronounce as a vowel,315
shmoose,talk idly or casually and in a friendly way,295
transpirate,"pass through the tissue or substance or its pores or interstices, as of gas",293
stalinise,transform in accordance with Stalin's policies,281
inmarry,marry within one's own tribe or group,280
spiritize,imbue with a spirit,275
telepathise,communicate nonverbally by telepathy,274
anathemise,wish harm upon; invoke evil upon,271
symphonise,"play or sound together, in harmony",249
ptyalise,expel or eject (saliva or phlegm or sputum) from the mouth,230
hygienize,make sanitary by cleaning or sterilizing,229
discolorize,remove color from,229
detusk,remove the tusks of animals,229
sensify,make sensitive or aware,224
intransitivize,intransitivize,190
abacinate,blind by holding a red-hot metal plate before someone's eyes,188
chickenfight,fight while sitting on somebody's shoulders,183
glycerolize,place in glycerol,181
etherialise,make ethereal,180
reharmonise,provide with a different harmony,174
transitivise,make transitive,171
mussitate,talk indistinctly; usually in a low voice,171
dulcorate,make sweeter in taste,164
sorcerise,transform or change by means of sorcery,163
solmizate,sing by the syllables of solmization,156
malversate,appropriate (as property entrusted to one's care) fraudulently to one's own use,155
mismarry,marry an unsuitable partner,142
cannulize,introduce a cannula or tube into,140
animise,give lifelike qualities to,136
ancylose,produce ankylosis by surgery,135
mudwrestle,wrestle in mud,133
renegociate,negociate anew,126
ovenbake,bake in an oven,122
coconspire,conspire together,103
dethaw,become or cause to become soft or liquid,99
handcolour,color by hand,89
patinise,coat with a patina,83
monologuise,talk to oneself,77
acetylise,receive substitution of an acetyl group,77
destalinise,counteract the effects and policies of Stalinism,74
bedhop,be sexually active with more than one partner,74
satisfise,decide on and pursue a course of action satisfying the minimum requirements to achieve a goal,69
cackel,make a cackling sound,69
baronetize,confer baronetcy upon,69
detransitivise,intransitivize,68
radiolocate,locate by means of radar,67
sentimentize,act in a sentimental way or indulge in sentimental thoughts or expression,66
demasculinise,remove the testicles of a male animal,57
secernate,mark as different,53
hygienise,make sanitary by cleaning or sterilizing,52
