lemma,count
make,3384979086
say,2891022759
use,2882976661
see,2189865416
take,2086764017
give,1994893695
go,1650079014
know,1631396705
find,1524726839
come,1426476393
follow,1343181552
show,1313144695
like,1289734576
think,1275450039
place,1221123039
order,1210726013
report,1191819310
provide,1165916907
include,1143729609
get,1127901392
mean,1123912044
change,1032765564
need,1013083994
increase,995038222
leave,992425455
call,986169034
become,950958984
unite,873748022
hold,873116071
look,857639940
end,850171966
require,845790763
set,820442892
control,804263817
write,794606444
pay,751734130
base,724876609
meet,719192856
live,702451888
begin,700052949
want,698119808
note,694085228
seem,686522168
receive,682412585
cause,671892861
tell,671122219
consider,658428260
force,657519535
open,640440073
test,634426316
build,633761831
bring,633385445
support,631830322
appear,628859900
ask,621750125
continue,618990014
record,616541275
read,590194706
lead,586228204
keep,585205724
turn,562249595
produce,552509251
return,547284030
put,546700350
hear,541616760
pass,538981164
carry,526669285
contain,526175918
develop,522845557
determine,521600681
remain,511315476
apply,510609622
help,508235733
concern,506373599
stand,501512124
design,500888289
obtain,495871914
claim,494652632
understand,491653729
measure,491049067
move,489707220
add,482104862
let,479808858
run,471148147
establish,470113772
describe,466561367
relate,465443313
allow,462561442
believe,460929567
bear,453631881
regard,448424901
supply,442886619
try,440737614
learn,439549295
love,433843532
cover,430942878
care,429509121
offer,426346193
exist,425081125
press,424871474
