lemma,definition,count
make,engage in,3384979086
say,express in words,2891022759
use,put into service; make work or employ for a particular purpose or for its inherent or natural purpose,2882976661
see,perceive by sight or have the power to perceive by sight,2189865416
take,carry out,2086764017
give,"cause to have, in the abstract sense or physical sense",1994893695
go,"change location; move, travel, or proceed, also metaphorically",1650079014
know,be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about,1631396705
find,"come upon, as if by accident; meet with",1524726839
come,"move toward, travel toward something or somebody or approach something or somebody",1426476393
follow,"to travel behind, go after, come after",1343181552
show,give an exhibition of to an interested audience,1313144695
like,prefer or wish to do something,1289734576
think,judge or regard; look upon; judge,1275450039
place,put into a certain place or abstract location,1221123039
order,give instructions to or direct somebody to do something with authority,1210726013
report,to give an account or representation of in words,1191819310
provide,give something useful or necessary to,1165916907
include,"have as a part, be made up out of",1143729609
get,come into the possession of something concrete or abstract,1127901392
mean,mean or intend to express or convey,1123912044
change,cause to change; make different; cause a transformation,1032765564
need,"require as useful, just, or proper",1013083994
increase,become bigger or greater in amount,995038222
leave,go away from a place,992425455
call,assign a specified (usually proper) proper name to,986169034
become,enter or assume a certain state or condition,950958984
unite,act in concert or unite in a common purpose or belief,873748022
hold,"keep in a certain state, position, or activity; e.g.,",873116071
look,perceive with attention; direct one's gaze towards,857639940
end,"have an end, in a temporal, spatial, or quantitative sense; either spatial or metaphorical",850171966
require,"require as useful, just, or proper",845790763
set,put into a certain place or abstract location,820442892
control,exercise authoritative control or power over,804263817
write,produce a literary work,794606444
pay,"give money, usually in exchange for goods or services",751734130
base,use as a basis for; found on,724876609
meet,come together,719192856
live,inhabit or live in; be an inhabitant of,702451888
begin,take the first step or steps in carrying out an action,700052949
want,feel or have a desire for; want strongly,698119808
note,make mention of,694085228
seem,give a certain impression or have a certain outward aspect,686522168
receive,get something; come into possession of,682412585
cause,"give rise to; cause to happen or occur, not always intentionally",671892861
tell,express in words,671122219
consider,deem to be,658428260
force,"to cause to do through pressure or necessity, by physical, moral or intellectual means :",657519535
open,cause to open or to become open,640440073
test,"put to the test, as for its quality, or give experimental use to",634426316
build,make by combining materials and parts,633761831
bring,take something or somebody with oneself somewhere,633385445
support,"give moral or psychological support, aid, or courage to",631830322
appear,give a certain impression or have a certain outward aspect,628859900
ask,inquire about,621750125
continue,"continue a certain state, condition, or activity",618990014
record,make a record of; set down in permanent form,616541275
read,interpret something that is written or printed,590194706
lead,take somebody somewhere,586228204
keep,"keep in a certain state, position, or activity; e.g.,",585205724
turn,"change orientation or direction, also in the abstract sense",562249595
produce,bring forth or yield,552509251
return,"go or come back to place, condition, or activity where one has been before",547284030
put,put into a certain place or abstract location,546700350
hear,perceive (sound) via the auditory sense,541616760
pass,go across or through,538981164
carry,"move while supporting, either in a vehicle or in one's hands or on one's body",526669285
contain,include or contain; have as a component,526175918
develop,"make something new, such as a product or a mental or artistic creation",522845557
determine,"establish after a calculation, investigation, experiment, survey, or study",521600681
remain,stay the same; remain in a certain state,511315476
apply,put into service; make work or employ for a particular purpose or for its inherent or natural purpose,510609622
help,give help or assistance; be of service,508235733
concern,be relevant to,506373599
stand,be standing; be upright,501512124
design,make or work out a plan for; devise,500888289
obtain,come into possession of,495871914
claim,assert or affirm strongly; state to be true or existing,494652632
understand,know and comprehend the nature or meaning of,491653729
measure,"determine the measurements of something or somebody, take measurements of",491049067
move,"change location; move, travel, or proceed, also metaphorically",489707220
add,"make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of",482104862
let,make it possible through a specific action or lack of action for something to happen,479808858
run,"move fast by using one's feet, with one foot off the ground at any given time",471148147
establish,set up or found,470113772
describe,give a description of,466561367
relate,make a logical or causal connection,465443313
allow,make it possible through a specific action or lack of action for something to happen,462561442
believe,accept as true; take to be true,460929567
bear,have,453631881
regard,deem to be,448424901
supply,give something useful or necessary to,442886619
try,make an effort or attempt,440737614
learn,gain knowledge or skills,439549295
love,have a great affection or liking for,433843532
cover,provide with a covering or cause to be covered,430942878
care,feel concern or interest,429509121
offer,"make available or accessible, provide or furnish",426346193
exist,"have an existence, be extant",425081125
press,exert pressure or force to or upon,424871474
