lemma,definition,len_tokens,mean_log_freq,median_log_freq,miss_rate
keyed,fitted with or secured by a key,3,-4.26640025190862,-4.225633025417915,0.0
castrated,deprived of sexual capacity or sexual attributes,5,-5.213065488388935,-5.057433839126989,0.0
impractical,not practical; not workable or not given to practical matters,5,-4.112935649099051,-4.243615490168611,0.19999999999999996
flaky,made of or resembling flakes,3,-4.954369336976889,-5.85877063969824,0.0
untrained,not disciplined or conditioned or made adept by training,4,-4.155660903600824,-4.364103919689622,0.0
metabolic,of or relating to metabolism,2,-5.629747627832034,-5.629747627832034,0.0
gradual,proceeding in small stages,3,-4.260956876115247,-4.29579563963024,0.0
supersonic,(of speed) greater than the speed of sound in a given medium (especially air),8,-3.939706627468955,-4.004377087273395,0.0
tolerable,capable of being borne or endured,3,-5.161147372225803,-5.182803118613861,0.0
meager,deficient in amount or quality or extent,4,-4.836118873302895,-4.7151133026556735,0.25
spectral,of or relating to a spectrum,2,-5.461408053227618,-5.461408053227618,0.0
fledged,(of birds) having developed feathers or plumage; often used in combination,7,-4.5129436592956,-4.604615509018807,0.1428571428571429
maleficent,harmful or evil in intent or effect,4,-4.907804610716924,-4.873895397658604,0.0
motivational,of or relating to motivation,2,-5.402635256099382,-5.402635256099382,0.0
resentful,full of or marked by resentment or indignant ill will,5,-4.485976262916844,-4.272174660015827,0.19999999999999996
jittery,characterized by jerky movements,3,-5.558563571888418,-5.728947695814196,0.0
undesirable,not wanted,1,-2.573982152814122,-2.573982152814122,0.0
feline,of or relating to cats,2,-4.75587281746677,-4.75587281746677,0.0
philharmonic,composing or characteristic of an orchestral group,4,-5.419845538143817,-5.853968487815207,0.0
undue,not yet payable,2,-4.817775176640122,-4.817775176640122,0.0
unafraid,oblivious of dangers or perils or calmly resolute in facing them,6,-5.1610977469636,-5.57088174393245,0.0
incomparable,such that comparison is impossible; unsuitable for comparison or lacking features that can be compared,7,-5.160611552369049,-5.248998652885721,0.0
monogamous,(used of relationships and of individuals) having one mate,4,-4.172449746971178,-4.192284054045055,0.0
horned,having a horn or horns or hornlike parts or horns of a particular kind,7,-4.120511721123866,-4.446325896615801,0.1428571428571429
alphabetical,relating to or expressed by a writing system that uses an alphabet,6,-4.567802070506816,-4.505380061327456,0.0
flowery,of or relating to or suggestive of flowers,3,-4.992594078806828,-4.992594078806828,0.33333333333333337
consecrated,solemnly dedicated to or set apart for a high purpose,6,-4.511384479976411,-4.316603802457932,0.0
thoracic,of or relating to the chest or thorax,3,-4.902534484110763,-4.902534484110763,0.33333333333333337
kinetic,relating to the motion of material bodies and the forces associated therewith,7,-4.571772349157332,-4.690910540954343,0.1428571428571429
celebratory,used for celebrating,2,-4.210138807577696,-4.210138807577696,0.0
unscrupulous,without scruples or principles,2,-5.057571829295338,-5.057571829295338,0.5
likeable,(of characters in literature or drama) evoking empathic or sympathetic feelings,7,-4.723653569808586,-4.783321702114251,0.2857142857142857
pancreatic,of or involving the pancreas,2,-5.571169751909146,-5.571169751909146,0.0
bulging,curving or bulging outward,3,-5.771091655905319,-5.874391686575127,0.0
ideological,of or pertaining to or characteristic of an orientation that characterizes the thinking of a group or nation,7,-4.837571231196345,-5.100209347146936,0.1428571428571429
