lemma,count
keyed,1675
castrated,1669
impractical,1665
flaky,1662
untrained,1661
metabolic,1659
gradual,1656
supersonic,1651
tolerable,1644
meager,1637
spectral,1632
fledged,1629
maleficent,1628
motivational,1620
resentful,1618
jittery,1618
undesirable,1615
feline,1611
philharmonic,1604
undue,1598
unafraid,1592
incomparable,1591
monogamous,1588
horned,1583
alphabetical,1582
flowery,1578
consecrated,1578
thoracic,1577
kinetic,1573
celebratory,1571
unscrupulous,1565
likeable,1565
pancreatic,1564
bulging,1563
ideological,1562
soapy,1561
inaccessible,1558
proactive,1553
marxist,1551
parliamentary,1549
bionic,1548
unselfish,1547
calibrated,1547
inefficient,1545
aortic,1543
irreparable,1543
departmental,1542
systolic,1539
uneventful,1538
existent,1531
feudal,1530
loopy,1530
toed,1526
moonlit,1525
impersonal,1523
automotive,1519
unturned,1518
incompatible,1515
metaphysical,1512
geographical,1510
regimental,1504
rectal,1501
hydrated,1500
rhyming,1497
cinematic,1497
bellied,1495
interplanetary,1477
alternating,1476
decreasing,1475
journalistic,1468
harmonic,1467
inhumane,1463
aground,1452
freudian,1450
insubordinate,1448
plowed,1447
likable,1445
discontinued,1444
floored,1441
sorrowful,1441
occipital,1440
sidearm,1439
underprivileged,1437
toothed,1428
incoherent,1428
contemptible,1427
futuristic,1427
reconstructed,1423
restful,1419
antiseptic,1416
prenatal,1415
synonymous,1412
inanimate,1404
shaven,1404
breasted,1400
directional,1391
unsupervised,1389
parasitic,1388
inconspicuous,1387
methodist,1378
