lemma,definition,count
keyed,fitted with or secured by a key,1675
castrated,deprived of sexual capacity or sexual attributes,1669
impractical,not practical; not workable or not given to practical matters,1665
flaky,made of or resembling flakes,1662
untrained,not disciplined or conditioned or made adept by training,1661
metabolic,of or relating to metabolism,1659
gradual,proceeding in small stages,1656
supersonic,(of speed) greater than the speed of sound in a given medium (especially air),1651
tolerable,capable of being borne or endured,1644
meager,deficient in amount or quality or extent,1637
spectral,of or relating to a spectrum,1632
fledged,(of birds) having developed feathers or plumage; often used in combination,1629
maleficent,harmful or evil in intent or effect,1628
motivational,of or relating to motivation,1620
resentful,full of or marked by resentment or indignant ill will,1618
jittery,characterized by jerky movements,1618
undesirable,not wanted,1615
feline,of or relating to cats,1611
philharmonic,composing or characteristic of an orchestral group,1604
undue,not yet payable,1598
unafraid,oblivious of dangers or perils or calmly resolute in facing them,1592
incomparable,such that comparison is impossible; unsuitable for comparison or lacking features that can be compared,1591
monogamous,(used of relationships and of individuals) having one mate,1588
horned,having a horn or horns or hornlike parts or horns of a particular kind,1583
alphabetical,relating to or expressed by a writing system that uses an alphabet,1582
flowery,of or relating to or suggestive of flowers,1578
consecrated,solemnly dedicated to or set apart for a high purpose,1578
thoracic,of or relating to the chest or thorax,1577
kinetic,relating to the motion of material bodies and the forces associated therewith,1573
celebratory,used for celebrating,1571
unscrupulous,without scruples or principles,1565
likeable,(of characters in literature or drama) evoking empathic or sympathetic feelings,1565
pancreatic,of or involving the pancreas,1564
bulging,curving or bulging outward,1563
ideological,of or pertaining to or characteristic of an orientation that characterizes the thinking of a group or nation,1562
soapy,resembling or having the qualities of soap,1561
inaccessible,capable of being reached only with great difficulty or not at all,1558
proactive,descriptive of any event or stimulus or process that has an effect on events or stimuli or processes that occur subsequently,1553
marxist,following the ideas of Marx and Engels,1551
parliamentary,relating to or having the nature of a parliament,1549
bionic,of or relating to bionics,1548
unselfish,disregarding your own advantages and welfare over those of others,1547
calibrated,marked with or divided into degrees,1547
inefficient,not producing desired results; wasteful,1545
aortic,of or relating to the aorta,1543
irreparable,"impossible to repair, rectify, or amend",1543
departmental,of or relating to a department,1542
systolic,of or relating to a systole or happening during a systole,1539
uneventful,marked by no noteworthy or significant events,1538
existent,having existence or being or actuality,1531
feudal,of or relating to or characteristic of feudalism,1530
loopy,consisting of or covered with or having loops,1530
toed,"having a toe or toes of a specified kind; often used in combination; five-toed""",1526
moonlit,lighted by moonlight,1525
impersonal,not relating to or responsive to individual persons,1523
automotive,of or relating to motor vehicles,1519
unturned,not turned,1518
incompatible,not compatible,1515
metaphysical,pertaining to or of the nature of metaphysics,1512
geographical,of or relating to the science of geography,1510
regimental,belonging to or concerning a regiment,1504
rectal,of or involving the rectum,1501
hydrated,containing combined water (especially water of crystallization as in a hydrate),1500
rhyming,having corresponding sounds especially terminal sounds,1497
cinematic,of or pertaining to or characteristic of the cinema,1497
bellied,having a belly; often used in combination,1495
interplanetary,between or among planets,1477
alternating,(of a current) reversing direction,1476
decreasing,becoming less or smaller,1475
journalistic,of or relating to or having the characteristics of journalism,1468
harmonic,of or relating to harmony as distinct from melody and rhythm; - Ralph Hill,1467
inhumane,lacking and reflecting lack of pity or compassion,1463
aground,stuck in a place where a ship can no longer float,1452
freudian,of or relating to Sigmund Freud or his psychoanalytic ideas,1450
insubordinate,not submissive to authority,1448
plowed,(of farmland) broken and turned over with a plow,1447
likable,(of characters in literature or drama) evoking empathic or sympathetic feelings,1445
discontinued,stopped permanently or temporarily,1444
floored,provided with a floor,1441
sorrowful,experiencing or marked by or expressing sorrow especially that associated with irreparable loss; ; ; ; - Proverbs 14:13,1441
occipital,of or relating to the occiput,1440
sidearm,(of pitches) made with the arm moving parallel to the ground,1439
underprivileged,lacking the rights and advantages of other members of society,1437
toothed,having teeth especially of a certain number or type; often used in combination,1428
incoherent,without logical or meaningful connection,1428
contemptible,deserving of contempt or scorn,1427
futuristic,of or relating to futurism,1427
reconstructed,adapted to social or economic change,1423
restful,affording physical or mental rest,1419
antiseptic,thoroughly clean and free of or destructive to disease-causing organisms,1416
prenatal,occurring or existing before birth,1415
synonymous,(of words) meaning the same or nearly the same,1412
inanimate,belonging to the class of nouns denoting nonliving things,1404
shaven,having the beard or hair cut off close to the skin,1404
breasted,having a breast or breasts; or breasts as specified; used chiefly in compounds,1400
directional,relating to or indicating directions in space,1391
unsupervised,not supervised or under constant observation,1389
parasitic,relating to or caused by parasites,1388
inconspicuous,not prominent or readily noticeable,1387
methodist,of or pertaining to or characteristic of the branch of Protestantism adhering to the views of Wesley,1378
