lemma,count
you,101990052
i,94427348
the,77621929
to,58393171
's,50546243
a,49880922
it,47086146
that,35242137
and,35092529
n't,33041543
of,30218636
do,29751382
is,26464284
in,25228043
what,24585133
we,24010072
me,22778962
this,20234946
he,19107461
for,17539025
on,17445901
my,17100016
have,16978952
your,16520740
no,15952514
was,15724546
'm,15431247
not,15031294
are,14971054
're,14721102
be,14492915
know,13889887
with,12842073
all,12818456
but,12083400
just,11785566
so,11511959
here,11140672
there,11058662
they,10700523
get,10587896
like,10082580
did,9674045
'll,9667303
go,9629262
right,9542111
she,9298360
can,9286434
out,9183673
if,8977956
up,8974454
about,8599805
him,8597936
got,8307742
at,8159999
now,8082054
one,8047802
good,8031008
oh,8023592
come,7823316
yeah,7527795
how,7446528
well,7266081
her,7261082
want,6707410
've,6703610
will,6536861
think,6386715
see,6121609
let,6016886
who,5958464
as,5913510
why,5832809
from,5767940
his,5716152
would,5539926
okay,5469482
yes,5256150
when,5134874
going,5131375
back,5125216
time,5043979
an,4930909
us,4838613
na,4808077
look,4758914
gon,4755036
were,4736291
them,4713375
where,4704052
could,4660158
take,4601935
man,4583961
been,4393501
ca,4380770
hey,4361593
or,4357395
had,4303232
then,4205227
tell,4136670
our,4121087
some,4079486
say,3943555
need,3881908
really,3861934
'd,3802722
down,3696945
something,3640798
by,3640756
has,3601336
way,3563817
more,3449837
too,3431552
make,3396984
never,3293446
does,3239831
should,3201675
over,3154181
little,3076612
very,3013701
people,3009314
please,2987131
sorry,2984116
off,2973661
only,2955942
because,2908484
mean,2881101
give,2831995
said,2778150
two,2761404
love,2749332
thank,2698031
am,2681153
any,2674332
doing,2605312
thing,2502126
sure,2476588
even,2457315
much,2451535
help,2405358
uh,2382555
these,2367797
god,2345340
sir,2308240
find,2250628
into,2241384
anything,2204331
still,2193326
first,2191956
life,2153877
nothing,2150723
day,2113105
long,2081618
wait,2070334
work,2070308
maybe,2062724
stop,2054083
call,2045847
great,2031589
before,2027144
again,2022031
their,2005748
must,1975253
put,1967737
talk,1963679
than,1951980
night,1930369
other,1922052
away,1916853
thought,1910457
home,1885471
mr.,1874941
after,1870990
those,1847184
last,1832236
keep,1817249
told,1774307
new,1769695
everything,1754672
old,1739102
bad,1731975
big,1715680
things,1707167
wo,1687787
always,1668586
name,1651919
around,1649979
guy,1647216
ever,1630744
years,1623467
guys,1606199
leave,1597111
money,1551660
place,1526199
father,1498231
made,1491375
feel,1490667
fine,1456032
believe,1455463
done,1427638
nice,1425368
through,1397645
stay,1389714
three,1387573
every,1386501
coming,1381016
late,1374316
lot,1373704
hello,1370194
which,1368712
girl,1368281
someone,1366477
kind,1365108
shit,1347724
kill,1342006
thanks,1338131
left,1325711
listen,1317985
house,1312364
hear,1310807
world,1308933
wanted,1308927
enough,1299958
wrong,1296628
