lemma,count
good,8031008
little,3076612
sorry,2984116
sure,2476588
much,2451535
first,2191956
long,2081618
new,1769695
old,1739102
bad,1731975
big,1715680
nice,1425368
late,1374316
left,1325711
wanted,1308927
wrong,1296628
dead,1254894
real,1075160
best,1060373
many,1033125
hard,957481
ready,954548
whole,896886
happy,896061
used,884013
lost,778123
close,773195
easy,757149
young,725650
true,724156
high,684335
beautiful,663971
afraid,579903
different,561873
important,528591
cool,509293
free,505427
safe,504272
fast,503499
married,496024
full,495953
clear,490558
able,477742
alive,476178
hot,463542
stupid,461013
black,443615
white,426056
small,411569
early,409216
sick,384823
human,383131
perfect,381813
serious,367525
strong,362993
cold,357391
possible,355541
sweet,350940
glad,347066
known,336133
clean,334747
strange,312975
moving,311996
careful,308536
quiet,307135
general,296700
dark,291204
loved,289568
turned,285489
changed,283331
deep,275715
low,271478
near,264448
smart,261735
kept,255625
busy,254658
tired,251442
short,247411
born,246658
simple,240352
american,239365
dangerous,234346
fair,234004
round,228308
paid,226473
single,225339
personal,216422
major,216124
normal,215382
tough,215348
present,214062
slow,213999
interesting,213856
saved,213588
finished,212694
rich,211028
proud,209181
english,202397
private,196437
interested,196251
