lemma,definition,count
good,having desirable or positive qualities especially those suitable for a thing specified,8031008
little,limited or below average in number or quantity or magnitude or extent,3076612
sorry,feeling or expressing regret or sorrow or a sense of loss over something done or undone,2984116
sure,having or feeling no doubt or uncertainty; confident and assured,2476588
much,(quantifier used with mass nouns) great in quantity or degree or extent,2451535
first,preceding all others in time or space or degree,2191956
long,primarily temporal sense; being or indicating a relatively great or greater than average duration or passage of time or a duration as specified,2081618
new,not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered,1769695
old,(used especially of persons) having lived for a relatively long time or attained a specific age,1739102
bad,having undesirable or negative qualities,1731975
big,above average in size or number or quantity or magnitude or extent,1715680
nice,pleasant or pleasing or agreeable in nature or appearance; - George Meredith,1425368
late,being or occurring at an advanced period of time or after a usual or expected time,1374316
left,being or located on or directed toward the side of the body to the west when facing north,1325711
wanted,desired or wished for or sought,1308927
wrong,not correct; not in conformity with fact or truth,1296628
dead,no longer having or seeming to have or expecting to have life,1254894
real,being or occurring in fact or actuality; having verified existence; not illusory; ; ; ; ; ; - Longfellow,1075160
best,(superlative of `good') having the most positive qualities,1060373
many,a quantifier that can be used with count nouns and is often preceded by `as' or `too' or `so' or `that'; amounting to a large but indefinite number,1033125
hard,not easy; requiring great physical or mental effort to accomplish or comprehend or endure,957481
ready,completely prepared or in condition for immediate action or use or progress,954548
whole,including all components without exception; being one unit or constituting the full amount or extent or duration; complete,896886
happy,enjoying or showing or marked by joy or pleasure,896061
used,employed in accomplishing something; - H.H.Arnold & I.C.Eaker,884013
lost,no longer in your possession or control; unable to be found or recovered,778123
close,at or within a short distance in space or time or having elements near each other,773195
easy,posing no difficulty; requiring little effort,757149
young,(used of living things especially persons) in an early period of life or development or growth,725650
true,consistent with fact or reality; not false; ; - B. Russell,724156
high,greater than normal in degree or intensity or amount,684335
beautiful,delighting the senses or exciting intellectual or emotional admiration,663971
afraid,filled with fear or apprehension,579903
different,unlike in nature or quality or form or degree,561873
important,of great significance or value,528591
cool,neither warm nor very cold; giving relief from heat,509293
free,able to act at will; not hampered; not under compulsion or restraint,505427
safe,free from danger or the risk of harm,504272
fast,acting or moving or capable of acting or moving quickly,503499
married,joined in matrimony,496024
full,containing as much or as many as is possible or normal,495953
clear,readily apparent to the mind,490558
able,(usually followed by `to') having the necessary means or skill or know-how or authority to do something,477742
alive,possessing life,476178
hot,used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning,463542
stupid,lacking or marked by lack of intellectual acuity,461013
black,being of the achromatic color of maximum darkness; having little or no hue owing to absorption of almost all incident light,443615
white,being of the achromatic color of maximum lightness; having little or no hue owing to reflection of almost all incident light,426056
small,limited or below average in number or quantity or magnitude or extent,411569
early,at or near the beginning of a period of time or course of events or before the usual or expected time,409216
sick,affected by an impairment of normal physical or mental function,384823
human,characteristic of humanity,383131
perfect,being complete of its kind and without defect or blemish,381813
serious,concerned with work or important matters rather than play or trivialities,367525
strong,having strength or power greater than average or expected,362993
cold,having a low or inadequate temperature or feeling a sensation of coldness or having been made cold by e.g. ice or refrigeration,357391
possible,capable of happening or existing,355541
sweet,having or denoting the characteristic taste of sugar,350940
glad,showing or causing joy and pleasure; especially made happy,347066
known,apprehended with certainty,336133
clean,free from dirt or impurities; or having clean habits,334747
strange,being definitely out of the ordinary and unexpected; slightly odd or even a bit weird,312975
moving,in motion,311996
careful,exercising caution or showing care or attention,308536
quiet,characterized by an absence or near absence of agitation or activity,307135
general,applying to all or most members of a category or group,296700
dark,devoid of or deficient in light or brightness; shadowed or black,291204
loved,held dear,289568
turned,moved around an axis or center,285489
changed,made or become different in nature or form,283331
deep,relatively deep or strong; affecting one deeply,275715
low,less than normal in degree or intensity or amount,271478
near,not far distant in time or space or degree or circumstances,264448
smart,showing mental alertness and calculation and resourcefulness,261735
kept,(especially of promises or contracts) not violated or disregarded,255625
busy,actively or fully engaged or occupied,254658
tired,depleted of strength or energy,251442
short,primarily temporal sense; indicating or being or seeming to be limited in duration,247411
born,brought into existence,246658
simple,having few parts; not complex or complicated or involved,240352
american,of or relating to the United States of America or its people or language or culture,239365
dangerous,involving or causing danger or risk; liable to hurt or harm,234346
fair,free from favoritism or self-interest or bias or deception; conforming with established standards or rules,234004
round,having a circular shape,228308
paid,marked by the reception of pay,226473
single,being or characteristic of a single thing or person,225339
personal,concerning or affecting a particular person or his or her private life and personality,216422
major,of greater importance or stature or rank,216124
normal,conforming with or constituting a norm or standard or level or type or social norm; not abnormal,215382
tough,not given to gentleness or sentimentality,215348
present,temporal sense; intermediate between past and future; now existing or happening or in consideration,214062
slow,not moving quickly; taking a comparatively long time,213999
interesting,arousing or holding the attention,213856
saved,rescued; especially from the power and consequences of sin,213588
finished,(of materials or goods) brought to the desired final state,212694
rich,possessing material wealth,211028
proud,feeling self-respect or pleasure in something by which you measure your self-worth; or being a reason for pride,209181
english,of or relating to or characteristic of England or its culture or people,202397
private,confined to particular persons or groups or providing privacy,196437
interested,having or showing interest; especially curiosity or fascination or concern,196251
