lemma,definition,count
electronically,by electronic means,1732
warring,make or wage war,1732
dominick,American breed of chicken having barred grey plumage raised for meat and brown eggs,1732
sweatpants,loose-fitting trousers with elastic cuffs; worn by athletes,1732
rancid,(used of decomposing oils or fats) having a rank smell or taste usually due to a chemical change or decomposition,1732
entrapment,a defense that claims the defendant would not have broken the law if not tricked into doing it by law enforcement officials,1731
discrepancy,a difference between conflicting facts or claims or opinions,1731
mott,United States feminist and suffragist (1793-1880),1731
forcefully,with full force,1730
signify,denote or connote,1730
ranging,wandering freely,1730
swindled,deprive of by deceit,1730
recognizable,easily perceived; easy to become aware of,1730
selecting,"pick out, select, or choose from a number of alternatives",1729
servitude,state of subjection to an owner or master or forced labor imposed as punishment,1729
bering,Danish explorer who explored the northern Pacific Ocean for the Russians and discovered the Bering Strait (1681-1741),1728
liquidate,get rid of (someone who may be a threat) by killing,1728
warns,"notify of danger, potential harm, or risk",1728
miser,a stingy hoarder of money and possessions (often living miserably),1728
brained,hit on the head,1728
contradictory,of words or propositions so related that both cannot be true and both cannot be false,1728
sociology,the study and classification of human societies,1727
decimated,"kill one in every ten, as of mutineers in Roman armies",1726
carthage,an ancient city state on the north African coast near modern Tunis; founded by Phoenicians; destroyed and rebuilt by Romans; razed by Arabs in 697,1726
diddly,a small worthless amount,1726
choreographer,someone who creates new dances,1726
bosnian,of or relating to or characteristic of Bosnia-Herzegovina or the people of Bosnia,1725
credited,give someone credit for something,1725
yoghurt,a custard-like food made from curdled milk,1725
congenital,present at birth but not necessarily hereditary; acquired during fetal development,1725
jenner,English physician who pioneered vaccination; Jenner inoculated people with small amounts of cowpox to prevent them from getting smallpox (1749-1823),1725
revel,take delight in,1725
impregnable,immune to attack; incapable of being tampered with,1724
rockies,the chief mountain range of western North America; extends from British Columbia to northern New Mexico; forms the continental divide,1724
willies,feelings of uneasiness,1724
overdosed,dose too heavily,1723
reassurance,the act of reassuring; restoring someone's confidence,1723
unguarded,lacking protection or a guard,1723
stupendous,so great in size or force or extent as to elicit awe,1723
horowitz,Russian concert pianist who was a leading international virtuoso (1904-1989),1723
i.e.,that is to say; in other words,1722
weepy,liable to weep easily,1722
homely,lacking in physical beauty or proportion,1722
cutback,a reduction in quantity or rate,1721
unsuitable,not meant or adapted for a particular purpose,1721
revolve,turn on or around an axis or a center,1721
caprice,a sudden desire,1721
batty,informal or slang terms for mentally irregular,1721
gazebo,a small roofed building affording shade and rest,1720
browsing,reading superficially or at random,1720
rewriting,editing that involves writing something again,1720
roomie,an associate who shares a room with you,1720
ferrara,a city in northern Italy,1720
lapping,covering with a design in which one element covers a part of another (as with tiles or shingles),1720
riffraff,disparaging terms for the common people,1719
basque,a member of a people of unknown origin living in the western Pyrenees in France and Spain,1719
carelessness,the quality of not being careful or taking pains,1718
whiter,being of the achromatic color of maximum lightness; having little or no hue owing to reflection of almost all incident light,1718
foothold,an area in hostile territory that has been captured and is held awaiting further troops and supplies,1718
recommends,push for something,1718
unpleasantness,the feeling caused by disagreeable stimuli; one pole of a continuum of states of feeling,1717
shredding,tear into shreds,1717
copier,"apparatus that makes copies of typed, written or drawn material",1717
distantly,from or at a distance,1717
plunger,someone who risks losses for the possibility of considerable gains,1716
discontent,a longing for something better than the present situation,1716
grossly,in a gross manner,1716
tweaked,pinch or squeeze sharply,1716
fastball,(baseball) a pitch thrown with maximum velocity,1716
migrate,move from one country or region to another and settle there,1716
abilene,a city in central Texas,1716
koto,Japanese stringed instrument that resembles a zither; has a rectangular wooden sounding board and usually 13 silk strings that are plucked with the fingers,1716
westbound,moving toward the west,1715
pongo,type genus of the family Pongidae: orangutans,1715
bushy,used of hair; thick and poorly groomed,1715
mosaic,art consisting of a design made of small pieces of colored stone or glass,1715
blissful,completely happy and contented,1714
sg,a transuranic element,1714
kipling,English author of novels and poetry who was born in India (1865-1936),1714
tightened,make tight or tighter,1714
psychedelic,producing distorted sensory perceptions and feelings or altered states of awareness or sometimes states resembling psychosis,1713
dismembered,separate the limbs from the body,1713
maitland,English historian noted for his works on the history of English law (1850-1906),1713
middleweight,an amateur boxer who weighs no more than 165 pounds,1713
scranton,an industrial city of northeastern Pennsylvania,1712
astrologer,someone who predicts the future by the positions of the planets and sun and Moon,1712
vanderbilt,United States financier who accumulated great wealth from railroad and shipping businesses (1794-1877),1712
wallop,hit hard,1712
squander,spend thoughtlessly; throw away,1711
buggered,practice anal sex upon,1711
clawed,"move as if by clawing, seizing, or digging",1711
artiste,a public performer (a dancer or singer),1711
humbug,pretentious or silly talk or writing,1711
sizzle,make a sound like frying fat,1711
foghorn,a loud low warning signal that can be heard by fogbound ships,1711
lymph,a thin coagulable fluid (similar to plasma but) containing white blood cells (lymphocytes) and chyle; is conveyed to the blood stream by lymphatic vessels,1711
temperamental,relating to or caused by temperament,1711
hubris,overbearing pride or presumption,1710
teensy,(used informally) very small,1710
recapture,experience anew,1709
kosovo,a Serbian province in southern Serbia and Montenegro populated predominantly by Albanians,1709
catatonic,characterized by catatonia especially either rigidity or extreme laxness of limbs,1709
caligula,Roman Emperor who succeeded Tiberius and whose uncontrolled passions resulted in manifest insanity; noted for his cruelty and tyranny; was assassinated (12-41),1709
nostradamus,French astrologer who wrote cryptic predictions whose interpretations are still being debated (1503-1566),1708
guam,the largest and southernmost island in the Marianas which is administered as a territory of the United States; it was ceded by Spain to the United States in 1898,1708
woolly,having a fluffy character or appearance,1708
grange,an outlying farm,1707
presumption,an assumption that is taken for granted,1707
reactive,participating readily in reactions,1707
deterioration,a symptom of reduced quality or strength,1707
hairless,having no hair or fur,1707
ravenous,extremely hungry,1707
undertaken,enter upon an activity or enterprise,1707
sunup,the first light of day,1707
emporium,a large retail store organized into departments offering a variety of merchandise; commonly part of a retail chain,1707
argyle,a covered gravy holder of silver or other metal containing a detachable central vessel for hot water to keep the gravy warm,1707
tongs,any of various devices for taking hold of objects; usually have two hinged legs with handles above and pointed hooks below,1707
genital,of or relating to the external sex organs,1707
pyre,wood heaped for burning a dead body as a funeral rite,1707
madder,Eurasian herb having small yellow flowers and red roots formerly an important source of the dye alizarin,1706
obsess,haunt like a ghost; pursue,1706
twine,"spin,wind, or twist together",1706
honorably,in an honorable manner,1706
responder,someone who responds,1706
embroidery,elaboration of an interpretation by the use of decorative (sometimes fictitious) detail,1705
buckshot,small lead shot for shotgun shells,1705
hydrant,a faucet for drawing water from a pipe or cask,1705
barrie,Scottish dramatist and novelist; created Peter Pan (1860-1937),1705
spiteful,showing malicious ill will and a desire to hurt; motivated by spite,1705
dishonored,bring shame or dishonor upon,1705
veiled,having or as if having a veil or concealing cover,1704
pate,liver or meat or fowl finely minced or ground and variously seasoned,1704
jobless,not having a job,1703
hounding,pursue or chase relentlessly,1703
overseer,a person who directs and manages an organization,1703
treading,"put down or press the foot, place the foot",1703
rudely,in an impolite manner,1702
chatted,talk socially without exchanging too much information,1702
rotary,relating to or characterized by rotation,1702
molesting,harass or assault sexually; make indecent advances to,1702
realty,property consisting of houses and land,1702
aquatic,a plant that lives in or on water,1701
molest,harass or assault sexually; make indecent advances to,1701
dartmouth,a college in New Hampshire,1701
ringside,first row of seating; has an unobstructed view of a boxing or wrestling ring,1701
steamy,filled with steam or emitting moisture in the form of vapor or mist,1700
adulthood,the period of time in your life after your physical growth has stopped and you are fully developed,1700
unbecoming,not in keeping with accepted standards of what is right or proper in polite society,1700
dugout,either of two low shelters on either side of a baseball diamond where the players and coaches sit during the game,1700
piloting,the guidance of ships or airplanes from place to place,1700
misuse,apply to a wrong thing or person; apply badly or incorrectly,1700
shadowy,filled with shade,1699
promotional,of or relating to serving as publicity,1699
jettison,"throw away, of something encumbering",1698
businesswoman,a female businessperson,1698
registrar,a person employed to keep a record of the owners of stocks and bonds issued by the company,1698
voltaire,French writer who was the embodiment of 18th century Enlightenment (1694-1778),1698
hairpin,a double pronged pin used to hold women's hair in place,1698
coachman,a man who drives a coach (or carriage),1698
garnish,something (such as parsley) added to a dish for flavor or decoration,1698
brainstorm,the clear (and often sudden) understanding of a complex situation,1697
kissinger,United States diplomat who served under President Nixon and President Ford (born in 1923),1697
redecorating,redo the decoration of an apartment or house,1697
reinvent,bring back into existence,1697
shimmer,a weak and tremulous light,1696
clotting,the process of forming semisolid lumps in a liquid,1696
rejoicing,a feeling of great happiness,1696
ode,a lyric poem with complex stanza forms,1696
terrify,fill with terror; frighten greatly,1696
validity,the quality of being valid and rigorous,1696
styling,designate by an identifying term,1695
abnormality,an abnormal physical condition resulting from defective genes or developmental deficiencies,1695
varies,"become different in some particular way, without permanently losing one's or its former characteristics or essence",1694
enact,order by virtue of superior authority; decree,1694
gritty,composed of or covered with particles resembling meal in texture or consistency,1694
sedition,an illegal action inciting resistance to lawful authority and tending to cause the disruption or overthrow of the government,1693
synaptic,(neuroscience) of or involving synapses,1693
stoker,Irish writer of the horror novel about Dracula (1847-1912),1693
enthusiast,an ardent and enthusiastic supporter of some person or activity,1693
marauder,someone who attacks in search of booty,1693
bankroll,a roll of currency notes (often taken as the resources of a person or business etc.),1692
hammerhead,a stupid person; these words are used to express a low opinion of someone's intelligence,1692
entice,provoke someone to do something through (often false or exaggerated) promises or persuasion,1692
codex,an official list of chemicals or medicines etc.,1691
illuminating,tending to increase knowledge or dissipate ignorance,1691
gecko,any of various small chiefly tropical and usually nocturnal insectivorous terrestrial lizards typically with immovable eyelids; completely harmless,1691
flog,beat severely with a whip or rod,1690
mayflower,the ship in which the Pilgrim Fathers sailed from England to Massachusetts in 1620,1690
inciting,give an incentive for action,1690
nationalist,one who loves and defends his or her country,1690
hideaway,a hiding place; usually a remote place used by outlaws,1690
notable,worthy of notice,1689
galore,in great numbers,1689
presenter,someone who presents a message of some sort (as a petition or an address or a check or a memorial etc.),1689
poise,"be motionless, in suspension",1688
plentiful,existing in great number or quantity,1687
detainee,some held in custody,1687
citrus,any of numerous fruits of the genus Citrus having thick rind and juicy pulp; grown in warm regions,1687
boosted,increase,1686
lashed,beat severely with a whip or rod,1686
gaff,a sharp metal spike or spur that is fastened to the leg of a gamecock,1685
invariably,"without variation or change, in every case",1685
strenuous,characterized by or performed with much energy or force,1685
impervious,not admitting of passage or capable of being affected,1685
sloshing,make a splashing sound,1685
slacker,a person who shirks his work or duty (especially one who tries to evade military service in wartime),1685
shackled,bound by chains fastened around the ankles,1685
advisable,worthy of being recommended or suggested; prudent or wise,1685
conga,music composed for dancing the conga,1685
barkeep,an employee who mixes and serves alcoholic drinks at a bar,1685
footman,a man employed as a servant in a large establishment (as a palace) to run errands and do chores,1684
dispensary,clinic where medicine and medical supplies are dispensed,1684
pulpit,a platform raised above the surrounding level to give prominence to the person on it,1683
cascade,"rush down in big quantities, like a cascade",1683
quell,suppress or crush completely,1683
minty,relating to or suggestive of mint,1683
newsstand,a stall where newspapers and other periodicals are sold,1682
mauled,split (wood) with a maul and wedges,1682
defected,"desert (a cause, a country or an army), often in order to join the opposing cause, country, or army",1682
enacted,order by virtue of superior authority; decree,1682
pb,a soft heavy toxic malleable metallic element; bluish white when freshly cut but tarnishes readily to dull grey,1682
borneo,3rd largest island in the world; in the western Pacific to the north of Java; largely covered by dense jungle and rain forest; part of the Malay Archipelago,1682
ailment,an often persistent bodily disorder or disease; a cause for complaining,1681
rodgers,United States composer of musical comedies (especially in collaboration with Oscar Hammerstein II and with Lorenz Hart) (1902-1979),1681
dago,(ethnic slur) offensive term for a person of Italian descent,1681
sliver,a small thin sharp bit or wood or glass or metal,1681
drivel,a worthless message,1681
warhol,United States artist who was a leader of the Pop Art movement (1930-1987),1681
mouthpiece,a part that goes over or into the mouth of a person,1680
replenish,fill something that had previously been emptied,1680
commonplace,a trite or obvious remark,1679
littered,filled or scattered with a disorderly accumulation of objects or rubbish,1679
policewoman,a woman policeman,1679
repetitive,repetitive and persistent,1679
lingers,remain present although waning or gradually dying,1679
northman,an inhabitant of Scandinavia,1679
leniency,mercifulness as a consequence of being lenient or tolerant,1679
nairobi,the capital and largest city of Kenya; a center for tourist safaris,1678
corrupting,corrupt morally or by intemperance or sensuality,1678
disagrees,be of different opinions,1678
diffuse,move outward,1678
liven,make lively,1678
inspecting,look over carefully,1678
misinterpreted,interpret falsely,1677
emitting,expel (gases or odors),1677
cabana,a small tent used as a dressing room beside the sea or a swimming pool,1677
hinting,drop a hint; intimate by a hint,1677
peroxide,a viscous liquid with strong oxidizing properties; a powerful bleaching agent; also used (in aqueous solutions) as a mild disinfectant and (in strong concentrations) as an oxidant in rocket fuels,1677
groggy,stunned or confused and slow to react (as from blows or drunkenness or exhaustion),1676
putrid,of or relating to or attended by putrefaction,1676
attends,"be present at (meetings, church services, university), etc.",1676
inoperable,not able to perform its normal function,1676
maja,type genus of the Majidae; nearly cosmopolitan in distribution,1676
lakshmi,Hindu goddess of fortune and prosperity,1676
grotto,a small cave (usually with attractive features),1676
ventriloquist,a performer who projects the voice into a wooden dummy,1675
keyed,"identify as in botany or biology, for example",1675
barbecued,cook outdoors on a barbecue grill,1675
yeller,someone who communicates vocally in a very loud voice,1675
animosity,a feeling of ill will arousing active hostility,1675
exonerate,pronounce not guilty of criminal charges,1675
blubbering,cry or whine with snuffling,1675
escalation,an increase to counteract a perceived discrepancy,1675
ageing,acquiring desirable qualities by being left undisturbed for some time,1675
organizer,a person who brings order and organization to an enterprise,1674
repertoire,the entire range of skills or aptitudes or devices used in a particular field or occupation,1674
keystone,a central cohesive source of support and stability,1674
gatekeeper,someone who controls access to something,1673
pillage,goods or money obtained illegally,1673
hemorrhoid,pain caused by venous swelling at or inside the anal sphincter,1673
goethe,German poet and novelist and dramatist who lived in Weimar (1749-1832),1672
cancelling,postpone indefinitely or annul something that was scheduled,1672
depravity,moral perversion; impairment of virtue and moral principles,1672
viewpoint,a mental position from which things are viewed,1672
rainfall,water falling in drops from vapor condensed in the atmosphere,1672
portray,portray in words,1671
shyness,a feeling of fear of embarrassment,1671
falter,be unsure or weak,1671
ussr,a former communist country in eastern Europe and northern Asia; established in 1922; included Russia and 14 other soviet socialist republics (Ukraine and Byelorussia and others); officially dissolved 31 December 1991,1671
peddle,sell or offer for sale from place to place,1671
fillet,a boneless steak cut from the tenderloin of beef,1671
maimed,people who are wounded,1670
nautilus,a submarine that is propelled by nuclear power,1670
overhaul,travel past,1670
stillness,(poetic) tranquil silence,1670
disintegrate,break into parts or components or lose cohesion or unity,1670
engraving,a print made from an engraving,1670
heisenberg,German mathematical physicist noted for stating the uncertainty principle (1901-1976),1670
plowing,tilling the land with a plow,1670
scoreboard,a large board for displaying the score of a contest (and some other information),1669
castrated,deprive of strength or vigor,1669
handwritten,written by hand,1669
evading,"avoid or try to avoid fulfilling, answering, or performing (duties, questions, or issues)",1669
politeness,a courteous manner that respects accepted social usage,1668
fillmore,elected vice president and became the 13th President of the United States when Zachary Taylor died in office (1800-1874),1668
judiciary,persons who administer justice,1668
raspy,unpleasantly harsh or grating in sound,1667
clavicle,bone linking the scapula and sternum,1667
whizzing,make a soft swishing sound,1667
heartland,the central region of a country or continent; especially a region that is important to a country or to a culture,1667
caspian,a large saltwater lake between Iran and Russia fed by the Volga River; the largest inland body of water in the world,1666
schumann,"German pianist and composer of piano music; renowned for her interpretation of music, especially the music of her husband Robert Schumann (1819-1896)",1666
cirque,a steep-walled semicircular basin in a mountain; may contain a lake,1666
woodpecker,bird with strong claws and a stiff tail adapted for climbing and a hard chisel-like bill for boring into wood for insects,1666
clung,come or be in close contact with; stick or hold together and resist separation,1666
lute,a substance for packing a joint or coating a porous surface to make it impervious to gas or liquid,1666
martyrdom,death that is imposed because of the person's adherence of a religious faith or cause,1665
waco,a city in east central Texas,1665
cubby,a small secluded room,1665
impractical,not practical; not workable or not given to practical matters,1665
duce,leader,1665
macabre,shockingly repellent; inspiring horror,1664
inflammatory,characterized or caused by inflammation,1664
loveless,without love,1664
blackburn,black-and-white North American wood warbler having an orange-and-black head and throat,1664
plucking,pull or pull out sharply,1664
grifter,a person who swindles you by means of deception or fraud,1664
glaze,coat with a glaze,1664
convergence,the occurrence of two or more things coming together,1663
miao,a people living traditionally in mountain villages in southern China and adjacent areas of Vietnam and Laos and Thailand; many have emigrated to the United States,1663
sponsorship,the act of sponsoring (either officially or financially),1663
arrivederci,a farewell remark,1663
cadmus,(Greek mythology) the brother of Europa and traditional founder of Thebes in Boeotia,1662
evaluated,"evaluate or estimate the nature, quality, ability, extent, or significance of",1662
flaky,made of or resembling flakes,1662
crowding,a situation in which people or things are crowded together,1662
channeling,transmit or serve as the medium for transmission,1662
tripoli,a weathered and decomposed siliceous limestone; in powdered form it is used in polishing,1662
poach,hunt illegally,1662
extremity,an external body part that projects from the body,1661
tooting,make a loud noise,1661
untrained,not disciplined or conditioned or made adept by training,1661
tapeworm,ribbonlike flatworms that are parasitic in the intestines of humans and other vertebrates,1661
tenacity,persistent determination,1661
employing,put into service; make work or employ for a particular purpose or for its inherent or natural purpose,1661
leach,the process of leaching,1660
tardy,after the expected or usual time; delayed,1660
meridian,the highest level or degree attainable; the highest stage of development,1659
