lemma,definition,len_tokens,mean_log_freq,median_log_freq,miss_rate
know,be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about,9,-4.271772377698771,-4.178885154710665,0.11111111111111116
get,come into the possession of something concrete or abstract,5,-4.174839464226148,-4.756093202794244,0.0
like,prefer or wish to do something,3,-3.6214327940381614,-3.6183447541458738,0.0
go,"change location; move, travel, or proceed, also metaphorically",7,-4.26141119353923,-4.287611808428143,0.0
right,an abstract idea of that which is due to a person or governmental body by law or tradition or nature; ; - Eleanor Roosevelt,11,-4.371183280585238,-4.296297093238957,0.09090909090909094
come,"move toward, travel toward something or somebody or approach something or somebody",7,-3.5779504892530762,-3.5956176856889415,0.0
one,used of a single unit or thing; not two or more,4,-3.617305766471082,-3.7445568964281843,0.0
got,come into the possession of something concrete or abstract,5,-4.174839464226148,-4.756093202794244,0.0
good,having desirable or positive qualities especially those suitable for a thing specified,7,-4.724083235211372,-4.614634132709683,0.0
oh,a midwestern state in north central United States in the Great Lakes region,9,-4.122082792832188,-4.221167426022129,0.11111111111111116
yeah,"not only so, but",0,,,1.0
want,feel or have a desire for; want strongly,4,-3.832481821706092,-3.8248696323673643,0.0
well,(often used as a combining form) in a good or proper or satisfactory manner or to a high standard (`good' is a nonstandard dialectal variant for `well'),15,-3.976523711495617,-4.171595773944848,0.19999999999999996
think,judge or regard; look upon; judge,4,-3.9178636360297396,-4.085542005837596,0.0
see,perceive by sight or have the power to perceive by sight,5,-4.714791270679028,-4.285803999816871,0.0
let,make it possible through a specific action or lack of action for something to happen,8,-3.825053533953635,-3.9823607341985134,0.0
time,an instance or single occasion for some event,4,-4.470204590032822,-4.498451993835054,0.0
look,perceive with attention; direct one's gaze towards,5,-4.811890439590201,-4.5814569340796005,0.0
okay,being satisfactory or in satisfactory condition,3,-5.180135273284084,-5.652542613956819,0.0
yes,an affirmative,1,-5.302221863691501,-5.302221863691501,0.0
back,in or to or toward a former location,2,-4.485660307383231,-4.485660307383231,0.0
