lemma,count
you,101990052
i,94427348
the,77621929
to,58393171
's,50546243
a,49880922
it,47659086
that,35242137
and,35092529
n't,33041543
of,30218636
do,29757144
is,26464284
in,25236780
what,24585133
we,24010072
me,22781051
this,20234946
he,19107461
for,17539025
on,17445901
my,17100016
have,16978952
your,16520740
no,15955345
wa,15746764
'm,15431247
not,15031294
are,14976013
're,14721102
know,14532890
be,14492915
with,12842073
all,12818456
but,12083400
just,11785566
so,11515006
here,11140672
get,11099457
there,11058662
they,10700523
like,10258033
go,10138442
did,9674045
'll,9667303
right,9622115
can,9303435
she,9298360
out,9190837
if,8977956
up,8974454
about,8599805
him,8597936
come,8374107
one,8317958
got,8307742
at,8159999
now,8082054
good,8064341
oh,8023592
yeah,7527795
want,7453923
how,7446528
well,7286813
her,7261082
've,6703610
think,6626077
will,6542645
as,6462926
see,6212749
let,6064689
who,5958464
why,5832809
from,5767940
his,5716152
time,5631478
look,5552992
would,5539926
okay,5469482
yes,5256150
back,5148907
when,5134874
going,5133613
an,4932478
take,4899331
u,4897155
na,4809536
gon,4755036
were,4736291
them,4713375
where,4704052
say,4700710
could,4660158
man,4586583
been,4393501
ca,4382472
hey,4361593
or,4357395
had,4303232
tell,4259344
thing,4209293
then,4205227
our,4121087
ha,4092045
some,4079486
make,3995963
need,3881908
really,3861934
'd,3802722
way,3708028
down,3705423
something,3640798
by,3640756
find,3488344
mean,3486804
more,3449837
too,3431552
never,3293446
doe,3255639
guy,3253415
should,3201675
over,3154181
little,3076612
people,3019792
very,3013701
give,2991969
please,2987131
sorry,2984116
off,2973661
day,2963861
only,2955942
love,2923546
because,2908484
said,2778150
two,2764445
thank,2698031
am,2681153
any,2674332
doing,2605312
life,2542357
sure,2476588
help,2462706
even,2458695
much,2451535
year,2441377
god,2427470
uh,2382555
these,2367797
work,2344921
sir,2313447
call,2243039
into,2241384
anything,2204331
still,2195731
first,2191956
nothing,2152626
stop,2144083
wait,2084079
maybe,2062724
before,2027144
put,2026097
talk,2022857
again,2022031
night,2012208
their,2005748
thought,1999012
must,1975253
than,1951980
keep,1949519
home,1928254
other,1922052
great,1918505
away,1916853
mr.,1874941
friend,1872634
girl,1871158
after,1870990
those,1847184
last,1845389
name,1803337
told,1774307
long,1757160
new,1756800
everything,1754672
bad,1731975
wo,1687787
feel,1683849
always,1668586
place,1660957
around,1649979
ever,1630744
boy,1629872
old,1616260
woman,1597580
leave,1597111
money,1551660
father,1525184
lot,1519348
made,1491375
big,1464253
believe,1455463
stay,1442603
done,1427638
fine,1417370
kind,1414574
hand,1399950
through,1397645
kill,1396166
nice,1396002
three,1390638
every,1386501
coming,1381016
house,1371074
hello,1370194
kid,1369233
which,1368712
someone,1366477
shit,1356096
minute,1340088
world,1338430
thanks,1338131
left,1325711
listen,1317985
being,1316741
