lemma,count
know,14532890
get,11099457
like,10258033
go,10138442
right,9622115
come,8374107
one,8317958
got,8307742
good,8064341
oh,8023592
yeah,7527795
want,7453923
well,7286813
think,6626077
see,6212749
let,6064689
time,5631478
look,5552992
okay,5469482
yes,5256150
back,5148907
going,5133613
take,4899331
na,4809536
say,4700710
man,4586583
ca,4382472
tell,4259344
thing,4209293
make,3995963
need,3881908
really,3861934
way,3708028
find,3488344
mean,3486804
never,3293446
doe,3255639
guy,3253415
little,3076612
people,3019792
give,2991969
please,2987131
sorry,2984116
day,2963861
love,2923546
said,2778150
two,2764445
thank,2698031
life,2542357
sure,2476588
help,2462706
even,2458695
much,2451535
year,2441377
god,2427470
work,2344921
sir,2313447
call,2243039
still,2195731
first,2191956
nothing,2152626
stop,2144083
wait,2084079
maybe,2062724
put,2026097
talk,2022857
night,2012208
thought,1999012
must,1975253
keep,1949519
home,1928254
great,1918505
away,1916853
mr.,1874941
friend,1872634
girl,1871158
last,1845389
name,1803337
told,1774307
long,1757160
new,1756800
bad,1731975
feel,1683849
always,1668586
place,1660957
around,1649979
ever,1630744
boy,1629872
old,1616260
woman,1597580
leave,1597111
money,1551660
father,1525184
lot,1519348
made,1491375
big,1464253
believe,1455463
stay,1442603
done,1427638
fine,1417370
kind,1414574
hand,1399950
kill,1396166
nice,1396002
three,1390638
every,1386501
coming,1381016
house,1371074
hello,1370194
kid,1369233
someone,1366477
shit,1356096
minute,1340088
world,1338430
left,1325711
listen,1317985
hear,1310807
wanted,1308927
wrong,1300868
enough,1299958
fuck,1296751
may,1289741
car,1288453
happened,1285278
course,1281971
show,1273967
might,1273705
understand,1271531
remember,1271337
dad,1270497
dead,1254894
mother,1251543
ok,1248418
son,1245726
another,1245419
hell,1242349
care,1234862
came,1225353
talking,1214335
move,1204160
ask,1192524
fucking,1186654
looking,1179256
today,1169418
baby,1165685
try,1154334
mind,1145085
getting,1140866
hi,1131724
next,1131444
job,1102993
head,1102259
trying,1090252
door,1089063
real,1075160
family,1075012
hold,1071245
room,1066717
best,1058984
went,1042118
brother,1037574
mom,1033820
many,1033125
saw,1023698
morning,1018964
ta,1013806
child,1010360
together,1006820
start,1005712
run,1003200
idea,999389
problem,996336
men,991775
seen,976679
hour,966532
matter,956513
open,955981
ready,954548
heard,949296
eye,947828
already,947804
live,945593
turn,942916
miss,939401
actually,931401
knew,930005
word,926931
end,923081
wife,920932
second,911255
phone,908289
pretty,907858
took,903954
guess,901992
play,900054
whole,896886
called,895176
use,888491
yet,886968
used,884013
face,878822
meet,878681
bring,872887
week,858817
killed,857882
happy,854841
hard,849369
gone,841874
tonight,838387
bit,826802
hope,816971
school,814112
saying,812983
die,812505
alone,811554
excuse,811087
case,809779
ago,805356
question,802966
tomorrow,801851
lady,801794
far,800540
watch,788975
heart,788218
lost,778123
five,762430
ai,757756
part,750404
also,746429
sound,744062
worry,742889
business,739001
doctor,727696
true,724156
soon,716426
gun,710851
damn,708030
hit,707759
change,706788
police,704566
point,703760
mr,702860
number,702213
hurt,698246
check,694221
close,694011
sit,692834
shut,692353
drink,690133
probably,690039
death,687026
month,686553
story,682548
body,680709
working,679938
water,676044
thinking,675010
later,674185
exactly,669635
beautiful,663971
crazy,663460
music,662771
pay,661778
deal,661042
four,659649
whatever,659445
stuff,657004
chance,654195
game,650979
late,650380
shot,649003
fire,647641
person,646392
eat,645267
easy,641332
fight,639642
happen,638861
young,638294
somebody,638144
bye,634720
gave,634194
inside,628442
set,626287
forget,622581
stand,619894
mine,618925
taking,618853
wish,605608
side,604655
order,603981
line,600759
cut,599387
party,597875
dog,592733
light,590928
moment,587532
sleep,584438
sister,582890
afraid,579903
supposed,577949
reason,577668
making,576931
power,576124
daughter,575036
plan,574729
nobody,572195
read,570257
war,569816
break,568445
rest,567875
high,566064
clear,564867
asked,563336
blood,563037
book,562207
half,562110
different,561873
anyway,558735
walk,558021
city,557089
trust,555381
answer,551735
feeling,550461
fun,542358
least,542280
waiting,541933
captain,535751
quite,534825
husband,530507
important,528591
speak,528517
laugh,527479
truth,526036
trouble,523339
town,522326
behind,521541
though,518105
hate,517720
dr.,512213
playing,512167
free,507213
six,507133
dear,506717
lord,503649
anymore,503491
office,502701
couple,502346
welcome,499873
team,498830
almost,498522
married,496024
started,495176
save,491743
honey,490868
dream,487894
met,484782
cool,484510
king,484176
full,482225
died,479908
bitch,479322
mm,478654
telling,478573
able,477742
tried,476334
alive,476178
jack,474184
wow,473268
sigh,472007
foot,469901
brought,469327
either,468841
fact,468147
front,467460
human,467234
send,467094
safe,464023
john,463192
country,462994
bed,460090
pick,458810
buy,458756
stupid,455621
promise,454431
lie,452750
black,452701
outside,448632
news,446797
needs,444815
funny,443739
seems,441943
street,441817
ahead,441815
shoot,441131
hot,439763
white,435631
hurry,435251
sometimes,431789
food,428258
picture,426361
along,425967
cop,425822
state,423988
running,423374
jesus,420752
lose,418905
cry,418898
gentleman,417340
drive,417249
mrs.,416705
control,414180
law,413016
million,412364
company,408675
piece,407957
chuckle,406172
secret,405553
living,403830
red,402040
ship,399607
touch,399097
sort,398317
sent,398226
dinner,397470
ring,396623
taken,393341
become,390893
leaving,390394
win,390199
air,389192
parent,388871
sign,388319
special,383518
top,382995
sick,382068
perfect,381813
murder,381245
step,380725
voice,380333
hang,379712
bos,376865
daddy,376492
ten,374076
perhaps,373699
pull,373248
earth,372469
fall,370515
scared,369139
laughing,368412
key,368182
officer,367547
serious,367525
small,365336
president,364189
past,363943
master,361344
follow,358789
asking,357351
fast,356973
meeting,356199
luck,355608
possible,355541
drop,354802
hair,353075
sweet,351837
happens,351433
cold,349416
catch,347183
glad,347066
till,346898
bet,346842
report,346194
hospital,344419
figure,343055
agent,342370
ball,341754
movie,340376
seem,337213
known,336133
poor,336083
beat,335784
choice,334160
date,333635
sense,333414
dance,333143
return,333062
dude,332592
uncle,331720
speaking,331608
star,330304
system,329567
paper,329020
road,327130
lucky,326778
finally,326505
song,323282
ooh,322664
alright,322639
sam,322402
arm,321715
calling,321706
record,321413
mistake,321383
somewhere,320291
sex,319862
clean,318479
less,317752
weapon,314398
bag,313820
moving,311996
straight,311093
longer,310559
write,310507
horse,309401
force,309110
careful,308536
class,308443
future,308042
lead,308000
land,307849
general,307672
american,307637
wake,306767
throw,306479
worked,304750
coffee,304038
felt,303702
rule,303500
rather,302130
quiet,302116
attack,301823
rock,301249
building,301081
pass,300408
message,300221
evening,299359
card,298909
letter,298766
act,298406
fault,298370
charge,298232
security,297448
frank,296962
mile,296850
given,296210
looked,295838
bill,295059
wall,294937
seeing,293556
calm,293433
learn,293144
worth,292594
none,291790
ride,291375
blow,290631
buddy,290234
seven,289973
loved,289568
drug,289357
pain,288212
explain,287366
brain,286802
mouth,285629
leg,285626
wonder,285498
turned,285489
test,285242
changed,283331
happening,283271
quick,282023
kidding,280888
absolutely,280294
train,280254
kiss,279543
wonderful,279447
giving,277694
cell,276266
bastard,276028
mad,274965
box,274749
strong,274600
michael,274589
chief,274441
ma'am,274213
mark,273330
age,272920
weird,272629
blue,272587
dark,272388
needed,271520
smell,270191
early,268516
crime,267717
missing,266379
wear,265456
service,265341
station,264510
floor,263512
army,263485
ground,262574
george,262480
thousand,262428
court,261499
boat,261422
darling,261386
round,260980
information,260968
cover,260500
screaming,260380
sell,259513
yesterday,258744
finish,258736
protect,257975
fly,257942
watching,257941
fear,257881
meant,256762
tv,255639
kept,255625
tree,255534
count,255403
bar,255313
bank,255142
eight,255087
table,254680
stick,254648
suppose,254425
wedding,254369
worried,254338
amazing,252963
handle,252816
present,252475
caught,252375
glass,252084
soul,251625
tired,251442
camera,251267
mike,251055
busy,250955
fool,250915
york,250873
window,250709
radio,250642
hundred,250590
hotel,250451
birthday,248830
situation,248348
goodbye,248161
machine,247543
short,247221
animal,247092
born,246658
christmas,246170
lying,245520
victim,245257
honor,245216
evidence,244631
david,244325
idiot,244314
except,243993
bird,243608
strange,243106
imagine,242513
tom,242313
expect,241921
entire,241570
forever,241381
cause,240627
guard,240528
broke,240139
killer,240010
soldier,240001
history,239668
enemy,239577
middle,239472
forgive,239422
group,238253
detective,237957
swear,237839
area,237770
killing,237317
terrible,237304
near,237006
seat,236655
across,236242
completely,235447
club,235240
anywhere,234939
seriously,234896
peter,234536
dangerous,234346
totally,234091
decided,233636
film,233576
field,233433
attention,232977
plane,232534
surprise,232027
offer,231854
space,231390
position,231087
fair,230923
clothes,230868
single,230837
grunt,230643
goddamn,230488
memory,229895
sun,229886
marry,228545
instead,228534
join,228440
partner,228050
list,227970
christ,227785
certainly,227775
ran,227437
government,227417
definitely,227214
prison,226914
accident,226907
talked,226807
paid,226473
peace,225976
deep,225959
simple,225928
patient,225861
respect,225835
smart,224832
hide,223220
cat,221829
queen,221018
lawyer,220965
contact,220950
using,220803
lovely,220025
sitting,219993
major,219758
joke,219026
mama,218559
dollar,217920
scene,217869
relax,217548
girlfriend,217079
continues,216800
spend,216570
personal,216422
trip,216368
computer,216188
share,216132
normal,215382
fix,215222
interesting,213856
saved,213588
decision,212840
fighting,212739
park,212703
forgot,212702
finished,212694
ice,212642
sing,212381
gold,211702
gasp,211663
truck,211356
enjoy,211256
mary,211198
missed,211173
