lemma,count
right,9622115
oh,8023592
time,5631478
yes,5256150
going,5133613
na,4809536
man,4586583
ca,4382472
thing,4209293
way,3708028
doe,3255639
guy,3253415
people,3019792
day,2963861
life,2542357
year,2441377
god,2427470
work,2344921
sir,2313447
nothing,2152626
night,2012208
thought,1999012
must,1975253
mr.,1874941
friend,1872634
girl,1871158
name,1803337
boy,1629872
woman,1597580
money,1551660
father,1525184
lot,1519348
kind,1414574
hand,1399950
house,1371074
hello,1370194
kid,1369233
someone,1366477
shit,1356096
minute,1340088
world,1338430
fuck,1296751
may,1289741
car,1288453
course,1281971
might,1273705
dad,1270497
mother,1251543
son,1245726
hell,1242349
talking,1214335
fucking,1186654
today,1169418
baby,1165685
mind,1145085
getting,1140866
hi,1131724
job,1102993
head,1102259
door,1089063
family,1075012
room,1066717
brother,1037574
mom,1033820
morning,1018964
ta,1013806
child,1010360
idea,999389
problem,996336
men,991775
hour,966532
matter,956513
eye,947828
word,926931
wife,920932
phone,908289
face,878822
week,858817
bit,826802
school,814112
saying,812983
excuse,811087
case,809779
question,802966
tomorrow,801851
lady,801794
heart,788218
ai,757756
part,750404
business,739001
doctor,727696
gun,710851
police,704566
point,703760
mr,702860
number,702213
death,687026
month,686553
story,682548
body,680709
