lemma,definition,count
right,an abstract idea of that which is due to a person or governmental body by law or tradition or nature; ; - Eleanor Roosevelt,9622115
oh,a midwestern state in north central United States in the Great Lakes region,8023592
time,an instance or single occasion for some event,5631478
yes,an affirmative,5256150
going,the act of departing,5133613
na,a silvery soft waxy metallic element of the alkali metal group; occurs abundantly in natural compounds (especially in salt water); burns with a yellow flame and reacts violently in water; occurs in sea water and in the mineral halite (rock salt),4809536
man,an adult person who is male (as opposed to a woman),4586583
ca,a white metallic element that burns with a brilliant light; the fifth most abundant element in the earth's crust; an important component of most plants and animals,4382472
thing,a special situation,4209293
way,how something is done or how it happens,3708028
doe,the federal department responsible for maintaining a national energy policy of the United States; created in 1977,3255639
guy,an informal term for a youth or man,3253415
people,(plural) any group of human beings (men or women or children) collectively,3019792
day,time for Earth to make a complete rotation on its axis,2963861
life,a characteristic state or mode of living,2542357
year,a period of time containing 365 (or 366) days,2441377
god,the supernatural being conceived as the perfect and omnipotent and omniscient originator and ruler of the universe; the object of worship in monotheistic religions,2427470
work,activity directed toward making or doing something,2344921
sir,term of address for a man,2313447
nothing,a quantity of no importance,2152626
night,the time after sunset and before sunrise while it is dark outside,2012208
thought,the content of cognition; the main thing you are thinking about,1999012
must,a necessary or essential thing,1975253
mr.,a form of address for a man,1874941
friend,a person you know well and regard with affection and trust,1872634
girl,a young woman,1871158
name,a language unit by which a person or thing is known,1803337
boy,a youthful male person,1629872
woman,an adult female person (as opposed to a man),1597580
money,the most common medium of exchange; functions as legal tender,1551660
father,a male parent (also used as a term of address to your father),1525184
lot,(often followed by `of') a large number or amount or extent,1519348
kind,a category of things distinguished by some common characteristic or quality,1414574
hand,the (prehensile) extremity of the superior limb,1399950
house,a dwelling that serves as living quarters for one or more families,1371074
hello,an expression of greeting,1370194
kid,a young person of either sex,1369233
someone,a human being,1366477
shit,obscene terms for feces,1356096
minute,a unit of time equal to 60 seconds or 1/60th of an hour,1340088
world,everything that exists anywhere,1338430
fuck,slang for sexual intercourse,1296751
may,the month following April and preceding June,1289741
car,a motor vehicle with four wheels; usually propelled by an internal combustion engine,1288453
course,education imparted in a series of lessons or meetings,1281971
might,physical strength,1273705
dad,an informal term for a father; probably derived from baby talk,1270497
mother,a woman who has given birth to a child (also used as a term of address to your mother),1251543
son,a male human offspring,1245726
hell,any place of pain and turmoil,1242349
talking,an exchange of ideas via conversation,1214335
fucking,slang for sexual intercourse,1186654
today,the present time or age,1169418
baby,a very young child (birth to 1 year) who has not yet begun to walk or talk,1165685
mind,that which is responsible for one's thoughts and feelings; the seat of the faculty of reason,1145085
getting,the act of acquiring something,1140866
hi,an expression of greeting,1131724
job,the principal activity in your life that you do to earn money,1102993
head,the upper part of the human body or the front part of the body in animals; contains the face and brains,1102259
door,a swinging or sliding barrier that will close the entrance to a room or building or vehicle,1089063
family,a social unit living together,1075012
room,an area within a building enclosed by walls and floor and ceiling,1066717
brother,a male with the same parents as someone else,1037574
mom,informal terms for a mother,1033820
morning,the time period between dawn and noon,1018964
ta,a hard grey lustrous metallic element that is highly resistant to corrosion; occurs in niobite and fergusonite and tantalite,1013806
child,a young person of either sex,1010360
idea,the content of cognition; the main thing you are thinking about,999389
problem,a state of difficulty that needs to be resolved,996336
men,the force of workers available,991775
hour,a period of time equal to 1/24th of a day,966532
matter,a vaguely specified concern,956513
eye,the organ of sight,947828
word,a unit of language that native speakers can identify,926931
wife,a married woman; a man's partner in marriage,920932
phone,electronic equipment that converts sound into electrical signals that can be transmitted over distances and then converts received signals back into sounds,908289
face,the front of the human head from the forehead to the chin and ear to ear,878822
week,any period of seven consecutive days,858817
bit,a small piece or quantity of something,826802
school,an educational institution,814112
saying,a word or phrase that particular people use in particular situations,812983
excuse,a defense of some offensive behavior or some failure to keep a promise etc.,811087
case,an occurrence of something,809779
question,an instance of questioning,802966
tomorrow,the day after today,801851
lady,a polite name for any woman,801794
heart,the locus of feelings and intuitions,788218
ai,an agency of the United States Army responsible for providing timely and relevant and accurate and synchronized intelligence to tactical and operational and strategic level commanders,757756
part,something determined in relation to something that includes it,750404
business,a commercial or industrial enterprise and the people who constitute it,739001
doctor,a licensed medical practitioner,727696
gun,a weapon that discharges a missile at high velocity (especially from a metal tube or barrel),710851
police,the force of policemen and officers,704566
point,a geometric element that has position but no extension,703760
mr,a form of address for a man,702860
number,the property possessed by a sum or total or indefinite quantity of units or individuals,702213
death,the event of dying or departure from life,687026
month,one of the twelve divisions of the calendar year,686553
story,a message that tells the particulars of an act or occurrence or course of events; presented in writing or drama or cinema or as a radio or television program,682548
body,"the entire structure of an organism (an animal, plant, or human being)",680709
