lemma,count
verbally,1985
needlessly,1978
sarcastically,1966
decidedly,1957
indirectly,1945
coincidentally,1938
ne'er,1935
rationally,1921
understandably,1916
intellectually,1915
thereof,1912
tenderly,1908
cruelly,1892
internationally,1878
chemically,1868
stupidly,1861
unfairly,1857
exponentially,1837
expressly,1836
astern,1829
anxiously,1827
doubly,1822
mockingly,1815
fondly,1814
interestingly,1807
cleverly,1797
inherently,1796
relentlessly,1790
strategically,1784
dolce,1783
evilly,1777
drastically,1776
notoriously,1769
curiously,1766
biologically,1760
figuratively,1751
mistakenly,1749
recklessly,1744
warmly,1733
electronically,1732
forcefully,1730
i.e.,1722
distantly,1717
grossly,1716
honorably,1706
rudely,1702
invariably,1685
perchance,1655
explicitly,1644
arguably,1640
suspiciously,1635
frantically,1626
extensively,1624
massively,1620
hastily,1606
splendidly,1601
economically,1600
substantially,1584
subconsciously,1582
vividly,1575
digitally,1575
pleasantly,1573
unjustly,1567
securely,1560
doubtless,1560
adequately,1560
cautiously,1554
royally,1551
playfully,1549
abundantly,1544
decently,1539
mathematically,1537
unanimously,1531
realistically,1527
carelessly,1518
unconsciously,1511
awkwardly,1509
vigorously,1498
fatally,1492
meticulously,1485
unwittingly,1477
aimlessly,1461
collectively,1459
routinely,1452
notwithstanding,1451
mercilessly,1451
underfoot,1447
cheaply,1429
shockingly,1419
culturally,1418
anon,1406
c.o.d.,1404
westward,1401
legitimately,1398
incorrectly,1396
cleanly,1394
diligently,1393
moderately,1393
slowest,1388
unknowingly,1386
