lemma,count
well,9059320
yeah,7527795
back,5125216
really,3861934
never,3293446
even,2457315
still,2193326
maybe,2062724
away,1916853
home,1885471
always,1668586
around,1649979
ever,1630744
enough,1299958
ok,1248418
together,1006820
already,947804
actually,931401
pretty,907858
yet,886968
tonight,838387
alone,811554
ago,805356
far,800540
also,746429
soon,716426
probably,690039
later,674185
exactly,669635
inside,622989
anyway,558735
least,542280
quite,534825
behind,521541
though,518105
anymore,503491
almost,498522
either,468841
outside,448632
needs,444815
ahead,441815
sometimes,431789
along,425967
perhaps,373699
finally,326505
somewhere,320291
straight,311093
longer,310559
less,309689
rather,302130
none,291790
absolutely,280294
forever,241381
across,236242
completely,235447
anywhere,234939
seriously,234896
totally,234091
instead,228534
certainly,227775
definitely,227214
forward,206456
quickly,199400
within,194922
obviously,174323
besides,174297
especially,169517
often,166656
everywhere,154938
usually,154214
immediately,152327
twice,148563
upstairs,145664
apart,141221
suddenly,139990
closer,135435
indeed,135344
apparently,134194
otherwise,134102
earlier,133053
however,130069
beyond,129881
faster,128767
simply,124428
possibly,120167
clearly,118667
somehow,118177
hardly,115242
truly,112180
nowhere,110713
nearly,108854
deeply,108360
honestly,104227
perfectly,103099
lately,96306
unfortunately,95777
kinda,93561
barely,91227
sooner,89012
surely,88486
