lemma,definition,count
well,(often used as a combining form) in a good or proper or satisfactory manner or to a high standard (`good' is a nonstandard dialectal variant for `well'),9059320
yeah,"not only so, but",7527795
back,in or to or toward a former location,5125216
really,in accordance with truth or fact or reality,3861934
never,not ever; at no time in the past or future,3293446
even,used as an intensive especially to indicate something unexpected,2457315
still,"with reference to action or condition; without change, interruption, or cessation",2193326
maybe,by chance,2062724
away,from a particular thing or place or position (`forth' is obsolete),1916853
home,at or to or in the direction of one's home or family,1885471
always,at all times; all the time and on every occasion,1668586
around,in the area or vicinity,1649979
ever,at any time,1630744
enough,as much as necessary; ; (`plenty' is nonstandard),1299958
ok,an expression of agreement normally occurring at the beginning of a sentence,1248418
together,in contact with each other or in proximity,1006820
already,prior to a specified or implied time,947804
actually,in actual fact,931401
pretty,to a moderately sufficient extent or degree,907858
yet,up to the present time,886968
tonight,during the night of the present day,838387
alone,without any others being included or involved,811554
ago,in the past,805356
far,to a considerable degree; very much,800540
also,in addition,746429
soon,in the near future,716426
probably,with considerable certainty; without much doubt,690039
later,happening at a time subsequent to a reference time,674185
exactly,indicating exactness or preciseness,669635
inside,within a building,622989
anyway,used to indicate that a statement explains or supports a previous statement,558735
least,used to form the superlative,542280
quite,to a degree (not used with a negative),534825
behind,in or to or toward the rear,521541
though,(postpositive) however,518105
anymore,at the present or from now on; usually used with a negative,503491
almost,(of actions or states) slightly short of or not quite accomplished; all but,498522
either,after a negative statement used as an intensive meaning something like `likewise' or `also',468841
outside,outside a building,448632
needs,in such a manner as could not be otherwise,444815
ahead,at or in the front,441815
sometimes,on certain occasions or in certain cases but not always,431789
along,with a forward motion,425967
perhaps,by chance,373699
finally,after an unspecified period of time or an especially long delay,326505
somewhere,in or at or to some place; ; (`someplace' is used informally for `somewhere'),320291
straight,without deviation,311093
longer,for more time,310559
less,used to form the comparative of some adjectives and adverbs,309689
rather,on the contrary,302130
none,not at all or in no way,291790
absolutely,completely and without qualification; used informally as intensifiers,280294
forever,for a limitless time; ; - P.P.Bliss,241381
across,to the opposite side,236242
completely,to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly'),235447
anywhere,at or in or to any place; ; (`anyplace' is used informally for `anywhere'),234939
seriously,in a serious manner,234896
totally,to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly'),234091
instead,"in place of, or as an alternative to",228534
certainly,definitely or positively (`sure' is sometimes used informally for `surely'),227775
definitely,without question and beyond doubt,227214
forward,at or to or toward the front; ; ; ; (`forrad' and `forrard' are dialectal variations),206456
quickly,with rapid movements,199400
within,on the inside,194922
obviously,unmistakably (`plain' is often used informally for `plainly'),174323
besides,making an additional point; anyway,174297
especially,to a distinctly greater extent or degree than is common,169517
often,many times at short intervals,166656
everywhere,to or in any or all places; ; ; ; ; (`everyplace' is used informally for `everywhere'),154938
usually,under normal conditions,154214
immediately,without delay or hesitation; with no time intervening,152327
twice,two times,148563
upstairs,on a floor above,145664
apart,separated or at a distance in place or position or time,141221
suddenly,happening unexpectedly,139990
closer,(comparative of `near' or `close') within a shorter distance,135435
indeed,in truth (often tends to intensify),135344
apparently,from appearances alone; ; ; -Thomas Hardy,134194
otherwise,in other respects or ways,134102
earlier,earlier in time; previously,133053
however,despite anything to the contrary (usually following a concession),130069
beyond,farther along in space or time or degree,129881
faster,more quickly,128767
simply,and nothing more,124428
possibly,by chance,120167
clearly,without doubt or question,118667
somehow,in some unspecified way or manner; or by some unspecified means,118177
hardly,only a very short time before; ; ; ; ; - W.B.Yeats,115242
truly,in accordance with truth or fact or reality,112180
nowhere,not anywhere; in or at or to no place,110713
nearly,(of actions or states) slightly short of or not quite accomplished; all but,108854
deeply,to a great depth psychologically,108360
honestly,(used as intensives reflecting the speaker's attitude) it is sincerely the case that,104227
perfectly,completely and without qualification; used informally as intensifiers,103099
lately,in the recent past,96306
unfortunately,by bad luck,95777
kinda,to some (great or small) extent,93561
barely,only a very short time before; ; ; ; ; - W.B.Yeats,91227
sooner,comparatives of `soon' or `early',89012
surely,definitely or positively (`sure' is sometimes used informally for `surely'),88486
