lemma,definition,len_tokens,mean_log_freq,median_log_freq,miss_rate
tarnish,"make dirty or spotty, as by exposure to air; also used metaphorically",8,-4.325811879712175,-3.9977085404271464,0.0
alight,"to come to rest, settle",3,-3.3920718818763604,-3.6275847875747216,0.0
toughen,make tough or tougher,3,-4.020544425152049,-4.109513117514751,0.0
bandy,toss or strike a ball back and forth,5,-4.028356095500155,-4.114667716825018,0.0
attest,"provide evidence for; stand as proof of; show by one's behavior, attitude, or external attributes",9,-4.4196425151799605,-4.3733276729444555,0.0
infuse,teach and impress by frequent repetitions or admonitions,5,-4.97227937288719,-5.024545895741856,0.19999999999999996
dabble,dip a foot or hand briefly into a liquid,5,-4.544898657571484,-4.935220653635562,0.0
bustle,move or cause to move energetically or busily,5,-3.3970531691032044,-3.1699513791580545,0.4
podcast,distribute (multimedia files) over the internet for playback on a mobile device or a personal computer,9,-4.67220308384052,-4.583799007015724,0.11111111111111116
coexist,"coexist peacefully, as of nations",3,-5.379434651437147,-5.399950668826587,0.0
reminisce,recall the past,2,-4.241604580157826,-4.241604580157826,0.0
antiquate,make obsolete or old-fashioned,3,-4.174904299419271,-4.174904299419271,0.33333333333333337
daunt,cause to lose courage,3,-3.8928872922854025,-3.8512567489935043,0.0
dissuade,turn away from by persuasion,3,-4.055641982794562,-3.2752438657996037,0.0
skulk,"lie in wait, lie in ambush, behave in a sneaky and secretive manner",8,-4.43598621594132,-4.725871704973963,0.0
consecrate,appoint to a clerical posts,3,-5.087019805265613,-5.006689470440396,0.0
renegotiate,negociate anew,2,-5.803994452820376,-5.803994452820376,0.5
impart,transmit (knowledge or skills),3,-4.858854050126108,-4.942631976523405,0.0
propel,cause to move forward with force,4,-3.7172603430314415,-3.817467047517212,0.0
deter,try to prevent; show opposition to,4,-4.040065026115433,-3.935189705982987,0.0
infuriate,make furious,2,-3.8650052630115397,-3.8650052630115397,0.0
incur,make oneself subject to; bring upon oneself; become liable to,6,-3.885639919972498,-3.8536253611328273,0.0
befit,accord or comport with,2,-4.261853439599012,-4.261853439599012,0.5
waver,pause or hold back in uncertainty or unwillingness,5,-4.2187915318766525,-4.240832662059715,0.19999999999999996
apprise,inform (somebody) of something,3,-3.640410960579248,-3.5956175404631794,0.0
