lemma,count
tarnish,1608
alight,1608
toughen,1604
bandy,1602
attest,1601
infuse,1600
dabble,1600
bustle,1599
podcast,1596
coexist,1594
reminisce,1588
antiquate,1585
daunt,1584
dissuade,1581
skulk,1579
consecrate,1578
renegotiate,1574
impart,1573
propel,1568
deter,1564
infuriate,1561
incur,1559
befit,1558
waver,1558
apprise,1555
spew,1554
affirm,1553
blindside,1552
clinch,1548
calibrate,1547
shrug,1544
flounder,1542
nourish,1541
assimilate,1541
overstep,1540
supple,1535
gawk,1534
outweigh,1526
lope,1524
scurry,1523
vaccinate,1519
carjack,1515
dishonour,1509
whisk,1508
overdress,1505
entreat,1501
scribe,1499
prioritize,1495
discern,1493
outgrow,1488
keynote,1487
swivel,1480
subtract,1479
jilt,1478
unchain,1476
glisten,1473
crumple,1471
blab,1471
alienate,1469
overbear,1466
annul,1461
stonewall,1456
transpire,1455
forego,1455
bequeath,1454
insulate,1453
distil,1452
besiege,1450
pressurize,1449
rivet,1446
snub,1444
discontinue,1444
refute,1442
punt,1441
localize,1436
belittle,1434
summarize,1433
clench,1433
unhinge,1424
swoon,1424
caucus,1423
persevere,1422
cleave,1421
surmise,1418
dispel,1416
intertwine,1414
allot,1413
smolder,1412
deafen,1408
plummet,1407
comprise,1403
allocate,1396
embezzle,1395
strew,1394
traverse,1387
characterize,1387
underline,1383
beckon,1381
nauseate,1379
reiterate,1377
