lemma,definition,count
tarnish,"make dirty or spotty, as by exposure to air; also used metaphorically",1608
alight,"to come to rest, settle",1608
toughen,make tough or tougher,1604
bandy,toss or strike a ball back and forth,1602
attest,"provide evidence for; stand as proof of; show by one's behavior, attitude, or external attributes",1601
infuse,teach and impress by frequent repetitions or admonitions,1600
dabble,dip a foot or hand briefly into a liquid,1600
bustle,move or cause to move energetically or busily,1599
podcast,distribute (multimedia files) over the internet for playback on a mobile device or a personal computer,1596
coexist,"coexist peacefully, as of nations",1594
reminisce,recall the past,1588
antiquate,make obsolete or old-fashioned,1585
daunt,cause to lose courage,1584
dissuade,turn away from by persuasion,1581
skulk,"lie in wait, lie in ambush, behave in a sneaky and secretive manner",1579
consecrate,appoint to a clerical posts,1578
renegotiate,negociate anew,1574
impart,transmit (knowledge or skills),1573
propel,cause to move forward with force,1568
deter,try to prevent; show opposition to,1564
infuriate,make furious,1561
incur,make oneself subject to; bring upon oneself; become liable to,1559
befit,accord or comport with,1558
waver,pause or hold back in uncertainty or unwillingness,1558
apprise,inform (somebody) of something,1555
spew,expel or eject (saliva or phlegm or sputum) from the mouth,1554
affirm,establish or strengthen as with new evidence or facts,1553
blindside,"catch unawares, especially with harmful consequences",1552
clinch,secure or fasten by flattening the ends of nails or bolts,1548
calibrate,make fine adjustments or divide into marked intervals for optimal measuring,1547
shrug,raise one's shoulders to indicate indifference or resignation,1544
flounder,walk with great difficulty,1542
nourish,provide with nourishment,1541
assimilate,take up mentally,1541
overstep,pass beyond (limits or boundaries),1540
supple,make pliant and flexible,1535
gawk,look with amazement; look stupidly,1534
outweigh,be heavier than,1526
lope,run easily,1524
scurry,to move about or proceed hurriedly,1523
vaccinate,perform vaccinations or produce immunity in by inoculation,1519
carjack,"take someone's car from him by force, usually with the intention of stealing it",1515
dishonour,bring shame or dishonor upon,1509
whisk,move somewhere quickly,1508
overdress,dress too warmly,1505
entreat,ask for or request earnestly,1501
scribe,"score a line on with a pointed instrument, as in metalworking",1499
prioritize,assign a priority to,1495
discern,detect with the senses,1493
outgrow,grow too large or too mature for,1488
keynote,set the keynote of,1487
swivel,turn on a pivot,1480
subtract,make a subtraction,1479
jilt,cast aside capriciously or unfeelingly,1478
unchain,remove the chains from,1476
glisten,"be shiny, as if wet",1473
crumple,fall apart,1471
blab,divulge confidential information or secrets,1471
alienate,"arouse hostility or indifference in where there had formerly been love, affection, or friendliness",1469
overbear,overcome,1466
annul,declare invalid,1461
stonewall,obstruct or hinder any discussion,1456
transpire,"pass through the tissue or substance or its pores or interstices, as of gas",1455
forego,be earlier in time; go back further,1455
bequeath,leave or give by will after one's death,1454
insulate,"protect from heat, cold, or noise by surrounding with insulating material",1453
distil,undergo condensation; change from a gaseous to a liquid state and fall in drops,1452
besiege,surround so as to force to give up,1450
pressurize,increase the pressure on a gas or liquid,1449
rivet,direct one's attention on something,1446
snub,refuse to acknowledge,1444
discontinue,put an end to a state or an activity,1444
refute,"overthrow by argument, evidence, or proof",1442
punt,kick the ball,1441
localize,identify the location or place of,1436
belittle,cause to seem less serious; play down,1434
summarize,give a summary (of),1433
clench,hold in a tight grasp,1433
unhinge,disturb in mind or make uneasy or cause to be worried or alarmed,1424
swoon,"pass out from weakness, physical or emotional distress due to a loss of blood supply to the brain",1424
caucus,meet to select a candidate or promote a policy,1423
persevere,"be persistent, refuse to stop",1422
cleave,"separate or cut with a tool, such as a sharp instrument",1421
surmise,infer from incomplete evidence,1418
dispel,force to go away; used both with concrete and metaphoric meanings,1416
intertwine,"spin,wind, or twist together",1414
allot,give out,1413
smolder,burn slowly and without a flame,1412
deafen,be unbearably loud,1408
plummet,drop sharply,1407
comprise,be composed of,1403
allocate,distribute according to a plan or set apart for a special purpose,1396
embezzle,appropriate (as property entrusted to one's care) fraudulently to one's own use,1395
strew,spread by scattering ( is archaic),1394
traverse,travel across or pass over,1387
characterize,describe or portray the character or the qualities or peculiarities of,1387
underline,give extra weight to (a communication),1383
beckon,signal with the hands or nod,1381
nauseate,upset and make nauseated,1379
reiterate,"to say, state, or perform again",1377
