lemma,count
you,101990052
i,94427348
be,84762405
the,77621929
to,58393171
's,50546243
a,49880922
it,47086146
do,46703970
that,35242137
and,35092529
n't,33041543
of,30218636
have,25553764
in,25228043
what,24585133
we,24010072
me,22778962
get,20673804
this,20234946
he,19107461
for,17539025
on,17445901
go,17153809
my,17100016
your,16520740
no,15952514
know,15924955
'm,15431247
not,15031294
're,14721102
with,12842073
all,12818456
but,12083400
just,11785566
so,11511959
here,11140672
there,11058662
come,10980476
they,10700523
like,10450157
'll,9667303
right,9622115
can,9313776
she,9298360
think,9211544
out,9168397
up,9009750
if,8977956
want,8817776
about,8599805
him,8597936
say,8291843
at,8159999
now,8082054
one,8047802
oh,8023592
yeah,7527795
see,7482984
how,7446528
well,7290572
her,7261082
look,7028086
take,6815479
've,6703610
will,6675880
tell,6512224
good,6233304
let,6171454
make,6062415
who,5958464
as,5913510
why,5832809
from,5767940
his,5716152
time,5679689
would,5539926
okay,5469482
yes,5256150
back,5182093
when,5134874
an,4930909
us,4838613
na,4808077
gon,4755036
them,4713375
where,4704052
could,4660158
need,4617228
man,4599149
ca,4380770
hey,4361593
or,4357395
then,4205227
give,4197672
our,4121087
some,4079486
thank,4053110
really,3861934
mean,3846189
'd,3802722
down,3710858
something,3640798
by,3640756
find,3594276
way,3563817
talk,3463999
call,3459921
more,3449837
leave,3431587
too,3431552
work,3329236
never,3293446
love,3278296
guy,3253415
should,3201675
over,3154181
please,3077610
little,3076612
people,3019792
very,3013701
sorry,2984116
off,2980062
only,2955942
because,2908484
two,2761404
even,2751470
help,2744153
try,2720920
wait,2699964
any,2674332
fuck,2619994
happen,2558843
thing,2502126
kill,2480097
sure,2476588
much,2451535
stop,2406754
hear,2400094
uh,2382555
these,2367797
keep,2351351
god,2345340
sir,2308240
into,2241384
anything,2204331
still,2195731
put,2192524
first,2191956
ask,2159332
life,2153877
nothing,2150723
day,2113105
feel,2091109
maybe,2062724
use,2034761
before,2027144
again,2022031
their,2005748
must,1975253
name,1972239
than,1951980
home,1932262
night,1930369
other,1922052
away,1916853
live,1915622
mr.,1874941
after,1870990
last,1868309
great,1863781
those,1847184
better,1796319
long,1772528
new,1756800
everything,1754672
place,1710366
things,1707167
move,1700533
stay,1692289
meet,1690446
start,1689077
wo,1687787
always,1668586
run,1655864
kid,1650121
around,1649979
ever,1630744
believe,1630340
years,1623467
old,1608394
die,1556747
money,1551660
play,1549907
bring,1549425
show,1532733
listen,1530662
father,1527107
lot,1519348
hand,1465192
big,1464253
understand,1461702
miss,1416953
fine,1414467
through,1397645
nice,1396002
house,1389112
three,1387573
every,1386501
shit,1371921
hello,1370194
which,1368712
girl,1368281
someone,1366477
hold,1364093
remember,1361702
lose,1359119
kind,1359089
turn,1334420
world,1308933
head,1306075
wrong,1305939
bad,1304694
