lemma,count
get,20673804
go,17153809
know,15924955
come,10980476
like,10450157
think,9211544
want,8817776
say,8291843
see,7482984
look,7028086
take,6815479
tell,6512224
let,6171454
make,6062415
need,4617228
give,4197672
thank,4053110
mean,3846189
find,3594276
talk,3463999
call,3459921
leave,3431587
love,3278296
please,3077610
help,2744153
try,2720920
wait,2699964
happen,2558843
kill,2480097
stop,2406754
hear,2400094
keep,2351351
put,2192524
ask,2159332
feel,2091109
use,2034761
live,1915622
place,1710366
move,1700533
stay,1692289
meet,1690446
start,1689077
run,1655864
believe,1630340
die,1556747
play,1549907
bring,1549425
show,1532733
listen,1530662
understand,1461702
miss,1416953
hold,1364093
remember,1361702
lose,1359119
turn,1334420
care,1290059
open,1149159
shoot,1148199
speak,1129494
break,1124674
watch,1123924
end,1067967
change,1067035
drink,1065819
worry,1032753
saw,1028413
sit,1022616
pay,997429
send,993958
eat,976716
forget,970791
guess,960234
bite,939029
fight,936744
laugh,921489
seem,909062
stand,892378
check,887272
walk,867722
sleep,839444
suppose,838433
lie,819009
sound,800359
save,791041
hope,779080
marry,764638
hit,763773
deal,762650
write,761286
hurt,751287
buy,746417
shut,723812
order,715825
read,711692
drive,694049
pick,691669
set,682584
become,678330
win,669441
cut,657260
