lemma,count
unreproducible,15745
unbelted,15736
earless,15681
trihydroxy,15667
inharmonious,15666
atheromatous,15630
monocarboxylic,15617
hypovolemic,15530
denotative,15498
benignant,15431
cambial,15394
reparable,15355
gilled,15354
disfranchised,15338
cryptanalytic,15309
uncomplimentary,15259
nonperiodic,15250
undistinguishable,15230
limbless,15165
diaphyseal,15140
oligarchical,15122
orientating,15094
nonmaterial,14965
pentavalent,14942
phyletic,14906
deformational,14753
parentless,14689
inextinguishable,14650
lysogenic,14630
unenforced,14558
unpasteurised,14501
unspecialized,14497
plutocratic,14466
calcific,14443
cappadocian,14425
mithraic,14414
megakaryocytic,14407
hypophysectomized,14307
uncomplaining,14296
unthankful,14290
calisthenic,14273
subjacent,14263
argive,14158
hemic,14132
hatless,14127
unanalyzed,14060
pectic,14026
geomorphologic,14021
radiolucent,14020
postganglionic,14009
perirhinal,14004
supraorbital,13998
flagellated,13932
latinate,13896
carbocyclic,13875
cyclothymic,13816
discalced,13815
unsaleable,13747
oviparous,13737
unmusical,13697
nonrigid,13676
unfocussed,13657
radiophonic,13650
stingless,13547
albigensian,13541
chitinous,13503
stoppable,13495
tensional,13431
clearheaded,13378
unmarred,13373
tricentennial,13373
iodised,13367
curst,13364
campanulate,13361
allotropic,13289
dramaturgical,13249
apneic,13229
informatory,13215
pugilistic,13192
chasidic,13149
synthetical,13142
spiritualistic,13142
appositive,13133
alphameric,13105
presymptomatic,13058
totipotent,13046
uncoiled,13041
consubstantial,13033
neritic,13022
untempered,13013
downmarket,12995
rectifiable,12993
nonaligned,12972
photomechanical,12928
rectosigmoid,12903
caecal,12876
undiplomatic,12848
areolar,12817
churchillian,12800
antemortem,12714
