lemma,definition,count
unreproducible,impossible to reproduce or duplicate,15745
unbelted,lacking a belt,15736
earless,lacking external ears,15681
trihydroxy,containing three hydroxyl groups,15667
inharmonious,not in harmony,15666
atheromatous,of or relating to or resembling atheroma,15630
monocarboxylic,containing one carboxyl group,15617
hypovolemic,of or relating to a decrease in the volume of circulating blood,15530
denotative,having the power of explicitly denoting or designating or naming,15498
benignant,pleasant and beneficial in nature or influence,15431
cambial,of or relating to or functioning as a cambium,15394
reparable,capable of being repaired or rectified,15355
gilled,provided with gills,15354
disfranchised,deprived of the rights of citizenship especially the right to vote,15338
cryptanalytic,of or relating to cryptanalysis,15309
uncomplimentary,showing or representing unfavorably,15259
nonperiodic,not recurring at regular intervals,15250
undistinguishable,not capable of being distinguished or differentiated,15230
limbless,having no limbs,15165
diaphyseal,relating to the diaphysis of a bone,15140
oligarchical,of or relating to or supporting or characteristic of an oligarchy,15122
orientating,positioning with respect to a reference system or determining your bearings physically or intellectually,15094
nonmaterial,not consisting of matter,14965
pentavalent,having a valence of five,14942
phyletic,of or relating to the evolutionary development of organisms,14906
deformational,relating to or causing change in either shape or size of a material body or geometric figure,14753
parentless,having no parent or parents or not cared for by parent surrogates,14689
inextinguishable,difficult or impossible to extinguish,14650
lysogenic,of or relating to lysogeny,14630
unenforced,not enforced; not compelled especially by legal or police action,14558
unpasteurised,not having undergone pasteurization,14501
unspecialized,not specialized or modified for a particular purpose or function,14497
plutocratic,of or relating to or characteristic of a plutocrat,14466
calcific,involving or resulting from calcification,14443
cappadocian,of or pertaining to Cappadocia or its people or culture,14425
mithraic,of or relating to Mithraism or its god,14414
megakaryocytic,of or pertaining to large bone marrow cells,14407
hypophysectomized,having the pituitary gland removed by surgery,14307
uncomplaining,not complaining,14296
unthankful,not feeling or showing gratitude; ; - Shakespeare,14290
calisthenic,of or relating to calisthenics,14273
subjacent,lying nearby but lower,14263
argive,of or relating to the ancient Greek city of Argos or its people,14158
hemic,relating to or containing or affecting blood,14132
hatless,not wearing a hat,14127
unanalyzed,not analyzed or broken down for detailed examination,14060
pectic,of or relating to or derived from pectin,14026
geomorphologic,pertaining to geological structure,14021
radiolucent,almost complete transparent to X-rays or other forms of radiation,14020
postganglionic,beyond or distal to a ganglion (referring especially to the unmyelinated fibers that originate from cells in autonomic ganglia),14009
perirhinal,near the nose,14004
supraorbital,located or occurring above the eye socket,13998
flagellated,having or resembling a lash or whip (as does a flagellum),13932
latinate,derived from or imitative of Latin,13896
carbocyclic,having or relating to or characterized by a ring composed of carbon atoms,13875
cyclothymic,of or relating to or exhibiting cyclothymia,13816
discalced,(used of certain religious orders) barefoot or wearing only sandals,13815
unsaleable,impossible to sell,13747
oviparous,egg-laying,13737
unmusical,lacking interest in or talent for music,13697
nonrigid,designating an airship having a shape maintained only by internal gas pressure and without a supporting structure,13676
unfocussed,(of an image) not being in or brought into focus,13657
radiophonic,relating to or by means of radiotelephony,13650
stingless,without a sting,13547
albigensian,of or relating to Albigenses or Albigensianism,13541
chitinous,of or resembling chitin,13503
stoppable,capable of being stopped,13495
tensional,of or relating to or produced by tension,13431
clearheaded,not mentally confused; able to think clearly and act intelligently,13378
unmarred,free from physical or moral spots or stains,13373
tricentennial,of or relating to or completing a period of 300 years,13373
iodised,treated with iodine,13367
curst,deserving a curse; sometimes used as an intensifier,13364
campanulate,shaped like a bell or campana,13361
allotropic,of or related to or exhibiting allotropism,13289
dramaturgical,relating to the technical aspects of drama,13249
apneic,of or relating to apnea,13229
informatory,providing or conveying information,13215
pugilistic,of or relating to pugilism or pugilists,13192
chasidic,of or relating to the Jewish Hasidim or its members or their beliefs and practices,13149
synthetical,involving or of the nature of synthesis (combining separate elements to form a coherent whole) as opposed to analysis; - P.S.Welch,13142
spiritualistic,of or relating to or connected with spiritualism,13142
appositive,relating to or being in apposition,13133
alphameric,of or pertaining to alphanumeric characters,13105
presymptomatic,of or relating to the early phases of a disease when accurate diagnosis is not possible because symptoms of the disease have not yet appeared,13058
totipotent,having the ability to give rise to unlike cells,13046
uncoiled,no longer coiled,13041
consubstantial,regarded as the same in substance or essence (as of the three persons of the Trinity),13033
neritic,of or relating to the region of the sea over the continental shelf which is less than 200 meters deep,13022
untempered,not brought to a proper consistency or hardness,13013
downmarket,designed for low-income consumers,12995
rectifiable,capable of being repaired or rectified,12993
nonaligned,"not affiliated with any faction, party, or cause",12972
photomechanical,of or relating to or involving various methods of using photography to make plates for printing,12928
rectosigmoid,of or related to or near the sigmoid colon and the upper part of the rectum,12903
caecal,of or like a cecum,12876
undiplomatic,not skilled in dealing with others,12848
areolar,relating to or like or divided into areolae,12817
churchillian,of or relating to or suggestive of Winston Churchill,12800
antemortem,preceding death,12714
