lemma,count
new,1583352073
free,1014697813
online,601341802
first,578161543
good,522951149
high,474163474
used,421438139
available,379644437
best,372162349
public,349286123
many,318966441
full,315270537
long,312311150
general,311757793
low,300288370
united,299280163
real,297789176
international,295678805
late,282384753
large,272444368
local,270742935
national,266376620
posted,263851272
old,259633894
reserved,256443074
big,250110784
black,245058541
much,242326300
small,238429583
related,231127472
american,227534978
following,220709925
current,216987137
personal,214671907
white,210204608
digital,202346767
private,187908727
little,187525262
different,179794224
english,172371546
left,171752631
hot,169046505
human,160573748
easy,156567958
medical,155254497
young,151423976
complete,149395597
financial,148330257
standard,147177212
legal,142048771
hard,141482176
social,139566375
early,139213493
important,136103455
east,135037085
single,134767949
fast,133900700
close,130111712
bad,128304170
possible,123311561
professional,123162607
major,122592252
similar,119150817
listed,117951402
net,116902428
popular,116495721
short,115602163
cheap,114768854
sure,110776842
able,109481181
common,108210930
specific,107785779
limited,106154969
powered,106119933
natural,105101771
due,104931572
technical,102792861
pro,102580860
direct,102234090
present,99420744
written,98056850
near,97610593
wide,97566407
true,96754382
economic,93044306
simple,91746476
clear,91158430
commercial,90554932
received,90037485
registered,88506935
known,86395556
whole,85202530
annual,85043687
published,84923632
basic,84840226
corporate,84697675
designed,83559486
political,82021775
environmental,81596309
french,81396759
