lemma,definition,count
new,not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered,1583352073
free,able to act at will; not hampered; not under compulsion or restraint,1014697813
online,on a regular route of a railroad or bus or airline system,601341802
first,preceding all others in time or space or degree,578161543
good,having desirable or positive qualities especially those suitable for a thing specified,522951149
high,greater than normal in degree or intensity or amount,474163474
used,employed in accomplishing something; - H.H.Arnold & I.C.Eaker,421438139
available,obtainable or accessible and ready for use or service,379644437
best,(superlative of `good') having the most positive qualities,372162349
public,not private; open to or concerning the people as a whole,349286123
many,a quantifier that can be used with count nouns and is often preceded by `as' or `too' or `so' or `that'; amounting to a large but indefinite number,318966441
full,containing as much or as many as is possible or normal,315270537
long,primarily temporal sense; being or indicating a relatively great or greater than average duration or passage of time or a duration as specified,312311150
general,applying to all or most members of a category or group,311757793
low,less than normal in degree or intensity or amount,300288370
united,characterized by unity; being or joined into a single entity,299280163
real,being or occurring in fact or actuality; having verified existence; not illusory; ; ; ; ; ; - Longfellow,297789176
international,concerning or belonging to all or at least two or more nations,295678805
late,being or occurring at an advanced period of time or after a usual or expected time,282384753
large,above average in size or number or quantity or magnitude or extent,272444368
local,relating to or applicable to or concerned with the administration of a city or town or district rather than a larger area,270742935
national,of or relating to or belonging to a nation or country,266376620
posted,publicly announced,263851272
old,(used especially of persons) having lived for a relatively long time or attained a specific age,259633894
reserved,set aside for the use of a particular person or party,256443074
big,above average in size or number or quantity or magnitude or extent,250110784
black,being of the achromatic color of maximum darkness; having little or no hue owing to absorption of almost all incident light,245058541
much,(quantifier used with mass nouns) great in quantity or degree or extent,242326300
small,limited or below average in number or quantity or magnitude or extent,238429583
related,being connected either logically or causally or by shared characteristics,231127472
american,of or relating to the United States of America or its people or language or culture,227534978
following,going or proceeding or coming after in the same direction,220709925
current,occurring in or belonging to the present time,216987137
personal,concerning or affecting a particular person or his or her private life and personality,214671907
white,being of the achromatic color of maximum lightness; having little or no hue owing to reflection of almost all incident light,210204608
digital,displaying numbers rather than scale positions,202346767
private,confined to particular persons or groups or providing privacy,187908727
little,limited or below average in number or quantity or magnitude or extent,187525262
different,unlike in nature or quality or form or degree,179794224
english,of or relating to or characteristic of England or its culture or people,172371546
left,being or located on or directed toward the side of the body to the west when facing north,171752631
hot,used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning,169046505
human,characteristic of humanity,160573748
easy,posing no difficulty; requiring little effort,156567958
medical,relating to the study or practice of medicine,155254497
young,(used of living things especially persons) in an early period of life or development or growth,151423976
complete,having every necessary or normal part or component or step,149395597
financial,involving financial matters,148330257
standard,conforming to or constituting a standard of measurement or value; or of the usual or regularized or accepted kind,147177212
legal,established by or founded upon law or official or accepted rules,142048771
hard,not easy; requiring great physical or mental effort to accomplish or comprehend or endure,141482176
social,relating to human society and its members,139566375
early,at or near the beginning of a period of time or course of events or before the usual or expected time,139213493
important,of great significance or value,136103455
east,situated in or facing or moving toward the east,135037085
single,being or characteristic of a single thing or person,134767949
fast,acting or moving or capable of acting or moving quickly,133900700
close,at or within a short distance in space or time or having elements near each other,130111712
bad,having undesirable or negative qualities,128304170
possible,capable of happening or existing,123311561
professional,engaged in a profession or engaging in as a profession or means of livelihood,123162607
major,of greater importance or stature or rank,122592252
similar,marked by correspondence or resemblance,119150817
listed,on a list,117951402
net,remaining after all deductions,116902428
popular,"regarded with great favor, approval, or affection especially by the general public",116495721
short,primarily temporal sense; indicating or being or seeming to be limited in duration,115602163
cheap,relatively low in price or charging low prices,114768854
sure,having or feeling no doubt or uncertainty; confident and assured,110776842
able,(usually followed by `to') having the necessary means or skill or know-how or authority to do something,109481181
common,belonging to or participated in by a community as a whole; public,108210930
specific,(sometimes followed by `to') applying to or characterized by or distinguishing something particular or special or unique,107785779
limited,small in range or scope,106154969
powered,(often used in combination) having or using or propelled by means of power or power of a specified kind,106119933
natural,in accordance with nature; relating to or concerning nature,105101771
due,owed and payable immediately or on demand,104931572
technical,of or relating to technique or proficiency in a practical skill,102792861
pro,in favor of (an action or proposal etc.),102580860
direct,direct in spatial dimensions; proceeding without deviation or interruption; straight and short,102234090
present,temporal sense; intermediate between past and future; now existing or happening or in consideration,99420744
written,set down in writing in any of various ways,98056850
near,not far distant in time or space or degree or circumstances,97610593
wide,having great (or a certain) extent from one side to the other,97566407
true,consistent with fact or reality; not false; ; - B. Russell,96754382
economic,"of or relating to an economy, the system of production and management of material wealth",93044306
simple,having few parts; not complex or complicated or involved,91746476
clear,readily apparent to the mind,91158430
commercial,connected with or engaged in or sponsored by or used in commerce or commercial enterprises,90554932
received,conforming to the established language usage of educated native speakers;  (American);  (British),90037485
registered,(of animals) officially recorded with or certified by a recognized breed association; especially in a stud book,88506935
known,apprehended with certainty,86395556
whole,including all components without exception; being one unit or constituting the full amount or extent or duration; complete,85202530
annual,completing its life cycle within a year,85043687
published,prepared and printed for distribution and sale,84923632
basic,pertaining to or constituting a base or basis,84840226
corporate,of or belonging to a corporation,84697675
designed,done or made or performed with purpose and intent; - Havelock Ellis,83559486
political,involving or characteristic of politics or parties or politicians; - Daniel Goleman,82021775
environmental,of or relating to the external conditions or surroundings,81596309
french,of or pertaining to France or the people of France,81396759
