lemma,definition,count
demulcent,a medication (in the form of an oil or salve etc.) that soothes inflamed or injured skin,12866
australopithecine,any of several extinct humanlike bipedal primates with relatively small brains of the genus Australopithecus; from 1 to 4 million years ago,12859
cocain,a narcotic (alkaloid) extracted from coca leaves; used as a surface anesthetic or taken for pleasure; can become powerfully addictive,12857
barkes,speak in an unfriendly tone,12857
complots,"engage in plotting or enter into a conspiracy, swear together",12857
feminize,assume (more) feminine characteristics,12856
counterattacked,make a counterattack,12856
topknot,headdress consisting of a decorative ribbon or bow worn in the hair,12855
paramountcy,the state of being paramount; the highest rank or authority,12855
containes,include or contain; have as a component,12851
underselling,sell cheaper than one's competition,12851
saleroom,an area where merchandise (such as cars) can be displayed,12850
undiplomatic,not skilled in dealing with others,12848
tackiest,(of a glutinous liquid such as paint) not completely dried and slightly sticky to the touch,12848
jelled,become gelatinous,12844
deutzia,any of various shrubs of the genus Deutzia having usually toothed opposite leaves and shredding bark and white or pink flowers in loose terminal clusters,12843
lagune,a body of water cut off from a larger body by a reef of sand or coral,12842
topmast,the mast next above a lower mast and topmost in a fore-and-aft rig,12841
noncom,a military officer appointed from enlisted personnel,12839
steradian,the unit of solid angle adopted under the Systeme International d'Unites,12837
flurried,move in an agitated or confused manner,12835
noctua,type genus of the Noctuidae: moths whose larvae are cutworms,12835
hunchbacked,"characteristic of or suffering from kyphosis, an abnormality of the vertebral column",12834
clupeidae,herrings; shad; sardines; etc.,12834
dekko,British slang for a look,12832
tameness,the quality of being vapid and unsophisticated,12829
airburst,an explosion in the atmosphere,12828
deferentially,in a servile manner,12827
retreaded,use again in altered form,12823
urmia,a shallow saline lake in northwestern Iran between Tabriz and the western border of Turkey,12822
areolar,relating to or like or divided into areolae,12817
lobsterman,a person whose occupation is catching lobsters,12817
skiving,remove the surface of,12817
accessorial,nonessential but helpful,12815
catasetum,genus of tropical American orchids having showy male and female flowers usually on separate inflorescences,12815
combativeness,a militant aggressiveness,12814
choreographs,"compose a sequence of dance steps, often to music",12812
rusticated,live in the country and lead a rustic life,12811
passiveness,submission to others or to outside influences,12811
gloominess,an atmosphere of depression and melancholy,12806
amytal,the sodium salt of amobarbital that is used as a barbiturate; used as a sedative and a hypnotic,12806
moussorgsky,Russian composer of operas and orchestral works (1839-1881),12805
louisianan,a native or resident of Louisiana,12805
aimlessness,the quality of lacking any definite purpose,12804
scomberomorus,Spanish mackerels,12802
litigates,engage in legal proceedings,12801
commiserated,to feel or express sympathy or compassion,12801
churchillian,of or relating to or suggestive of Winston Churchill,12800
jobholder,an employee who holds a regular job,12798
mournes,feel sadness,12797
cinclus,type genus of the family Cinclidae,12795
vambrace,cannon of plate armor protecting the forearm,12793
overborne,overcome,12786
jerkily,with spasms,12785
leting,make it possible through a specific action or lack of action for something to happen,12785
avows,to declare or affirm solemnly and formally as true,12784
hellishly,extremely,12784
thryothorus,Carolina wrens,12783
greyer,of an achromatic color of any lightness intermediate between the extremes of white and black,12777
overflying,fly over,12776
suavely,with suavity; in a suave manner,12776
characin,any freshwater fish of the family Characinidae,12775
flouring,cover with flour,12774
antedated,be earlier in time; go back further,12771
trochilidae,hummingbirds,12770
distributary,a branch of a river that flows away from the main stream and does not rejoin it,12770
enthral,hold spellbound,12770
contentiousness,an inclination to be quarrelsome and contentious,12769
jocose,characterized by jokes and good humor,12769
erithacus,Old World thrushes,12765
crookedly,in a crooked lopsided manner,12763
deckled,having a rough edge; used of handmade paper or paper resembling handmade,12761
enciphering,convert ordinary language into code,12758
urga,the capital and largest city of Mongolia,12755
caustically,in a caustic vitriolic manner,12754
sumach,a shrub or tree of the genus Rhus (usually limited to the non-poisonous members of the genus),12754
coelom,a cavity in the mesoderm of an embryo that gives rise in humans to the pleural cavity and pericardial cavity and peritoneal cavity,12753
wanter,a person who wants or needs something,12751
pleochroism,the phenomenon of different colors appearing when certain crystals are viewed from different directions,12750
rebating,give a reduction in the price during a sale,12750
asilidae,robber flies,12737
hinderer,located at or near the back of an animal,12737
dostoevski,Russian novelist who wrote of human suffering with humor and psychological insight (1821-1881),12737
deodorized,eliminate the odor from,12735
nybble,a small byte,12735
disconnectedness,state of being disconnected,12733
expurgated,edit by omitting or modifying parts considered indelicate,12732
concussed,shake violently,12732
vaporisation,the process of becoming a vapor,12732
fragmental,consisting of small disconnected parts,12730
griever,a person who is feeling grief (as grieving over someone who has died),12729
lither,moving and bending with ease,12724
forfend,prevent the occurrence of; prevent from happening,12724
synchronises,happen at the same time,12719
defoliate,strip the leaves or branches from,12718
insatiably,to an insatiable degree,12717
asklepios,son of Apollo; a hero and the Roman god of medicine and healing; his daughters were Hygeia and Panacea,12716
loadstar,guiding star; a star that is used as a reference point in navigation or astronomy,12714
antemortem,preceding death,12714
triose,any monosaccharide sugar containing three atoms of carbon per molecule,12711
