lemma,count
new,1551258643
home,1343605650
page,1316122844
time,1111656450
service,1081744026
search,1081663131
site,1047065976
one,1030094716
free,1014995410
information,935638515
may,828929629
product,813493987
year,788933892
news,755424983
day,751398261
find,750329830
price,745086954
use,719980257
state,714041148
see,691684623
business,685665263
contact,680789678
view,679612669
book,678670133
get,654791998
review,646751881
help,640662027
item,627040260
right,625671700
web,623073565
system,620530933
also,616829742
post,609778564
pm,606618641
online,601317059
link,580329194
first,578720548
good,575382957
hotel,573485707
click,543596962
name,536451608
game,533042401
list,530839895
like,530313020
date,527409617
work,518065646
member,510515046
top,495984898
make,492914240
back,492821317
people,489752450
message,482778842
policy,472193707
go,468725815
user,465766463
school,462035941
video,459479130
email,457239566
city,450485160
program,449185215
number,448864945
group,447657251
company,442980926
world,442525771
two,441634470
health,440431718
comment,436187177
store,432519343
next,425903347
used,421438139
last,420280283
order,417236548
buy,416808951
music,414290995
forum,413651714
data,407047988
part,403366808
support,402426463
add,402115067
report,400753331
result,395605888
photo,394952702
term,393988734
copyright,382598663
area,381857884
please,380046348
available,379644437
well,376156431
car,374438210
map,373624326
best,372077616
software,371779484
file,367388729
jan,366584969
set,364625811
way,363630069
job,358782534
great,358027013
line,356815938
info,354343399
