lemma,definition,count
new,not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered,1551258643
home,at or to or in the direction of one's home or family,1343605650
page,one side of one leaf (of a book or magazine or newspaper or letter etc.) or the written or pictorial matter it contains,1316122844
time,an instance or single occasion for some event,1111656450
service,work done by one person or group that benefits another,1081744026
search,the activity of looking thoroughly in order to find something or someone,1081663131
site,the piece of land on which something is located (or is to be located),1047065976
one,used of a single unit or thing; not two or more,1030094716
free,able to act at will; not hampered; not under compulsion or restraint,1014995410
information,a message received and understood,935638515
may,the month following April and preceding June,828929629
product,commodities offered for sale,813493987
year,a period of time containing 365 (or 366) days,788933892
news,information about recent and important events,755424983
day,time for Earth to make a complete rotation on its axis,751398261
find,"come upon, as if by accident; meet with",750329830
price,the property of having material worth (often indicated by the amount of money something would bring if sold),745086954
use,put into service; make work or employ for a particular purpose or for its inherent or natural purpose,719980257
state,the territory occupied by one of the constituent administrative districts of a nation,714041148
see,perceive by sight or have the power to perceive by sight,691684623
business,a commercial or industrial enterprise and the people who constitute it,685665263
contact,close interaction,680789678
view,a way of regarding situations or topics etc.,679612669
book,a written work or composition that has been published (printed on pages bound together),678670133
get,come into the possession of something concrete or abstract,654791998
review,look at again; examine again,646751881
help,give help or assistance; be of service,640662027
item,a distinct part that can be specified separately in a group of things that could be enumerated on a list,627040260
right,an abstract idea of that which is due to a person or governmental body by law or tradition or nature; ; - Eleanor Roosevelt,625671700
web,an intricate network suggesting something that was formed by weaving or interweaving,623073565
system,instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity,620530933
also,in addition,616829742
post,the position where someone (as a guard or sentry) stands or is assigned to stand,609778564
pm,an examination and dissection of a dead body to determine cause of death or the changes produced by disease,606618641
online,on a regular route of a railroad or bus or airline system,601317059
link,make a logical or causal connection,580329194
first,preceding all others in time or space or degree,578720548
good,having desirable or positive qualities especially those suitable for a thing specified,575382957
hotel,a building where travelers can pay for lodging and meals and other services,573485707
click,move or strike with a noise,543596962
name,a language unit by which a person or thing is known,536451608
game,a contest with rules to determine a winner,533042401
list,a database containing an ordered array of items (names or topics),530839895
like,prefer or wish to do something,530313020
date,the specified day of the month,527409617
work,activity directed toward making or doing something,518065646
member,one of the persons who compose a social group (especially individuals who have joined and participate in a group organization),510515046
top,the upper part of anything,495984898
make,engage in,492914240
back,in or to or toward a former location,492821317
people,(plural) any group of human beings (men or women or children) collectively,489752450
message,a communication (usually brief) that is written or spoken or signaled,482778842
policy,a plan of action adopted by an individual or social group,472193707
go,"change location; move, travel, or proceed, also metaphorically",468725815
user,a person who makes use of a thing; someone who uses or employs something,465766463
school,an educational institution,462035941
video,the visible part of a television transmission,459479130
email,(computer science) a system of world-wide electronic communication in which a computer user can compose a message at one terminal that can be regenerated at the recipient's terminal when the recipient logs in,457239566
city,a large and densely populated urban area; may include several independent administrative districts,450485160
program,a series of steps to be carried out or goals to be accomplished,449185215
number,the property possessed by a sum or total or indefinite quantity of units or individuals,448864945
group,any number of entities (members) considered as a unit,447657251
company,an institution created to conduct business,442980926
world,everything that exists anywhere,442525771
two,being one more than one,441634470
health,a healthy state of wellbeing free from disease,440431718
comment,a statement that expresses a personal opinion or belief or adds information,436187177
store,a mercantile establishment for the retail sale of goods or services,432519343
next,nearest in space or position; immediately adjoining without intervening space,425903347
used,employed in accomplishing something; - H.H.Arnold & I.C.Eaker,421438139
last,immediately past,420280283
order,give instructions to or direct somebody to do something with authority,417236548
buy,obtain by purchase; acquire by means of a financial transaction,416808951
music,an artistic form of auditory communication incorporating instrumental or vocal tones in a structured and continuous manner,414290995
forum,a public meeting or assembly for open discussion,413651714
data,a collection of facts from which conclusions may be drawn,407047988
part,something determined in relation to something that includes it,403366808
support,"give moral or psychological support, aid, or courage to",402426463
add,"make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of",402115067
report,to give an account or representation of in words,400753331
result,a phenomenon that follows and is caused by some previous phenomenon,395605888
photo,a representation of a person or scene in the form of a print or transparent slide; recorded by a camera on light-sensitive material,394952702
term,a word or expression used for some particular thing,393988734
copyright,a document granting exclusive right to publish and sell literary or musical or artistic work,382598663
area,a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography),381857884
please,give pleasure to or be pleasing to,380046348
available,obtainable or accessible and ready for use or service,379644437
well,(often used as a combining form) in a good or proper or satisfactory manner or to a high standard (`good' is a nonstandard dialectal variant for `well'),376156431
car,a motor vehicle with four wheels; usually propelled by an internal combustion engine,374438210
map,a diagrammatic representation of the earth's surface (or part of it),373624326
best,(superlative of `good') having the most positive qualities,372077616
software,(computer science) written programs or procedures or rules and associated documentation pertaining to the operation of a computer system and that are stored in read/write memory,371779484
file,record in a public office or in a court of law,367388729
jan,the first month of the year; begins 10 days after the winter solstice,366584969
set,put into a certain place or abstract location,364625811
way,how something is done or how it happens,363630069
job,the principal activity in your life that you do to earn money,358782534
great,relatively large in size or number or extent; larger than others of its kind,358027013
line,a formation of people or things one beside another,356815938
info,a message received and understood,354343399
high,greater than normal in degree or intensity or amount,352881551
sale,a particular instance of selling,352468790
life,a characteristic state or mode of living,349767910
public,not private; open to or concerning the people as a whole,349615053
type,a subdivision of a particular kind of thing,349407599
student,a learner who is enrolled in an educational institution,348391367
rate,a magnitude or frequency relative to a time unit,344723717
change,cause to change; make different; cause a transformation,341171495
movie,a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement,341160667
category,a collection of things sharing a common attribute,340667095
computer,a machine for performing calculations automatically,339345281
picture,a visual representation (of an object or scene or person or abstraction) produced on a surface,339114499
read,interpret something that is written or printed,335505870
article,nonfictional prose forming an independent part of a publication,333500580
privacy,the quality of being secluded from the presence or view of others,333272427
show,give an exhibition of to an interested audience,332346624
know,be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about,330740909
university,the body of faculty and students at a university,330291059
center,an area that is approximately central within some larger region,329910094
child,a young person of either sex,327915510
project,any piece of work that is undertaken or attempted,327866070
event,something that happens at a given place and time,326750714
detail,an isolated fact that is considered separately from the whole,326322175
phone,electronic equipment that converts sound into electrical signals that can be transmitted over distances and then converts received signals back into sounds,323955804
take,carry out,322134034
sex,activities associated with sexual intercourse,322005449
doe,the federal department responsible for maintaining a national energy policy of the United States; created in 1977,321965419
case,an occurrence of something,321818673
art,the products of human creativity; works of art collectively,321168729
need,"require as useful, just, or proper",319376932
many,a quantifier that can be used with count nouns and is often preceded by `as' or `too' or `so' or `that'; amounting to a large but indefinite number,318966441
resource,available source of wealth; a new or reserve supply that can be drawn upon when needed,317232715
mail,send via the postal service,315734415
said,being the one previously mentioned or spoken of,315595259
general,applying to all or most members of a category or group,313944434
woman,an adult female person (as opposed to a man),313918545
research,systematic investigation to establish facts,312377267
image,an iconic mental representation,311662357
january,the first month of the year; begins 10 days after the winter solstice,310345867
full,containing as much or as many as is possible or normal,309952537
subject,the subject matter of a conversation or discussion,305791842
community,a group of people living in a particular local area,304808312
management,the act of managing something,304368918
card,one of a set of small pieces of stiff paper marked in various ways and used for playing games or for telling fortunes,302481564
development,act of improving by expanding or enlarging or refining,302182177
family,a social unit living together,301494582
dvd,a digital recording (as of a movie) on an optical disk that can be played on a computer or a television set,300527834
real,being or occurring in fact or actuality; having verified existence; not illusory; ; ; ; ; ; - Longfellow,299360184
united,characterized by unity; being or joined into a single entity,299280163
office,place of business where professional or clerical duties are performed,297436372
design,make or work out a plan for; devise,297404017
technology,the practical application of science to commerce or industry,296896714
international,concerning or belonging to all or at least two or more nations,296264054
sport,an active diversion requiring physical exertion and competition,294548111
travel,"change location; move, travel, or proceed, also metaphorically",293344707
must,a necessary or essential thing,292840725
address,(computer science) the code that identifies where a piece of information is stored,291261769
want,feel or have a desire for; want strongly,291228559
made,produced by a manufacturing process,287353021
question,an instance of questioning,287348222
