lemma,definition,len_tokens,mean_log_freq,median_log_freq,miss_rate
sesamoid,any of several small round bones formed in a tendon where it passes over a joint,8,-4.17122540132609,-4.038353778797345,0.0
torsk,large edible marine fish of northern coastal waters; related to cod,9,-4.309443118680042,-4.156989940807674,0.0
lipreading,perceiving what a person is saying by observing the movements of the lips,6,-4.29326089046212,-4.327035296503345,0.0
reduviidae,assassin bugs,2,-4.719385413281115,-4.719385413281115,0.0
anthriscus,"chervil: of Europe, North Africa and Asia",5,-4.432265895105968,-3.8630848909540068,0.0
hyoscyamus,genus of poisonous herbs: henbane,4,-5.631267775199456,-5.379889896651223,0.0
areopagite,a member of the council of the Areopagus,3,-4.729086211766221,-3.6943767243450454,0.0
saltpetre,(KNO3) used especially as a fertilizer and explosive,4,-4.268939818261991,-4.49222686725863,0.0
tamias,chipmunks of eastern North America,4,-4.32263634166415,-3.896608966259849,0.0
micropogonias,croakers,1,-6.7167117733022,-6.7167117733022,0.0
smoulder,a fire that burns with thick smoke but no flame,5,-4.404683396984012,-4.529737162728089,0.0
evenfall,the time of day immediately following sunset,5,-3.679656365514879,-3.930727138601495,0.0
pahoehoe,freely flowing lava,3,-4.768262916229958,-4.935253941919854,0.0
ruminantia,cattle; bison; sheep; goats; antelopes; deer; chevrotains; giraffes; camels,9,-4.910026105531881,-4.825387674614965,0.33333333333333337
mezuza,religious texts from Deuteronomy inscribed on parchment and rolled up in a case that is attached to the doorframe of many Jewish households in accordance with Jewish law,15,-4.549676261587707,-4.368160326108927,0.0
echinops,genus of Mediterranean and Eurasian herbs: globe thistles,6,-5.081875494521942,-4.983930244631682,0.0
materialisation,the process of coming into being; becoming reality,4,-3.696358666808332,-3.561463412129185,0.0
ceratophyllum,constituting the family Ceratophyllaceae: hornworts,4,-4.044225757426877,-4.044225757426877,0.5
obduracy,resoluteness by virtue of being unyielding and inflexible,4,-6.311877153342666,-6.348874548445915,0.0
yahi,a member of an extinct North American Indian people who lived in northern California,9,-3.75977432270904,-3.549347935260807,0.0
tragopogon,genus of Old World herbs with linear entire leaves and yellow or purple flower heads,11,-4.067029807642912,-4.018752286583851,0.0
ostrya,deciduous monoecious trees of Europe and Asia and America; sometimes placed in subfamily or family Carpinaceae,10,-4.567623640539972,-3.829944595018494,0.09999999999999998
