lemma,count
sesamoid,13018
torsk,13018
lipreading,13017
reduviidae,13013
anthriscus,13009
hyoscyamus,13004
areopagite,13002
saltpetre,13000
tamias,12997
micropogonias,12995
smoulder,12995
evenfall,12988
pahoehoe,12986
ruminantia,12980
mezuza,12974
echinops,12972
materialisation,12966
ceratophyllum,12965
obduracy,12957
yahi,12955
tragopogon,12954
ostrya,12949
scudding,12943
nonfeasance,12935
phalangist,12935
smidgeon,12934
pituophis,12934
rhinotracheitis,12927
serigraphy,12927
phenobarbitone,12925
seriola,12923
defensibility,12922
larboard,12917
floxuridine,12916
christmastide,12913
pyridium,12912
lagger,12911
lagomorpha,12893
phytonadione,12892
aegisthus,12890
compartmentalisation,12885
orchidectomy,12885
maianthemum,12885
anacardium,12879
uppp,12876
pertinacity,12875
pointedness,12870
combustibility,12868
mycteria,12867
whydah,12866
demulcent,12866
australopithecine,12859
cocain,12857
paramountcy,12855
topknot,12855
saleroom,12850
deutzia,12843
lagune,12842
topmast,12841
noncom,12839
steradian,12837
noctua,12835
clupeidae,12834
dekko,12832
tameness,12829
airburst,12828
urmia,12822
lobsterman,12817
catasetum,12815
combativeness,12814
passiveness,12811
amytal,12806
gloominess,12806
moussorgsky,12805
louisianan,12805
aimlessness,12804
scomberomorus,12802
jobholder,12798
cinclus,12795
vambrace,12793
thryothorus,12783
characin,12775
trochilidae,12770
distributary,12770
contentiousness,12769
erithacus,12765
urga,12755
sumach,12754
coelom,12753
wanter,12751
pleochroism,12750
dostoevski,12737
asilidae,12737
nybble,12735
disconnectedness,12733
vaporisation,12732
griever,12729
asklepios,12716
loadstar,12714
triose,12711
