lemma,definition,count
sesamoid,any of several small round bones formed in a tendon where it passes over a joint,13018
torsk,large edible marine fish of northern coastal waters; related to cod,13018
lipreading,perceiving what a person is saying by observing the movements of the lips,13017
reduviidae,assassin bugs,13013
anthriscus,"chervil: of Europe, North Africa and Asia",13009
hyoscyamus,genus of poisonous herbs: henbane,13004
areopagite,a member of the council of the Areopagus,13002
saltpetre,(KNO3) used especially as a fertilizer and explosive,13000
tamias,chipmunks of eastern North America,12997
micropogonias,croakers,12995
smoulder,a fire that burns with thick smoke but no flame,12995
evenfall,the time of day immediately following sunset,12988
pahoehoe,freely flowing lava,12986
ruminantia,cattle; bison; sheep; goats; antelopes; deer; chevrotains; giraffes; camels,12980
mezuza,religious texts from Deuteronomy inscribed on parchment and rolled up in a case that is attached to the doorframe of many Jewish households in accordance with Jewish law,12974
echinops,genus of Mediterranean and Eurasian herbs: globe thistles,12972
materialisation,the process of coming into being; becoming reality,12966
ceratophyllum,constituting the family Ceratophyllaceae: hornworts,12965
obduracy,resoluteness by virtue of being unyielding and inflexible,12957
yahi,a member of an extinct North American Indian people who lived in northern California,12955
tragopogon,genus of Old World herbs with linear entire leaves and yellow or purple flower heads,12954
ostrya,deciduous monoecious trees of Europe and Asia and America; sometimes placed in subfamily or family Carpinaceae,12949
scudding,the act of moving along swiftly (as before a gale),12943
nonfeasance,a failure to act when under an obligation to do so; a refusal (without sufficient excuse) to do that which it is your legal duty to do,12935
phalangist,a Spanish member of General Franco's political party,12935
smidgeon,a tiny or scarcely detectable amount,12934
pituophis,bull snakes,12934
rhinotracheitis,a respiratory infection of the nose and throat in cattle,12927
serigraphy,the act of making a print by the silkscreen method,12927
phenobarbitone,a long-acting barbiturate used as a sedative,12925
seriola,a genus of Carangidae,12923
defensibility,capability of being defended,12922
larboard,the left side of a ship or aircraft to someone who is aboard and facing the bow or nose,12917
floxuridine,antineoplastic drug used to treat some cancers; can cause loss of hair,12916
christmastide,period extending from Dec. 24 to Jan. 6,12913
pyridium,analgesic (trade name Pyridium) used to treat urinary tract infections,12912
lagger,someone who takes more time than necessary; someone who lags behind,12911
lagomorpha,rabbits; hares; pikas; formerly considered the suborder Duplicidentata of the order Rodentia,12893
phytonadione,a form of vitamin K,12892
aegisthus,(Greek mythology) the seducer of Clytemnestra and murderer of Agamemnon who usurped the throne of Mycenae until Agamemnon's son Orestes returned home and killed him,12890
compartmentalisation,a mild state of dissociation,12885
orchidectomy,surgical removal of one or both testicles,12885
maianthemum,sometimes placed in family Convallariaceae: false lily of the valley,12885
anacardium,type genus of the Anacardiaceae: cashew,12879
uppp,surgical resection of unnecessary palatal and oropharyngeal tissue to open the airway; intended to cure extreme cases of snoring (with or without sleep apnea),12876
pertinacity,persistent determination,12875
pointedness,the property of a shape that tapers to a sharp tip,12870
combustibility,the quality of being capable of igniting and burning,12868
mycteria,a genus of storks of the family Ciconiidae now including only the American wood ibis,12867
whydah,mostly black African weaverbird,12866
