lemma,definition,len_tokens,mean_log_freq,median_log_freq,miss_rate
page,one side of one leaf (of a book or magazine or newspaper or letter etc.) or the written or pictorial matter it contains,10,-3.9152105002816215,-3.760469666228287,0.0
time,an instance or single occasion for some event,4,-3.8688174868163347,-3.8905403699964207,0.0
service,work done by one person or group that benefits another,5,-3.2255687952842806,-3.118523557514077,0.0
search,the activity of looking thoroughly in order to find something or someone,7,-3.6525791853597154,-3.442480731514426,0.0
site,the piece of land on which something is located (or is to be located),5,-4.108787702373793,-3.9225178565188132,0.0
information,a message received and understood,3,-3.8669099928010215,-3.8233661701394577,0.0
may,the month following April and preceding June,5,-4.083432593362359,-3.5931906674730527,0.0
product,commodities offered for sale,3,-3.745873749671714,-3.340821190189117,0.0
year,a period of time containing 365 (or 366) days,4,-3.3978312732598783,-3.28447584407127,0.0
news,information about recent and important events,4,-3.3267514403463325,-3.4365223206322004,0.0
day,time for Earth to make a complete rotation on its axis,6,-3.819564246757391,-3.788476463206387,0.0
price,the property of having material worth (often indicated by the amount of money something would bring if sold),10,-3.7617747591567388,-3.66694197839252,0.0
state,the territory occupied by one of the constituent administrative districts of a nation,6,-4.41815054720287,-4.22244720861576,0.0
business,a commercial or industrial enterprise and the people who constitute it,5,-3.8933523197614868,-3.842654318393572,0.0
contact,close interaction,2,-3.99309574255692,-3.99309574255692,0.0
view,a way of regarding situations or topics etc.,5,-3.783117212170312,-3.997505933896573,0.0
book,a written work or composition that has been published (printed on pages bound together),7,-3.8031148173352167,-3.795816031514178,0.0
item,a distinct part that can be specified separately in a group of things that could be enumerated on a list,8,-4.11128765540113,-3.935107043325142,0.0
right,an abstract idea of that which is due to a person or governmental body by law or tradition or nature; ; - Eleanor Roosevelt,11,-4.124744810632975,-3.855609161239701,0.0
web,an intricate network suggesting something that was formed by weaving or interweaving,7,-4.598873961568943,-4.204491572375024,0.0
system,instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity,9,-4.8856510384326155,-5.0714694752090095,0.0
post,the position where someone (as a guard or sentry) stands or is assigned to stand,7,-4.357511451426706,-3.9540022089361853,0.0
pm,an examination and dissection of a dead body to determine cause of death or the changes produced by disease,10,-4.070460379712339,-3.9632924963771425,0.0
hotel,a building where travelers can pay for lodging and meals and other services,6,-3.89427539563073,-4.101998629288236,0.0
name,a language unit by which a person or thing is known,5,-3.447811733434108,-3.4925806513763145,0.0
game,a contest with rules to determine a winner,4,-4.0471417737251265,-4.170739651937973,0.0
list,a database containing an ordered array of items (names or topics),7,-3.5453269042839546,-3.3818408425360063,0.0
date,the specified day of the month,3,-3.5947004658398654,-3.399844795944383,0.0
work,activity directed toward making or doing something,4,-3.4821216154063834,-3.5459576008909566,0.0
member,one of the persons who compose a social group (especially individuals who have joined and participate in a group organization),10,-3.793012615017271,-3.623219589871879,0.0
top,the upper part of anything,3,-3.7438149645353787,-3.8887397904489203,0.0
people,(plural) any group of human beings (men or women or children) collectively,8,-3.8458807287379653,-3.4251625456354047,0.0
message,a communication (usually brief) that is written or spoken or signaled,6,-4.026972566754778,-3.9485063789138675,0.0
policy,a plan of action adopted by an individual or social group,6,-3.655392037905673,-3.53984648303154,0.0
user,a person who makes use of a thing; someone who uses or employs something,8,-3.5166296691717873,-3.4360685659917958,0.0
school,an educational institution,2,-4.008485297584154,-4.008485297584154,0.0
video,the visible part of a television transmission,4,-4.023442685125258,-4.178789911397593,0.0
email,(computer science) a system of world-wide electronic communication in which a computer user can compose a message at one terminal that can be regenerated at the recipient's terminal when the recipient logs in,16,-3.9518659142082484,-3.693286198240033,0.0625
city,a large and densely populated urban area; may include several independent administrative districts,10,-4.124811528540404,-3.8468726449997366,0.0
program,a series of steps to be carried out or goals to be accomplished,5,-4.051101944909329,-3.8672399363524947,0.0
number,the property possessed by a sum or total or indefinite quantity of units or individuals,8,-4.146332466480567,-3.8673404483214275,0.0
group,any number of entities (members) considered as a unit,5,-3.6233626908469225,-3.592722142323107,0.0
company,an institution created to conduct business,4,-3.7056374445237816,-3.815200690883822,0.0
world,everything that exists anywhere,3,-4.232618489306241,-4.39020748521555,0.0
health,a healthy state of wellbeing free from disease,5,-3.8831290331532378,-3.842076752591857,0.0
comment,a statement that expresses a personal opinion or belief or adds information,7,-3.5762938188249804,-3.638216734550912,0.0
store,a mercantile establishment for the retail sale of goods or services,6,-3.903333400960167,-3.611191017236056,0.0
music,an artistic form of auditory communication incorporating instrumental or vocal tones in a structured and continuous manner,11,-4.42135340109029,-4.429561533347373,0.0
forum,a public meeting or assembly for open discussion,5,-3.592432792655147,-3.5650183123974855,0.0
data,a collection of facts from which conclusions may be drawn,4,-3.982724817467335,-3.980388626677433,0.0
part,something determined in relation to something that includes it,5,-3.7651629447494637,-3.649434470267487,0.0
result,a phenomenon that follows and is caused by some previous phenomenon,5,-4.1339577728557515,-3.930727138601495,0.0
photo,a representation of a person or scene in the form of a print or transparent slide; recorded by a camera on light-sensitive material,11,-3.8525189520961156,-3.545874682495758,0.09090909090909094
term,a word or expression used for some particular thing,5,-3.5712695928739917,-3.4916732617925734,0.0
copyright,a document granting exclusive right to publish and sell literary or musical or artistic work,10,-3.96287827129665,-3.9984488565492984,0.0
