lemma,count
page,1316122844
time,1111656450
service,1081744026
search,1081663131
site,1047065976
information,935638515
may,828929629
product,813493987
year,788933892
news,755424983
day,751398261
price,745086954
state,714041148
business,685665263
contact,680789678
view,679612669
book,678670133
item,627040260
right,625671700
web,623073565
system,620530933
post,609778564
pm,606618641
hotel,573485707
name,536451608
game,533042401
list,530839895
date,527409617
work,518065646
member,510515046
top,495984898
people,489752450
message,482778842
policy,472193707
user,465766463
school,462035941
video,459479130
email,457239566
city,450485160
program,449185215
number,448864945
group,447657251
company,442980926
world,442525771
health,440431718
comment,436187177
store,432519343
music,414290995
forum,413651714
data,407047988
part,403366808
result,395605888
photo,394952702
term,393988734
copyright,382598663
area,381857884
car,374438210
map,373624326
software,371779484
jan,366584969
way,363630069
job,358782534
line,356815938
info,354343399
sale,352468790
life,349767910
type,349407599
student,348391367
rate,344723717
movie,341160667
category,340667095
computer,339345281
picture,339114499
article,333500580
privacy,333272427
university,330291059
center,329910094
child,327915510
project,327866070
event,326750714
detail,326322175
phone,323955804
sex,322005449
doe,321965419
case,321818673
art,321168729
resource,317232715
woman,313918545
research,312377267
image,311662357
january,310345867
subject,305791842
community,304808312
management,304368918
card,302481564
development,302182177
family,301494582
dvd,300527834
office,297436372
technology,296896714
