lemma,definition,count
page,one side of one leaf (of a book or magazine or newspaper or letter etc.) or the written or pictorial matter it contains,1316122844
time,an instance or single occasion for some event,1111656450
service,work done by one person or group that benefits another,1081744026
search,the activity of looking thoroughly in order to find something or someone,1081663131
site,the piece of land on which something is located (or is to be located),1047065976
information,a message received and understood,935638515
may,the month following April and preceding June,828929629
product,commodities offered for sale,813493987
year,a period of time containing 365 (or 366) days,788933892
news,information about recent and important events,755424983
day,time for Earth to make a complete rotation on its axis,751398261
price,the property of having material worth (often indicated by the amount of money something would bring if sold),745086954
state,the territory occupied by one of the constituent administrative districts of a nation,714041148
business,a commercial or industrial enterprise and the people who constitute it,685665263
contact,close interaction,680789678
view,a way of regarding situations or topics etc.,679612669
book,a written work or composition that has been published (printed on pages bound together),678670133
item,a distinct part that can be specified separately in a group of things that could be enumerated on a list,627040260
right,an abstract idea of that which is due to a person or governmental body by law or tradition or nature; ; - Eleanor Roosevelt,625671700
web,an intricate network suggesting something that was formed by weaving or interweaving,623073565
system,instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity,620530933
post,the position where someone (as a guard or sentry) stands or is assigned to stand,609778564
pm,an examination and dissection of a dead body to determine cause of death or the changes produced by disease,606618641
hotel,a building where travelers can pay for lodging and meals and other services,573485707
name,a language unit by which a person or thing is known,536451608
game,a contest with rules to determine a winner,533042401
list,a database containing an ordered array of items (names or topics),530839895
date,the specified day of the month,527409617
work,activity directed toward making or doing something,518065646
member,one of the persons who compose a social group (especially individuals who have joined and participate in a group organization),510515046
top,the upper part of anything,495984898
people,(plural) any group of human beings (men or women or children) collectively,489752450
message,a communication (usually brief) that is written or spoken or signaled,482778842
policy,a plan of action adopted by an individual or social group,472193707
user,a person who makes use of a thing; someone who uses or employs something,465766463
school,an educational institution,462035941
video,the visible part of a television transmission,459479130
email,(computer science) a system of world-wide electronic communication in which a computer user can compose a message at one terminal that can be regenerated at the recipient's terminal when the recipient logs in,457239566
city,a large and densely populated urban area; may include several independent administrative districts,450485160
program,a series of steps to be carried out or goals to be accomplished,449185215
number,the property possessed by a sum or total or indefinite quantity of units or individuals,448864945
group,any number of entities (members) considered as a unit,447657251
company,an institution created to conduct business,442980926
world,everything that exists anywhere,442525771
health,a healthy state of wellbeing free from disease,440431718
comment,a statement that expresses a personal opinion or belief or adds information,436187177
store,a mercantile establishment for the retail sale of goods or services,432519343
music,an artistic form of auditory communication incorporating instrumental or vocal tones in a structured and continuous manner,414290995
forum,a public meeting or assembly for open discussion,413651714
data,a collection of facts from which conclusions may be drawn,407047988
part,something determined in relation to something that includes it,403366808
result,a phenomenon that follows and is caused by some previous phenomenon,395605888
photo,a representation of a person or scene in the form of a print or transparent slide; recorded by a camera on light-sensitive material,394952702
term,a word or expression used for some particular thing,393988734
copyright,a document granting exclusive right to publish and sell literary or musical or artistic work,382598663
area,a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography),381857884
car,a motor vehicle with four wheels; usually propelled by an internal combustion engine,374438210
map,a diagrammatic representation of the earth's surface (or part of it),373624326
software,(computer science) written programs or procedures or rules and associated documentation pertaining to the operation of a computer system and that are stored in read/write memory,371779484
jan,the first month of the year; begins 10 days after the winter solstice,366584969
way,how something is done or how it happens,363630069
job,the principal activity in your life that you do to earn money,358782534
line,a formation of people or things one beside another,356815938
info,a message received and understood,354343399
sale,a particular instance of selling,352468790
life,a characteristic state or mode of living,349767910
type,a subdivision of a particular kind of thing,349407599
student,a learner who is enrolled in an educational institution,348391367
rate,a magnitude or frequency relative to a time unit,344723717
movie,a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement,341160667
category,a collection of things sharing a common attribute,340667095
computer,a machine for performing calculations automatically,339345281
picture,a visual representation (of an object or scene or person or abstraction) produced on a surface,339114499
article,nonfictional prose forming an independent part of a publication,333500580
privacy,the quality of being secluded from the presence or view of others,333272427
university,the body of faculty and students at a university,330291059
center,an area that is approximately central within some larger region,329910094
child,a young person of either sex,327915510
project,any piece of work that is undertaken or attempted,327866070
event,something that happens at a given place and time,326750714
detail,an isolated fact that is considered separately from the whole,326322175
phone,electronic equipment that converts sound into electrical signals that can be transmitted over distances and then converts received signals back into sounds,323955804
sex,activities associated with sexual intercourse,322005449
doe,the federal department responsible for maintaining a national energy policy of the United States; created in 1977,321965419
case,an occurrence of something,321818673
art,the products of human creativity; works of art collectively,321168729
resource,available source of wealth; a new or reserve supply that can be drawn upon when needed,317232715
woman,an adult female person (as opposed to a man),313918545
research,systematic investigation to establish facts,312377267
image,an iconic mental representation,311662357
january,the first month of the year; begins 10 days after the winter solstice,310345867
subject,the subject matter of a conversation or discussion,305791842
community,a group of people living in a particular local area,304808312
management,the act of managing something,304368918
card,one of a set of small pieces of stiff paper marked in various ways and used for playing games or for telling fortunes,302481564
development,act of improving by expanding or enlarging or refining,302182177
family,a social unit living together,301494582
dvd,a digital recording (as of a movie) on an optical disk that can be played on a computer or a television set,300527834
office,place of business where professional or clerical duties are performed,297436372
technology,the practical application of science to commerce or industry,296896714
