lemma,definition,len_tokens,mean_log_freq,median_log_freq,miss_rate
preciously,extremely,1,-4.387412745347154,-4.387412745347154,0.0
resentfully,with resentment; in a resentful manner,3,-5.525070409286396,-5.8045501291260795,0.0
adoringly,with adoration,1,-6.036591941601508,-6.036591941601508,0.0
unwaveringly,with resolute determination,2,-5.340027054974809,-5.340027054974809,0.0
unconventionally,in an unconventional manner,2,-5.054256593463089,-5.054256593463089,0.0
circumspectly,in a cagey manner,2,-5.632389489590214,-5.632389489590214,0.0
effusively,in an effusive manner,2,-5.608828258566508,-5.608828258566508,0.0
caudally,toward the posterior end of the body,3,-4.172595935049222,-3.6341430005409654,0.0
laconically,in a dry laconic manner;  he said dryly,5,-5.148779424827653,-4.318160823840458,0.0
incisively,in an incisive manner,2,-5.2354877302958425,-5.2354877302958425,0.0
typographically,in a typographic way,2,-4.808240922651021,-4.808240922651021,0.0
shoddily,in a shoddy manner,2,-5.296032084113966,-5.296032084113966,0.0
luxuriantly,in an abundant and luxuriant manner,3,-5.37922164091503,-5.232721981977959,0.0
plastically,in a plastic manner,2,-4.269183355523272,-4.269183355523272,0.0
frontally,"in, at, or toward the front",1,-3.765636806140797,-3.765636806140797,0.0
disgustedly,with disgust,1,-5.830905185052954,-5.830905185052954,0.0
impersonally,without warmth,1,-5.277067903654787,-5.277067903654787,0.0
multiplicatively,in a multiplicative manner,2,-5.2681976923033,-5.2681976923033,0.0
altruistically,in an altruistic manner,2,-5.309090677558937,-5.309090677558937,0.0
bilingually,in a bilingual manner,2,-4.774680842933421,-4.774680842933421,0.0
proverbially,in the manner of something that has become a byword,4,-4.684974725154965,-4.003330427131664,0.0
jovially,in a jovial manner,2,-5.404880378534918,-5.404880378534918,0.0
frenetically,in a very agitated manner; as if possessed by an evil spirit,5,-4.787374851698388,-4.359457163736898,0.0
garishly,in a tastelessly garish manner,3,-5.4569182237139415,-5.4569182237139415,0.33333333333333337
jarringly,in a manner that jars and irritates,3,-5.275504258841591,-4.95328017225157,0.0
ineluctably,by necessity,1,-5.017782585157134,-5.017782585157134,0.0
fancifully,in a fanciful manner,2,-5.237332794855254,-5.237332794855254,0.0
discursively,in a rambling manner,2,-5.185332176529702,-5.185332176529702,0.0
axiomatically,on the basis of axioms,2,-4.793361248356475,-4.793361248356475,0.0
screamingly,to an extreme degree,2,-4.119994612823915,-4.119994612823915,0.0
cannily,with foresight,1,-5.716049784273597,-5.716049784273597,0.0
inhumanely,in an inhumane manner,2,-5.2853613196629645,-5.2853613196629645,0.0
foully,in an unfair and insulting manner,3,-5.059125983962351,-5.108999069427488,0.0
belligerently,with hostility; in a belligerent hostile manner,4,-5.367823232328345,-5.416793861965886,0.0
wanly,in a weak or pale or languid manner,4,-5.144686311927833,-4.83179121442388,0.0
abstractedly,in an absentminded or preoccupied manner,3,-5.97455403449931,-6.084973466440046,0.0
jubilantly,in a joyous manner,2,-5.095197943701381,-5.095197943701381,0.0
patriotically,in a patriotic manner,2,-4.762422385039782,-4.762422385039782,0.0
stolidly,in a stolid manner,2,-5.679348102532625,-5.679348102532625,0.0
chastely,in a chaste and virtuous manner,3,-5.51488340192586,-5.913036068889855,0.0
affably,in an affable manner,2,-5.447823467701016,-5.447823467701016,0.0
seriatim,in a series; one after another,1,-3.5612467606685003,-3.5612467606685003,0.0
volcanically,by or like volcanoes,1,-5.281463867488463,-5.281463867488463,0.0
prosperously,in the manner of prosperous people,3,-4.342285077010383,-4.318160823840458,0.0
incontrovertibly,in an obvious and provable manner,3,-5.133271221420014,-4.578195322995574,0.0
permissibly,in a permissible manner,2,-4.909520345675896,-4.909520345675896,0.0
unutterably,to an inexpressible degree,2,-5.409747490413906,-5.409747490413906,0.0
indefatigably,with indefatigable energy,2,-5.189642066773068,-5.189642066773068,0.0
arduously,in an arduous manner,2,-5.206681437069788,-5.206681437069788,0.0
informatively,in an informative manner,2,-4.641434807189417,-4.641434807189417,0.0
undisputedly,in an unarguable and undisputed manner,3,-5.933329485118012,-5.9199524220637665,0.0
pessimistically,with pessimism; in a pessimistic manner,3,-5.4917918404399275,-5.92092569580473,0.0
precociously,in a precocious manner,2,-5.324776925120052,-5.324776925120052,0.0
morosely,in a morose manner,2,-5.489782086178458,-5.489782086178458,0.0
